time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,943,943.000,943.000,86242,86242,942,1
1,1032,1032.000,1032.000,82605,82605,1031,1
2,765,765.000,765.000,90785,90785,764,1
3,819,819.000,819.000,94065,94065,818,1
4,981,981.000,981.000,64479,64479,980,1
5,936,936.000,936.000,59949,59949,935,1
6,899,899.000,899.000,67662,67662,898,1
7,899,899.000,899.000,65302,65302,898,1
8,921,921.000,921.000,54904,54904,920,1
9,924,924.000,924.000,56027,56027,924,0
10,881,881.000,881.000,72236,72236,880,1
11,716,716.000,716.000,102161,102161,715,1
12,604,604.000,604.000,124970,124970,603,1
13,602,602.000,602.000,133685,133685,601,1
14,543,543.000,543.000,79941,79941,543,0
15,455,455.000,455.000,77484,77484,454,1
16,358,358.000,358.000,252277,252277,358,0
17,351,351.000,351.000,118901,118901,350,1
18,515,515.000,515.000,54318,54318,515,0
19,472,472.000,472.000,63585,63585,471,1
20,285,285.000,285.000,106063,106063,284,1
21,289,289.000,289.000,125818,125818,289,0
22,283,283.000,283.000,86494,86494,283,0
23,659,659.000,659.000,58559,58559,658,1
24,209,209.000,209.000,117952,117952,208,1
25,288,288.000,288.000,81564,81564,287,1
26,356,356.000,356.000,76949,76949,355,1
27,333,333.000,333.000,87371,87371,333,0
28,358,358.000,358.000,82527,82527,358,0
29,375,375.000,375.000,77864,77864,374,1
30,429,429.000,429.000,70880,70880,429,0
31,359,359.000,359.000,76487,76487,358,1
32,405,405.000,405.000,58747,58747,404,1
33,339,339.000,339.000,128974,128974,339,0
34,442,442.000,442.000,66379,66379,441,1
35,406,406.000,406.000,64580,64580,405,1
36,438,438.000,438.000,63357,63357,437,1
37,400,400.000,400.000,65501,65501,400,0
38,402,402.000,402.000,70764,70764,402,0
39,403,403.000,403.000,101973,101973,403,0
40,473,473.000,473.000,61802,61802,472,1
41,396,396.000,396.000,78644,78644,395,1
42,380,380.000,380.000,61936,61936,380,0
43,397,397.000,397.000,57286,57286,396,1
44,323,323.000,323.000,208869,208869,322,1
45,437,437.000,437.000,64328,64328,437,0
46,298,298.000,298.000,245787,245787,297,1
47,412,412.000,412.000,226007,226007,411,1
48,332,332.000,332.000,101594,101594,331,1
49,296,296.000,296.000,311133,311133,296,0
50,340,340.000,340.000,72108,72108,339,1
51,281,281.000,281.000,310766,310766,280,1
52,296,296.000,296.000,92427,92427,295,1
53,302,302.000,302.000,83499,83499,302,0
54,271,271.000,271.000,185525,185525,270,1
55,305,305.000,305.000,84881,84881,304,1
56,288,288.000,288.000,111668,111668,288,0
57,268,268.000,268.000,107973,107973,267,1
58,318,318.000,318.000,76919,76919,317,1
59,348,348.000,348.000,78766,78766,347,1
60,313,313.000,313.000,99755,99755,312,1
61,297,297.000,297.000,102047,102047,297,0
62,357,357.000,357.000,73411,73411,357,0
63,363,363.000,363.000,82301,82301,363,0
64,421,421.000,421.000,87826,87826,421,0
65,345,345.000,345.000,85681,85681,344,1
66,375,375.000,375.000,73302,73302,374,1
67,378,378.000,378.000,71338,71338,377,1
68,383,383.000,383.000,66624,66624,382,1
69,389,389.000,389.000,78750,78750,389,0
70,439,439.000,439.000,65688,65688,438,1
71,381,381.000,381.000,75124,75124,381,0
72,404,404.000,404.000,68001,68001,403,1
73,386,386.000,386.000,190049,190049,385,1
74,362,362.000,362.000,205678,205678,361,1
75,569,569.000,569.000,153639,153639,569,0
76,567,567.000,567.000,192259,192259,566,1
77,599,599.000,599.000,76678,76678,599,0
78,314,314.000,314.000,302091,302091,313,1
79,447,447.000,447.000,76101,76101,446,1
80,335,335.000,335.000,210305,210305,335,0
81,399,399.000,399.000,284456,284456,399,0
82,357,357.000,357.000,60355,60355,356,1
83,434,434.000,434.000,171725,171725,433,1
84,512,512.000,512.000,173699,173699,511,1
85,428,428.000,428.000,85516,85516,427,1
86,317,317.000,317.000,228832,228832,316,1
87,452,452.000,452.000,71436,71436,451,1
88,280,280.000,280.000,230619,230619,279,1
89,329,329.000,329.000,78299,78299,328,1
90,219,219.000,219.000,440772,440772,218,1
91,265,265.000,265.000,142583,142583,264,1
92,340,340.000,340.000,85177,85177,340,0
93,364,364.000,364.000,210953,210953,363,1
94,264,264.000,264.000,203134,203134,263,1
95,295,295.000,295.000,86555,86555,295,0
96,246,246.000,246.000,111488,111488,245,1
97,265,265.000,265.000,89712,89712,265,0
98,290,290.000,290.000,100315,100315,290,0
99,318,318.000,318.000,73229,73229,317,1
100,304,304.000,304.000,76518,76518,303,1
101,334,334.000,334.000,68386,68386,334,0
102,384,384.000,384.000,66439,66439,384,0
103,372,372.000,372.000,96428,96428,371,1
104,332,332.000,332.000,74560,74560,332,0
105,365,365.000,365.000,63041,63041,364,1
106,399,399.000,399.000,65434,65434,398,1
107,412,412.000,412.000,66412,66412,411,1
108,395,395.000,395.000,69035,69035,395,0
109,297,297.000,297.000,265618,265618,296,1
110,339,339.000,339.000,211356,211356,338,1
111,413,413.000,413.000,92301,92301,413,0
112,269,269.000,269.000,222892,222892,269,0
113,262,262.000,262.000,202239,202239,262,0
114,303,303.000,303.000,209336,209336,303,0
115,288,288.000,288.000,145098,145098,287,1
116,298,298.000,298.000,195733,195733,297,1
117,367,367.000,367.000,217292,217292,367,0
118,346,346.000,346.000,77422,77422,345,1
119,326,326.000,326.000,217671,217671,325,1
