time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,1848,1848.000,1848.000,54135,54135,1847,1
1,1095,1095.000,1095.000,67399,67399,1094,1
2,925,925.000,925.000,68694,68694,924,1
3,941,941.000,941.000,52633,52633,940,1
4,930,930.000,930.000,53210,53210,929,1
5,889,889.000,889.000,49810,49810,888,1
6,858,858.000,858.000,57481,57481,857,1
7,872,872.000,872.000,45053,45053,871,1
8,932,932.000,932.000,44908,44908,931,1
9,900,900.000,900.000,58115,58115,899,1
10,830,830.000,830.000,45067,45067,830,0
11,675,675.000,675.000,49161,49161,675,0
12,312,312.000,312.000,67963,67963,312,0
13,256,256.000,256.000,89829,89829,256,0
14,283,283.000,283.000,70639,70639,282,1
15,286,286.000,286.000,69571,69571,286,0
16,282,282.000,282.000,67890,67890,282,0
17,217,217.000,217.000,87588,87588,216,1
18,349,349.000,349.000,54931,54931,349,0
19,305,305.000,305.000,212769,212769,305,0
20,344,344.000,344.000,55512,55512,344,0
21,323,323.000,323.000,71399,71399,323,0
22,165,165.000,165.000,194422,194422,165,0
23,213,213.000,213.000,94775,94775,213,0
24,338,338.000,338.000,64603,64603,338,0
25,429,429.000,429.000,44803,44803,428,1
26,381,381.000,381.000,102443,102443,381,0
27,169,169.000,169.000,103359,103359,169,0
28,215,215.000,215.000,90535,90535,215,0
29,212,212.000,212.000,75212,75212,212,0
30,237,237.000,237.000,206040,206040,237,0
31,210,210.000,210.000,73900,73900,209,1
32,288,288.000,288.000,63818,63818,287,1
33,303,303.000,303.000,56202,56202,303,0
34,278,278.000,278.000,56075,56075,278,0
35,256,256.000,256.000,63473,63473,256,0
36,251,251.000,251.000,79344,79344,250,1
37,290,290.000,290.000,69881,69881,290,0
38,284,284.000,284.000,61513,61513,284,0
39,271,271.000,271.000,71495,71495,271,0
40,266,266.000,266.000,119943,119943,266,0
41,276,276.000,276.000,65143,65143,275,1
42,254,254.000,254.000,77907,77907,253,1
43,244,244.000,244.000,82894,82894,244,0
44,267,267.000,267.000,61970,61970,267,0
45,290,290.000,290.000,66494,66494,290,0
46,285,285.000,285.000,58513,58513,285,0
47,250,250.000,250.000,63529,63529,250,0
48,267,267.000,267.000,60905,60905,267,0
49,285,285.000,285.000,77208,77208,285,0
50,251,251.000,251.000,85264,85264,251,0
51,159,159.000,159.000,202998,202998,158,1
52,196,196.000,196.000,152668,152668,195,1
53,194,194.000,194.000,77413,77413,194,0
54,393,393.000,393.000,59338,59338,393,0
55,409,409.000,409.000,52454,52454,409,0
56,314,314.000,314.000,79230,79230,314,0
57,182,182.000,182.000,118254,118254,181,1
58,200,200.000,200.000,81098,81098,200,0
59,215,215.000,215.000,101710,101710,214,1
60,246,246.000,246.000,64798,64798,245,1
61,239,239.000,239.000,72780,72780,239,0
62,214,214.000,214.000,148958,148958,213,1
63,250,250.000,250.000,83225,83225,250,0
64,316,316.000,316.000,55520,55520,316,0
65,282,282.000,282.000,68823,68823,281,1
66,249,249.000,249.000,73486,73486,248,1
67,369,369.000,369.000,215692,215692,368,1
68,307,307.000,307.000,73404,73404,306,1
69,436,436.000,436.000,65583,65583,435,1
70,330,330.000,330.000,62831,62831,329,1
71,257,257.000,257.000,74772,74772,257,0
72,312,312.000,312.000,53572,53572,311,1
73,283,283.000,283.000,62410,62410,282,1
74,256,256.000,256.000,66058,66058,255,1
75,290,290.000,290.000,61900,61900,290,0
76,258,258.000,258.000,77117,77117,258,0
77,273,273.000,273.000,76186,76186,272,1
78,258,258.000,258.000,211583,211583,258,0
79,243,243.000,243.000,61513,61513,243,0
80,248,248.000,248.000,256178,256178,247,1
81,247,247.000,247.000,67701,67701,247,0
82,238,238.000,238.000,143229,143229,237,1
83,210,210.000,210.000,215559,215559,210,0
84,156,156.000,156.000,160981,160981,155,1
85,213,213.000,213.000,76276,76276,213,0
86,176,176.000,176.000,97651,97651,175,1
87,194,194.000,194.000,95932,95932,193,1
88,228,228.000,228.000,75040,75040,228,0
89,230,230.000,230.000,66310,66310,229,1
90,229,229.000,229.000,85660,85660,229,0
91,242,242.000,242.000,73391,73391,241,1
92,253,253.000,253.000,74691,74691,253,0
93,208,208.000,208.000,131020,131020,208,0
94,268,268.000,268.000,64865,64865,268,0
95,242,242.000,242.000,64737,64737,242,0
96,272,272.000,272.000,72420,72420,272,0
97,280,280.000,280.000,72588,72588,280,0
98,253,253.000,253.000,68348,68348,252,1
99,262,262.000,262.000,69563,69563,262,0
100,244,244.000,244.000,77226,77226,244,0
101,292,292.000,292.000,62173,62173,292,0
102,275,275.000,275.000,68804,68804,275,0
103,254,254.000,254.000,86066,86066,254,0
104,295,295.000,295.000,60547,60547,295,0
105,273,273.000,273.000,67897,67897,273,0
106,287,287.000,287.000,66947,66947,287,0
107,271,271.000,271.000,75952,75952,271,0
108,269,269.000,269.000,59736,59736,268,1
109,245,245.000,245.000,93627,93627,245,0
110,282,282.000,282.000,63260,63260,282,0
111,220,220.000,220.000,207110,207110,220,0
112,239,239.000,239.000,120301,120301,239,0
113,221,221.000,221.000,76746,76746,220,1
114,197,197.000,197.000,113558,113558,196,1
115,407,407.000,407.000,51866,51866,407,0
116,364,364.000,364.000,159001,159001,364,0
117,220,220.000,220.000,121797,121797,220,0
118,203,203.000,203.000,74608,74608,203,0
119,169,169.000,169.000,122323,122323,169,0
