Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,823.800,12.093,7.176,8.246,8.502,16.518,16.888,17.386,33.389,83.802,0.083
5,1108.000,9.001,4.079,8.169,8.324,8.511,8.823,16.502,17.356,57.989,0.111
10,1092.400,9.125,7.298,8.216,8.333,8.464,8.647,16.392,17.403,99.774,0.110
15,1105.600,9.026,7.264,8.216,8.332,8.462,8.673,10.230,16.969,108.120,0.111
20,1082.800,9.222,5.467,8.216,8.333,8.478,8.703,16.523,17.170,99.841,0.108
25,1121.600,8.901,7.203,8.217,8.336,8.473,8.655,8.990,17.026,91.449,0.112
30,1100.000,9.073,7.423,8.213,8.333,8.469,8.685,16.401,17.008,83.274,0.110
35,1046.000,9.543,7.337,8.233,8.341,8.474,8.734,16.668,25.461,91.728,0.105
40,1101.400,9.061,7.454,8.212,8.335,8.485,8.690,16.537,17.531,74.808,0.110
45,1104.600,9.032,7.333,8.209,8.333,8.484,8.709,16.593,17.285,69.192,0.111
50,1103.400,9.042,7.002,8.221,8.336,8.471,8.686,16.610,17.240,66.381,0.111
55,1071.800,9.321,6.070,8.222,8.338,8.478,8.690,16.566,18.057,177.164,0.107
60,1122.000,8.897,7.333,8.194,8.337,8.496,8.715,16.350,16.988,74.788,0.112
65,1083.600,9.209,7.243,8.220,8.341,8.474,8.685,16.541,24.995,149.950,0.109
70,1051.400,9.489,7.356,8.174,8.332,8.514,8.813,16.462,25.298,141.578,0.105
75,977.600,10.233,7.036,8.237,8.369,8.550,16.483,17.064,50.093,100.021,0.098
80,1064.000,9.370,7.044,8.224,8.359,8.521,8.888,16.787,17.523,99.613,0.107
85,1076.000,9.280,7.335,8.237,8.356,8.501,8.827,16.742,25.030,100.589,0.108
90,1024.000,9.741,7.427,8.233,8.348,8.493,8.860,16.739,25.158,167.329,0.103
95,1072.000,9.319,5.967,8.239,8.359,8.501,8.810,16.775,25.202,83.472,0.107
100,1077.800,9.259,6.503,8.212,8.344,8.493,8.753,16.677,17.540,116.841,0.108
105,1072.800,9.309,7.329,8.178,8.343,8.537,8.862,16.726,17.478,150.332,0.107
110,1041.200,9.591,7.472,8.228,8.350,8.488,8.745,16.693,25.407,149.895,0.104
115,992.000,10.037,6.369,8.220,8.359,8.545,16.389,16.776,41.648,142.909,0.100
