Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,210.800,17.170,0.712,1.536,5.637,25.742,46.597,58.958,96.833,211.068,0.058
5,241.000,15.405,0.639,1.325,5.660,26.781,37.738,44.360,55.365,986.477,0.065
10,197.000,17.365,0.689,1.273,4.619,27.072,46.827,59.882,98.171,127.505,0.058
15,263.600,13.658,0.683,1.197,4.093,23.368,35.607,43.427,55.232,200.578,0.073
20,209.400,16.030,0.725,1.231,5.084,25.208,43.702,52.550,78.658,186.212,0.062
25,254.200,14.205,0.731,1.194,3.843,22.917,35.640,50.951,85.624,164.709,0.070
30,191.800,18.251,0.752,1.236,7.809,32.116,51.552,60.888,82.430,91.154,0.055
35,204.200,17.346,0.719,1.264,5.444,34.127,47.258,53.988,67.557,91.525,0.058
40,219.000,15.814,0.708,1.227,4.050,27.050,45.975,53.017,59.807,76.240,0.063
45,219.600,16.178,0.744,1.242,5.179,27.432,45.659,52.923,68.080,80.544,0.062
50,214.400,16.745,0.715,1.237,4.746,25.966,47.657,59.599,93.854,110.407,0.060
55,201.400,15.557,0.750,1.221,4.370,24.744,43.961,58.191,79.521,107.669,0.064
60,196.400,17.452,0.733,1.245,9.141,27.781,48.684,57.717,74.115,100.073,0.057
65,205.400,16.022,0.743,1.247,3.788,26.731,48.276,55.629,68.957,92.252,0.062
70,225.200,14.554,0.756,1.210,3.752,25.015,42.927,51.716,60.245,77.551,0.069
75,221.400,16.863,0.759,1.243,4.133,25.826,45.496,53.023,67.208,1027.115,0.059
80,229.400,16.026,0.706,1.265,5.097,26.566,46.117,53.131,66.168,79.316,0.062
85,225.000,15.753,0.746,1.233,5.946,24.499,44.391,53.984,68.788,85.599,0.063
90,171.400,19.454,0.711,1.255,4.700,33.044,51.945,60.778,109.115,404.468,0.051
95,208.800,13.198,0.732,1.194,2.891,18.216,41.906,56.406,79.946,127.498,0.076
100,213.400,15.879,0.730,1.222,5.685,25.310,47.163,54.570,72.778,83.558,0.063
105,231.200,14.825,0.732,1.247,3.791,25.415,44.637,51.853,62.325,76.891,0.067
110,215.800,15.956,0.708,1.247,4.673,26.773,45.104,53.117,63.223,75.616,0.063
115,211.000,19.029,0.727,1.287,11.688,34.897,50.528,56.280,69.724,85.986,0.053
