time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,259,259.000,259.000,214514,214514,258,1
1,380,380.000,380.000,110502,110502,379,1
2,490,490.000,490.000,83527,83527,489,1
3,497,497.000,497.000,82943,82943,497,0
4,490,490.000,490.000,78897,78897,490,0
5,480,480.000,480.000,87700,87700,479,1
6,548,548.000,548.000,67955,67955,547,1
7,572,572.000,572.000,73265,73265,572,0
8,520,520.000,520.000,73619,73619,519,1
9,553,553.000,553.000,66172,66172,553,0
10,599,599.000,599.000,63255,63255,598,1
11,600,600.000,600.000,65094,65094,599,1
12,577,577.000,577.000,64102,64102,576,1
13,533,533.000,533.000,66191,66191,533,0
14,432,432.000,432.000,103587,103587,431,1
15,302,302.000,302.000,127326,127326,301,1
16,370,370.000,370.000,100790,100790,369,1
17,367,367.000,367.000,137983,137983,366,1
18,606,606.000,606.000,63195,63195,605,1
19,690,690.000,690.000,57012,57012,689,1
20,661,661.000,661.000,55937,55937,660,1
21,673,673.000,673.000,58059,58059,673,0
22,472,472.000,472.000,143871,143871,472,0
23,682,682.000,682.000,58526,58526,681,1
24,523,523.000,523.000,68500,68500,522,1
25,348,348.000,348.000,184951,184951,347,1
26,368,368.000,368.000,80631,80631,368,0
27,513,513.000,513.000,73732,73732,512,1
28,767,767.000,767.000,52944,52944,766,1
29,725,725.000,725.000,53081,53081,725,0
30,365,365.000,365.000,171115,171115,364,1
31,340,340.000,340.000,105942,105942,340,0
32,367,367.000,367.000,82175,82175,367,0
33,370,370.000,370.000,87127,87127,369,1
34,440,440.000,440.000,78531,78531,440,0
35,426,426.000,426.000,76159,76159,425,1
36,461,461.000,461.000,77908,77908,460,1
37,455,455.000,455.000,78203,78203,454,1
38,462,462.000,462.000,63067,63067,462,0
39,490,490.000,490.000,75836,75836,489,1
40,445,445.000,445.000,80095,80095,445,0
41,515,515.000,515.000,71890,71890,514,1
42,538,538.000,538.000,71975,71975,537,1
43,537,537.000,537.000,62489,62489,536,1
44,494,494.000,494.000,76334,76334,494,0
45,499,499.000,499.000,67517,67517,499,0
46,485,485.000,485.000,77291,77291,484,1
47,441,441.000,441.000,77666,77666,440,1
48,470,470.000,470.000,72364,72364,469,1
49,514,514.000,514.000,60758,60758,513,1
50,454,454.000,454.000,78401,78401,453,1
51,480,480.000,480.000,71553,71553,479,1
52,472,472.000,472.000,71629,71629,472,0
53,480,480.000,480.000,70537,70537,479,1
54,552,552.000,552.000,74260,74260,551,1
55,419,419.000,419.000,103609,103609,418,1
56,337,337.000,337.000,110271,110271,336,1
57,369,369.000,369.000,101960,101960,368,1
58,397,397.000,397.000,118365,118365,397,0
59,343,343.000,343.000,83817,83817,342,1
60,450,450.000,450.000,93013,93013,449,1
61,703,703.000,703.000,61221,61221,703,0
62,718,718.000,718.000,54147,54147,717,1
63,318,318.000,318.000,104746,104746,317,1
64,385,385.000,385.000,78868,78868,384,1
65,419,419.000,419.000,82991,82991,418,1
66,443,443.000,443.000,75023,75023,442,1
67,391,391.000,391.000,86450,86450,390,1
68,448,448.000,448.000,74932,74932,447,1
69,412,412.000,412.000,81114,81114,412,0
70,508,508.000,508.000,74815,74815,507,1
71,475,475.000,475.000,73074,73074,474,1
72,455,455.000,455.000,71872,71872,454,1
73,541,541.000,541.000,73465,73465,540,1
74,536,536.000,536.000,63064,63064,536,0
75,519,519.000,519.000,66515,66515,518,1
76,476,476.000,476.000,71480,71480,475,1
77,447,447.000,447.000,71163,71163,446,1
78,493,493.000,493.000,79469,79469,492,1
79,480,480.000,480.000,85016,85016,479,1
80,500,500.000,500.000,81963,81963,500,0
81,450,450.000,450.000,85304,85304,449,1
82,496,496.000,496.000,77791,77791,495,1
83,499,499.000,499.000,78385,78385,498,1
84,495,495.000,495.000,73638,73638,494,1
85,477,477.000,477.000,75839,75839,477,0
86,488,488.000,488.000,69560,69560,488,0
87,543,543.000,543.000,71029,71029,542,1
88,472,472.000,472.000,77162,77162,472,0
89,499,499.000,499.000,73715,73715,498,1
90,475,475.000,475.000,68414,68414,474,1
91,469,469.000,469.000,69213,69213,469,0
92,192,192.000,192.000,405055,405055,192,0
93,476,476.000,476.000,71158,71158,476,0
94,364,364.000,364.000,202481,202481,364,0
95,489,489.000,489.000,70901,70901,488,1
96,397,397.000,397.000,96999,96999,397,0
97,398,398.000,398.000,76003,76003,397,1
98,434,434.000,434.000,109104,109104,433,1
99,496,496.000,496.000,155578,155578,496,0
100,573,573.000,573.000,84765,84765,573,0
101,488,488.000,488.000,74880,74880,488,0
102,520,520.000,520.000,85219,85219,520,0
103,438,438.000,438.000,91935,91935,437,1
104,489,489.000,489.000,82809,82809,488,1
105,444,444.000,444.000,66231,66231,444,0
106,467,467.000,467.000,76225,76225,467,0
107,557,557.000,557.000,68938,68938,557,0
108,500,500.000,500.000,78025,78025,500,0
109,524,524.000,524.000,73564,73564,524,0
110,514,514.000,514.000,55958,55958,513,1
111,531,531.000,531.000,67898,67898,530,1
112,518,518.000,518.000,62226,62226,517,1
113,480,480.000,480.000,69440,69440,480,0
114,449,449.000,449.000,75535,75535,448,1
115,443,443.000,443.000,78991,78991,443,0
116,513,513.000,513.000,66483,66483,513,0
117,493,493.000,493.000,69774,69774,492,1
118,477,477.000,477.000,75213,75213,476,1
119,499,499.000,499.000,73314,73314,499,0
