Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.800,38.150,1.784,2.872,20.168,72.191,85.817,103.735,124.609,124.609,0.026
5,23.600,32.026,1.144,1.986,38.382,58.409,66.409,79.941,90.660,115.002,0.031
10,20.800,36.545,1.537,1.845,8.672,71.207,84.663,92.855,141.799,164.189,0.027
15,17.600,30.052,1.507,1.779,27.437,55.389,63.584,69.407,97.697,97.697,0.033
20,17.200,27.703,1.476,1.808,3.601,53.717,71.245,85.346,103.316,103.316,0.036
25,21.400,34.138,1.463,1.829,29.855,52.833,78.193,88.814,197.204,207.520,0.029
30,17.200,39.092,1.484,1.812,33.768,73.746,83.387,88.635,118.140,118.140,0.026
35,19.600,33.207,1.460,1.755,27.296,63.303,73.682,79.556,89.266,89.266,0.030
40,18.400,32.924,1.472,1.761,38.395,63.381,71.398,72.339,89.748,89.748,0.030
45,16.600,33.930,1.617,1.852,39.947,65.445,71.668,74.331,97.438,97.438,0.029
50,17.000,44.895,1.548,1.882,56.448,70.114,86.404,108.681,127.817,127.817,0.022
55,17.800,32.686,1.459,1.779,3.087,66.936,86.111,93.196,110.195,110.195,0.031
60,21.400,32.939,1.430,1.756,27.689,59.983,80.663,87.001,93.332,94.067,0.030
65,19.400,28.734,1.552,1.778,2.103,62.497,72.275,77.172,94.049,94.049,0.035
70,18.000,33.230,1.454,1.803,29.916,63.292,72.573,75.419,84.988,84.988,0.030
75,18.800,33.935,1.535,1.962,36.932,63.144,76.439,80.776,93.946,93.946,0.029
80,20.800,32.585,1.404,1.792,26.817,61.483,72.752,77.460,87.509,89.578,0.031
85,18.600,33.100,1.553,1.796,29.294,60.806,77.208,82.402,96.895,96.895,0.030
90,15.800,44.185,1.465,1.758,15.417,68.124,85.092,136.220,424.509,424.509,0.023
95,17.800,41.773,1.412,1.751,12.996,76.191,99.479,119.781,231.617,231.617,0.024
100,19.600,27.271,1.441,1.732,2.443,62.157,72.909,77.343,87.479,87.479,0.037
105,20.600,40.183,1.411,1.824,53.252,63.833,71.029,73.476,89.264,97.046,0.025
110,19.600,30.369,1.446,1.737,2.224,61.958,72.334,78.587,92.115,92.115,0.033
115,20.000,29.777,1.453,1.755,13.645,61.722,71.150,80.849,93.311,93.311,0.034
