Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,334,334.000,1117,8019,16633,30397,41079,65396,78987,231430,253571,334,0,231430,16633,30397,41079,65396,78987
1,450,450.000,946,3555,16976,22141,37894,50818,59384,82027,124609,450,0,82027,16976,22141,37894,50818,59384
2,485,485.000,664,2610,16906,20576,30820,48437,58344,90740,119965,484,1,90740,16906,20576,30820,48437,58344
3,523,523.000,734,2423,15262,19040,30710,46180,53443,85817,97371,522,1,85817,15262,19040,30710,46180,53443
4,500,500.000,802,2440,17965,20124,31343,46820,57434,78757,85056,499,1,78757,17965,20124,31343,46820,57434
5,559,559.000,603,1655,14867,19385,27585,42870,53601,70542,1032988,559,0,70542,14867,19385,27585,42870,53601
6,500,500.000,650,2646,13101,18047,28451,43435,50700,74853,86435,499,1,74853,13101,18047,28451,43435,50700
7,571,571.000,582,1722,15621,17711,27518,43811,53408,69931,90660,571,0,69931,15621,17711,27518,43811,53408
8,541,541.000,493,1946,17946,18330,28093,40641,45915,65268,85331,540,1,65268,17946,18330,28093,40641,45915
9,602,602.000,517,1899,15800,16525,26268,37874,45785,61771,73293,601,1,61771,15800,16525,26268,37874,45785
10,573,573.000,627,2051,16757,17435,26844,38480,47529,60891,92855,573,0,60891,16757,17435,26844,38480,47529
11,556,556.000,665,1659,15824,18020,27597,43837,51589,72276,90257,555,1,72276,15824,18020,27597,43837,51589
12,465,465.000,661,1804,15394,21512,36235,52220,61574,84997,103296,464,1,84997,15394,21512,36235,52220,61574
13,296,296.000,644,1787,19434,34281,53165,103262,117922,141799,164189,295,1,141799,19434,34281,53165,103262,117922
14,327,327.000,826,2060,25470,30262,48158,78772,85313,114291,121562,327,0,114291,25470,30262,48158,78772,85313
15,362,362.000,687,2110,20966,27379,37612,56188,74225,142629,202419,361,1,142629,20966,27379,37612,56188,74225
16,595,595.000,569,1782,15872,16822,26275,38264,45216,62043,80714,595,0,62043,15872,16822,26275,38264,45216
17,652,652.000,545,1722,14628,15269,24764,34240,42588,60936,80711,651,1,60936,14628,15269,24764,34240,42588
18,622,622.000,555,1707,14966,15952,25314,35761,45634,62311,85963,621,1,62311,14966,15952,25314,35761,45634
19,664,664.000,533,1608,14842,15225,23876,34523,42853,61297,73734,664,0,61297,14842,15225,23876,34523,42853
20,452,452.000,603,1918,16358,21813,25869,52683,83719,143741,185876,451,1,143741,16358,21813,25869,52683,83719
21,670,670.000,589,1547,15198,14919,22135,34268,41832,56067,71842,669,1,56067,15198,14919,22135,34268,41832
22,596,596.000,554,1515,15040,16875,26758,41571,45458,61415,83954,595,1,61415,15040,16875,26758,41571,45458
23,376,376.000,662,1585,17641,26712,37419,65794,85883,186532,188801,375,1,186532,17641,26712,37419,65794,85883
24,366,366.000,618,1748,25795,27314,49938,59054,68399,83022,110979,366,0,83022,25795,27314,49938,59054,68399
25,467,467.000,561,1622,17499,21117,34964,50688,52409,77143,101919,466,1,77143,17499,21117,34964,50688,52409
26,711,711.000,553,1800,14683,14136,18854,33505,37013,52738,81763,710,1,52738,14683,14136,18854,33505,37013
27,768,768.000,482,1572,11821,12916,18451,27281,35058,54048,79212,768,0,54048,11821,12916,18451,27281,35058
