Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1664338640.892324,241759,0,1,0,0,1,0,0
1,NewOrder,1664338640.893883,175024,1,1,0,0,1,0,0
1,NewOrder,1664338640.893970,191964,2,1,0,0,1,0,0
1,NewOrder,1664338640.894055,269738,3,1,0,0,1,0,0
1,NewOrder,1664338640.894101,269412,9,1,0,0,1,0,0
1,NewOrder,1664338640.894191,175428,5,1,0,0,1,0,0
1,NewOrder,1664338640.894206,174857,6,1,0,0,1,0,0
1,NewOrder,1664338640.894241,247515,4,1,0,0,1,0,0
1,NewOrder,1664338640.894272,226467,7,1,0,0,1,0,0
1,NewOrder,1664338641.068595,9359,8,1,0,0,0,1,1126
1,NewOrder,1664338641.069316,20947,1,1,0,0,0,1,1816
1,NewOrder,1664338641.069368,25413,6,1,0,0,0,1,1751
1,NewOrder,1664338641.069758,32009,5,1,0,0,0,1,1802
1,NewOrder,1664338641.077992,16357,8,1,0,0,1,0,0
1,NewOrder,1664338641.086078,17742,2,1,0,0,0,1,2385
1,NewOrder,1664338641.090394,27236,1,1,0,0,1,0,0
1,NewOrder,1664338641.094430,18970,8,1,0,0,0,1,1330
1,NewOrder,1664338641.094869,23864,6,1,0,0,1,0,0
1,NewOrder,1664338641.101865,17656,5,1,0,0,1,0,0
1,NewOrder,1664338641.103881,16619,2,1,0,0,1,0,0
1,NewOrder,1664338641.113455,30091,8,1,0,0,1,0,0
1,NewOrder,1664338641.117701,17495,1,1,0,0,0,1,4299
1,NewOrder,1664338641.118810,17676,6,1,0,0,0,1,1618
1,NewOrder,1664338641.119564,17215,5,1,0,0,0,1,2236
1,NewOrder,1664338641.120554,9972,2,1,0,0,0,1,1412
1,NewOrder,1664338641.120879,21287,7,1,0,0,0,1,3036
1,NewOrder,1664338641.130995,45020,2,1,0,0,1,0,0
1,NewOrder,1664338641.134213,16142,0,1,0,0,0,1,1382
1,NewOrder,1664338641.135239,22399,1,1,0,0,1,0,0
1,NewOrder,1664338641.136544,30884,6,1,0,0,1,0,0
1,NewOrder,1664338641.136818,26274,5,1,0,0,1,0,0
1,NewOrder,1664338641.142206,32949,7,1,0,0,1,0,0
1,NewOrder,1664338641.142600,22218,4,1,0,0,0,1,2113
1,NewOrder,1664338641.143582,11001,8,1,0,0,0,1,1047
1,NewOrder,1664338641.150422,94034,0,1,0,0,0,1,86393
1,NewOrder,1664338641.154618,21937,8,1,0,0,1,0,0
1,NewOrder,1664338641.157670,6052,1,1,0,0,0,1,843
1,NewOrder,1664338641.163122,10788,5,1,0,0,0,1,4529
1,NewOrder,1664338641.163582,11386,9,1,0,0,0,1,827
1,NewOrder,1664338641.163756,38157,1,1,0,0,1,0,0
1,NewOrder,1664338641.163891,19623,3,1,0,0,0,1,878
1,NewOrder,1664338641.164867,56259,4,1,0,0,1,0,0
1,NewOrder,1664338641.167468,20980,6,1,0,0,0,1,12994
1,NewOrder,1664338641.173945,26621,5,1,0,0,1,0,0
1,NewOrder,1664338641.175002,64328,9,1,0,0,1,0,0
1,NewOrder,1664338641.175199,13753,7,1,0,0,0,1,934
1,NewOrder,1664338641.176070,19433,2,1,0,0,0,1,1009
1,NewOrder,1664338641.176591,15899,8,1,0,0,0,1,831
1,NewOrder,1664338641.183547,35403,3,1,0,0,1,0,0
1,NewOrder,1664338641.188490,15328,6,1,0,0,1,0,0
1,NewOrder,1664338641.188993,22700,7,1,0,0,1,0,0
1,NewOrder,1664338641.192537,12016,8,1,0,0,1,0,0
1,NewOrder,1664338641.195563,36529,2,1,0,0,1,0,0
1,NewOrder,1664338641.200604,8490,5,1,0,0,0,1,881
1,NewOrder,1664338641.201950,6725,1,1,0,0,0,1,884
1,NewOrder,1664338641.203852,6435,6,1,0,0,0,1,1805
1,NewOrder,1664338641.204591,5046,8,1,0,0,0,1,946
1,NewOrder,1664338641.208707,22385,1,1,0,0,1,0,0
1,NewOrder,1664338641.209124,18864,5,1,0,0,1,0,0
1,NewOrder,1664338641.209938,18619,8,1,0,0,1,0,0
1,NewOrder,1664338641.210361,19347,6,1,0,0,1,0,0
1,NewOrder,1664338641.211869,17176,7,1,0,0,0,1,1706
1,NewOrder,1664338641.219032,9623,3,1,0,0,0,1,956
1,NewOrder,1664338641.221172,4884,4,1,0,0,0,1,774
1,NewOrder,1664338641.226083,63471,4,1,0,0,1,0,0
1,NewOrder,1664338641.228024,46008,5,1,0,0,0,1,1004
1,NewOrder,1664338641.228627,41402,8,1,0,0,0,1,14524
1,NewOrder,1664338641.228698,31847,3,1,0,0,1,0,0
1,NewOrder,1664338641.229112,17067,7,1,0,0,1,0,0
1,NewOrder,1664338641.229751,33554,6,1,0,0,0,1,3636
1,NewOrder,1664338641.231128,8136,1,1,0,0,0,1,932
1,NewOrder,1664338641.232131,20561,2,1,0,0,0,1,1302
1,NewOrder,1664338641.239294,21497,1,1,0,0,1,0,0
1,NewOrder,1664338641.239369,16498,9,1,0,0,0,1,1876
1,NewOrder,1664338641.244512,41429,0,1,0,0,1,0,0
1,NewOrder,1664338641.246214,16702,7,1,0,0,0,1,1934
