time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,353,353.000,353.000,186189,186189,352,1
1,501,501.000,501.000,74246,74246,500,1
2,499,499.000,499.000,77262,77262,498,1
3,475,475.000,475.000,85186,85186,474,1
4,504,504.000,504.000,76003,76003,503,1
5,515,515.000,515.000,65329,65329,514,1
6,513,513.000,513.000,65426,65426,512,1
7,535,535.000,535.000,70354,70354,534,1
8,487,487.000,487.000,124363,124363,486,1
9,466,466.000,466.000,166696,166696,465,1
10,546,546.000,546.000,65343,65343,545,1
11,545,545.000,545.000,66268,66268,544,1
12,558,558.000,558.000,57324,57324,557,1
13,547,547.000,547.000,66757,66757,546,1
14,450,450.000,450.000,208126,208126,449,1
15,560,560.000,560.000,49812,49812,560,0
16,579,579.000,579.000,49344,49344,578,1
17,467,467.000,467.000,125276,125276,467,0
18,528,528.000,528.000,58546,58546,527,1
19,490,490.000,490.000,101201,101201,489,1
20,466,466.000,466.000,188261,188261,465,1
21,515,515.000,515.000,784402,784402,515,0
22,233,233.000,233.000,62483,62483,232,1
23,588,588.000,588.000,57515,57515,587,1
24,565,565.000,565.000,65271,65271,564,1
25,577,577.000,577.000,56426,56426,576,1
26,551,551.000,551.000,58330,58330,550,1
27,550,550.000,550.000,65231,65231,549,1
28,515,515.000,515.000,98914,98914,514,1
29,520,520.000,520.000,858894,858894,519,1
30,203,203.000,203.000,73829,73829,202,1
31,581,581.000,581.000,57199,57199,580,1
32,452,452.000,452.000,272319,272319,451,1
33,529,529.000,529.000,65937,65937,528,1
34,522,522.000,522.000,57800,57800,521,1
35,544,544.000,544.000,66883,66883,544,0
36,547,547.000,547.000,50521,50521,546,1
37,494,494.000,494.000,83631,83631,494,0
38,571,571.000,571.000,57616,57616,571,0
39,600,600.000,600.000,56419,56419,600,0
40,571,571.000,571.000,57242,57242,570,1
41,569,569.000,569.000,57856,57856,569,0
42,550,550.000,550.000,180835,180835,549,1
43,533,533.000,533.000,57269,57269,532,1
44,542,542.000,542.000,57072,57072,541,1
45,589,589.000,589.000,58369,58369,588,1
46,573,573.000,573.000,64741,64741,572,1
47,556,556.000,556.000,56667,56667,555,1
48,483,483.000,483.000,124251,124251,482,1
49,581,581.000,581.000,58082,58082,580,1
50,566,566.000,566.000,57698,57698,566,0
51,523,523.000,523.000,90429,90429,522,1
52,585,585.000,585.000,56891,56891,584,1
53,454,454.000,454.000,182590,182590,454,0
54,604,604.000,604.000,49414,49414,604,0
55,539,539.000,539.000,57492,57492,539,0
56,322,322.000,322.000,827335,827335,321,1
57,384,384.000,384.000,58161,58161,384,0
58,575,575.000,575.000,58203,58203,574,1
59,549,549.000,549.000,66604,66604,549,0
60,555,555.000,555.000,65832,65832,554,1
61,542,542.000,542.000,58656,58656,541,1
62,583,583.000,583.000,56979,56979,583,0
63,613,613.000,613.000,48884,48884,612,1
64,568,568.000,568.000,57143,57143,567,1
65,414,414.000,414.000,274732,274732,413,1
66,529,529.000,529.000,57553,57553,529,0
67,547,547.000,547.000,57149,57149,546,1
68,539,539.000,539.000,58673,58673,538,1
69,573,573.000,573.000,58256,58256,573,0
70,566,566.000,566.000,74382,74382,565,1
71,487,487.000,487.000,133893,133893,486,1
72,526,526.000,526.000,65848,65848,525,1
73,575,575.000,575.000,57139,57139,574,1
74,531,531.000,531.000,58086,58086,530,1
75,502,502.000,502.000,117429,117429,501,1
76,467,467.000,467.000,200486,200486,466,1
77,535,535.000,535.000,73981,73981,534,1
78,566,566.000,566.000,65962,65962,566,0
79,581,581.000,581.000,56986,56986,580,1
80,579,579.000,579.000,57719,57719,579,0
81,558,558.000,558.000,57194,57194,557,1
82,575,575.000,575.000,57367,57367,574,1
83,560,560.000,560.000,66062,66062,559,1
84,580,580.000,580.000,57265,57265,579,1
85,592,592.000,592.000,56915,56915,591,1
86,528,528.000,528.000,57329,57329,527,1
87,401,401.000,401.000,233553,233553,400,1
88,585,585.000,585.000,57543,57543,584,1
89,558,558.000,558.000,56598,56598,557,1
90,585,585.000,585.000,49538,49538,584,1
91,457,457.000,457.000,160690,160690,457,0
92,544,544.000,544.000,57889,57889,543,1
93,503,503.000,503.000,108157,108157,502,1
94,583,583.000,583.000,57764,57764,582,1
95,554,554.000,554.000,48335,48335,553,1
96,498,498.000,498.000,108091,108091,497,1
97,589,589.000,589.000,49081,49081,588,1
98,413,413.000,413.000,180973,180973,413,0
99,617,617.000,617.000,57496,57496,616,1
100,590,590.000,590.000,56270,56270,589,1
101,525,525.000,525.000,75316,75316,524,1
102,564,564.000,564.000,56184,56184,563,1
103,583,583.000,583.000,57742,57742,582,1
104,533,533.000,533.000,74488,74488,532,1
105,565,565.000,565.000,67163,67163,564,1
106,267,267.000,267.000,959830,959830,266,1
107,448,448.000,448.000,57101,57101,447,1
108,339,339.000,339.000,916337,916337,339,0
109,372,372.000,372.000,222219,222219,371,1
110,472,472.000,472.000,192498,192498,471,1
111,554,554.000,554.000,74608,74608,553,1
112,563,563.000,563.000,57944,57944,562,1
113,431,431.000,431.000,234487,234487,430,1
114,546,546.000,546.000,58168,58168,546,0
115,519,519.000,519.000,57609,57609,519,0
116,514,514.000,514.000,58170,58170,513,1
117,560,560.000,560.000,58681,58681,560,0
118,475,475.000,475.000,209208,209208,474,1
119,543,543.000,543.000,56292,56292,543,0
