Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,466.400,21.423,0.722,1.432,21.985,33.234,46.719,56.757,83.078,201.024,0.047
5,503.200,19.798,0.745,1.258,23.483,32.366,40.682,49.576,82.148,203.841,0.051
10,529.200,18.874,0.766,1.228,23.473,32.245,40.263,48.768,68.181,241.951,0.053
15,524.800,19.041,0.776,1.203,23.778,32.378,35.809,47.816,83.081,133.395,0.053
20,473.400,21.120,0.824,1.184,23.481,32.199,33.636,41.064,79.039,1027.030,0.047
25,542.600,20.576,0.797,1.187,23.621,32.288,33.674,41.397,72.564,1033.944,0.049
30,457.400,19.250,0.714,1.180,23.832,32.321,33.694,40.892,66.466,369.653,0.052
35,551.200,18.124,0.769,1.187,23.707,32.290,33.648,41.994,73.567,107.359,0.055
40,553.000,18.079,0.727,1.192,23.766,32.215,33.575,40.724,58.659,213.931,0.055
45,556.400,17.946,0.788,1.187,23.753,32.256,33.560,40.804,65.219,133.734,0.056
50,546.400,18.299,0.806,1.182,23.732,32.200,33.581,41.035,74.697,190.461,0.055
55,473.800,21.047,0.799,1.194,23.737,32.260,33.651,40.947,65.362,1045.981,0.048
60,572.200,17.512,0.712,1.190,23.699,32.242,33.591,40.713,57.408,90.893,0.057
65,520.400,19.167,0.751,1.212,23.772,32.350,33.708,42.013,65.162,309.910,0.052
70,537.000,18.629,0.845,1.210,23.757,32.322,33.737,41.716,72.978,175.890,0.054
75,530.200,18.828,0.802,1.217,23.637,32.291,33.994,42.144,74.255,233.242,0.053
80,570.400,17.513,0.802,1.200,23.648,32.210,33.621,40.664,57.719,90.993,0.057
85,532.800,18.746,0.809,1.201,23.701,32.272,33.650,41.016,61.839,357.423,0.053
90,534.400,18.683,0.758,1.215,23.639,32.228,33.677,41.495,81.273,200.084,0.054
95,534.200,18.744,0.841,1.196,23.671,32.290,33.617,40.818,106.438,182.368,0.053
100,559.000,17.845,0.738,1.201,23.618,32.236,33.555,40.954,66.715,149.542,0.056
105,398.200,25.110,0.872,1.190,23.596,32.265,35.484,48.558,359.674,1044.537,0.040
110,513.200,19.434,0.722,1.197,23.997,32.860,36.366,42.827,79.920,235.173,0.051
115,522.200,18.997,0.829,1.198,24.044,32.640,34.024,41.430,64.282,218.610,0.053
