time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,340,340.000,340.000,183750,183750,339,1
1,463,463.000,463.000,99820,99820,462,1
2,561,561.000,561.000,108279,108279,560,1
3,520,520.000,520.000,108375,108375,519,1
4,590,590.000,590.000,24985,24985,589,1
5,610,610.000,610.000,24585,24585,609,1
6,620,620.000,620.000,24907,24907,619,1
7,620,620.000,620.000,24881,24881,619,1
8,640,640.000,640.000,49886,49886,639,1
9,665,665.000,665.000,33359,33359,664,1
10,665,665.000,665.000,25456,25456,664,1
11,615,615.000,615.000,59094,59094,614,1
12,810,810.000,810.000,24680,24680,809,1
13,790,790.000,790.000,107967,107967,789,1
14,874,874.000,874.000,17314,17314,873,1
15,787,787.000,787.000,25192,25192,786,1
16,999,999.000,999.000,17472,17472,998,1
17,980,980.000,980.000,24967,24967,979,1
18,950,950.000,950.000,49933,49933,949,1
19,990,990.000,990.000,25045,25045,989,1
20,811,811.000,811.000,107574,107574,810,1
21,1088,1088.000,1088.000,17037,17037,1087,1
22,890,890.000,890.000,17336,17336,889,1
23,980,980.000,980.000,25058,25058,979,1
24,956,956.000,956.000,33080,33080,955,1
25,1034,1034.000,1034.000,25618,25618,1033,1
26,1000,1000.000,1000.000,17024,17024,999,1
27,880,880.000,880.000,108128,108128,879,1
28,740,740.000,740.000,141079,141079,739,1
29,900,900.000,900.000,24962,24962,899,1
30,832,832.000,832.000,25174,25174,831,1
31,652,652.000,652.000,58316,58316,651,1
32,850,850.000,850.000,17191,17191,849,1
33,950,950.000,950.000,17066,17066,949,1
34,800,800.000,800.000,107636,107636,799,1
35,772,772.000,772.000,25415,25415,771,1
36,928,928.000,928.000,17340,17340,927,1
37,1030,1030.000,1030.000,17412,17412,1029,1
38,970,970.000,970.000,24689,24689,969,1
39,920,920.000,920.000,74574,74574,919,1
40,960,960.000,960.000,25192,25192,959,1
41,830,830.000,830.000,149989,149989,829,1
42,860,860.000,860.000,82646,82646,859,1
43,834,834.000,834.000,34051,34051,833,1
44,900,900.000,900.000,17354,17354,899,1
45,1005,1005.000,1005.000,17209,17209,1004,1
46,1055,1055.000,1055.000,17258,17258,1054,1
47,1020,1020.000,1020.000,50096,50096,1019,1
48,890,890.000,890.000,49816,49816,889,1
49,1050,1050.000,1050.000,17619,17619,1049,1
50,1085,1085.000,1085.000,17033,17033,1084,1
51,1055,1055.000,1055.000,17191,17191,1054,1
52,1070,1070.000,1070.000,17578,17578,1069,1
53,980,980.000,980.000,99194,99194,979,1
54,1060,1060.000,1060.000,17094,17094,1059,1
55,910,910.000,910.000,25292,25292,909,1
56,1000,1000.000,1000.000,17319,17319,999,1
57,1030,1030.000,1030.000,18187,18187,1029,1
58,880,880.000,880.000,149628,149628,879,1
59,830,830.000,830.000,83005,83005,829,1
60,1020,1020.000,1020.000,18069,18069,1019,1
61,1009,1009.000,1009.000,17476,17476,1008,1
62,1060,1060.000,1060.000,20733,20733,1059,1
63,1070,1070.000,1070.000,17721,17721,1069,1
64,880,880.000,880.000,116178,116178,879,1
65,1035,1035.000,1035.000,18339,18339,1034,1
66,1055,1055.000,1055.000,18348,18348,1054,1
67,1020,1020.000,1020.000,19374,19374,1019,1
68,880,880.000,880.000,17284,17284,879,1
69,948,948.000,948.000,50135,50135,947,1
70,1015,1015.000,1015.000,24901,24901,1014,1
71,987,987.000,987.000,73836,73836,986,1
72,1000,1000.000,1000.000,17139,17139,999,1
73,990,990.000,990.000,66213,66213,989,1
74,900,900.000,900.000,100042,100042,899,1
75,786,786.000,786.000,150280,150280,785,1
76,994,994.000,994.000,50067,50067,993,1
77,1070,1070.000,1070.000,17049,17049,1069,1
78,1059,1059.000,1059.000,17594,17594,1058,1
79,1054,1054.000,1054.000,17433,17433,1053,1
80,858,858.000,858.000,140831,140831,857,1
81,1078,1078.000,1078.000,17149,17149,1077,1
82,1060,1060.000,1060.000,17115,17115,1059,1
83,930,930.000,930.000,24629,24629,929,1
84,897,897.000,897.000,25066,25066,896,1
85,866,866.000,866.000,140996,140996,865,1
86,968,968.000,968.000,24670,24670,967,1
87,840,840.000,840.000,141089,141089,839,1
88,1000,1000.000,1000.000,24632,24632,999,1
89,970,970.000,970.000,17490,17490,969,1
90,1073,1073.000,1073.000,17162,17162,1072,1
91,1027,1027.000,1027.000,17382,17382,1026,1
92,970,970.000,970.000,49813,49813,969,1
93,900,900.000,900.000,107735,107735,899,1
94,1100,1100.000,1100.000,18701,18701,1099,1
95,1055,1055.000,1055.000,17149,17149,1054,1
96,1025,1025.000,1025.000,17259,17259,1024,1
97,1118,1118.000,1118.000,17351,17351,1117,1
