Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,369,369.000,1312,9346,17328,27534,36932,68177,83340,128532,146968,368,1,128532,17328,27534,36932,68177,83340
1,471,471.000,1167,7010,13935,20988,29651,50572,58588,86429,126490,471,0,86429,13935,20988,29651,50572,58588
2,569,569.000,875,5138,10949,17523,22712,45073,56117,83314,124204,568,1,83314,10949,17523,22712,45073,56117
3,566,566.000,1066,4492,10140,18570,24148,48303,63670,93764,139618,565,1,93764,10140,18570,24148,48303,63670
4,667,667.000,1064,4745,9073,14282,18912,31920,40049,67384,98695,667,0,67384,9073,14282,18912,31920,40049
5,825,825.000,785,4081,7329,11995,16517,27230,36842,50999,79429,824,1,50999,7329,11995,16517,27230,36842
6,1002,1002.000,976,3798,6496,9989,14213,20529,27970,37530,54313,1001,1,37530,6496,9989,14213,20529,27970
7,1037,1037.000,961,3732,6223,9563,13220,19662,25901,39314,59850,1036,1,39314,6223,9563,13220,19662,25901
8,1020,1020.000,746,3531,6015,9711,13298,20325,26703,48517,69832,1020,0,48517,6015,9711,13298,20325,26703
9,527,527.000,752,3607,5615,19915,12055,17653,23362,623867,651688,526,1,623867,5615,19915,12055,17653,23362
10,1081,1081.000,779,3572,5510,8767,12773,17694,22036,36624,52031,1081,0,36624,5510,8767,12773,17694,22036
11,971,971.000,726,3888,6713,10510,13978,21017,30507,52532,105295,971,0,52532,6713,10510,13978,21017,30507
12,400,400.000,1188,6935,21995,24294,38065,51294,58902,72084,84455,399,1,72084,21995,24294,38065,51294,58902
13,497,497.000,695,6249,16435,20247,29669,44209,53845,75407,103254,496,1,75407,16435,20247,29669,44209,53845
14,609,609.000,976,4949,12681,16452,23179,35036,44962,74270,84075,608,1,74270,12681,16452,23179,35036,44962
15,771,771.000,950,4125,8733,13240,16899,29926,42420,74535,80699,770,1,74535,8733,13240,16899,29926,42420
16,850,850.000,701,3939,6963,11401,15348,24623,34797,50682,73129,849,1,50682,6963,11401,15348,24623,34797
17,834,834.000,1019,3990,7542,12048,15334,26921,36680,69239,82572,834,0,69239,7542,12048,15334,26921,36680
18,1021,1021.000,884,3587,6464,9741,14033,19338,25523,41688,57184,1021,0,41688,6464,9741,14033,19338,25523
19,1120,1120.000,859,3549,5652,8858,13385,18141,21450,36068,51137,1120,0,36068,5652,8858,13385,18141,21450
20,1128,1128.000,714,3521,5646,8909,12740,18099,22057,40009,67622,1127,1,40009,5646,8909,12740,18099,22057
21,1112,1112.000,741,3531,5582,8972,12570,18294,23863,40078,62988,1111,1,40078,5582,8972,12570,18294,23863
22,667,667.000,910,6466,11426,15321,17859,26356,35181,52847,1002271,666,1,52847,11426,15321,17859,26356,35181
23,651,651.000,952,4017,9454,15051,20572,36125,46957,69469,89265,651,0,69469,9454,15051,20572,36125,46957
24,478,478.000,1043,7997,19684,21781,32278,41480,47629,91904,107390,477,1,91904,19684,21781,32278,41480,47629
25,617,617.000,739,4372,10657,15367,22610,37634,43433,56467,74891,616,1,56467,10657,15367,22610,37634,43433
26,754,754.000,828,4297,9557,13249,19406,29127,37858,51358,71022,754,0,51358,9557,13249,19406,29127,37858
27,763,763.000,781,4041,8511,13484,18114,29009,45670,65986,90610,762,1,65986,8511,13484,18114,29009,45670
28,740,740.000,753,4068,7816,13237,17452,30349,42664,64006,97940,740,0,64006,7816,13237,17452,30349,42664
29,868,868.000,580,4009,8025,11402,15583,24464,34515,48366,66640,867,1,48366,8025,11402,15583,24464,34515
30,1067,1067.000,884,3709,6167,9378,13568,18800,24374,36723,60116,1067,0,36723,6167,9378,13568,18800,24374
31,1084,1084.000,693,3534,5647,9143,12399,19028,25498,41455,63785,1084,0,41455,5647,9143,12399,19028,25498
32,1113,1113.000,772,3640,6070,8975,12994,18237,22021,35210,55147,1112,1,35210,6070,8975,12994,18237,22021
33,429,429.000,1237,3792,5896,23270,13458,20013,32575,633678,642096,429,0,633678,5896,23270,13458,20013,32575
34,1095,1095.000,763,3591,6080,9128,13254,17919,21710,37065,55747,1094,1,37065,6080,9128,13254,17919,21710
35,700,700.000,852,4074,8818,14412,19131,37268,43901,59930,77377,699,1,59930,8818,14412,19131,37268,43901
36,465,465.000,648,6864,17187,21708,34833,42548,50371,66205,108135,464,1,66205,17187,21708,34833,42548,50371
37,619,619.000,1004,4477,11410,16047,22336,36173,42203,77525,112767,619,0,77525,11410,16047,22336,36173,42203
38,640,640.000,865,4392,11206,15450,20979,35907,47989,57254,75688,640,0,57254,11206,15450,20979,35907,47989
39,739,739.000,627,4206,8365,13616,17802,32596,44359,66274,81356,738,1,66274,8365,13616,17802,32596,44359
40,677,677.000,1036,4388,9645,15180,18851,27911,39402,80201,993936,677,0,80201,9645,15180,18851,27911,39402
41,715,715.000,900,4420,10425,13409,19047,27311,34977,53394,87587,715,0,53394,10425,13409,19047,27311,34977
42,1007,1007.000,1101,3518,6192,9845,13524,21067,28678,40931,66739,1006,1,40931,6192,9845,13524,21067,28678
43,1111,1111.000,886,3650,6045,9027,13332,17901,22127,36736,54787,1110,1,36736,6045,9027,13332,17901,22127
44,1111,1111.000,824,3493,6111,9007,12320,18429,23105,38648,52322,1111,0,38648,6111,9007,12320,18429,23105
45,1098,1098.000,779,3433,5308,9050,12725,18937,26000,39328,85737,1097,1,39328,5308,9050,12725,18937,26000
46,1148,1148.000,855,3430,5523,8715,12950,18412,21859,36309,49624,1147,1,36309,5523,8715,12950,18412,21859
47,622,622.000,838,4345,11667,16055,25213,35565,44860,60392,97040,622,0,60392,11667,16055,25213,35565,44860
48,468,468.000,1052,6039,19351,21747,32895,43694,53339,71589,91540,468,0,71589,19351,21747,32895,43694,53339
