Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.600,7.501,1.146,4.958,6.095,8.778,11.925,13.873,17.382,61.587,0.133
5,33.600,5.381,0.879,4.400,5.139,6.221,7.194,8.269,10.226,10.849,0.186
10,25.600,5.574,2.345,4.592,5.234,6.017,7.651,9.052,11.042,11.909,0.179
15,36.800,5.852,2.027,4.503,5.445,6.976,8.142,8.810,11.557,13.782,0.171
20,32.800,8.864,2.886,4.741,5.751,7.749,19.187,26.652,56.409,63.048,0.113
25,29.800,6.108,2.139,4.760,5.643,6.953,8.663,10.313,12.350,12.890,0.164
30,40.200,5.807,0.894,4.610,5.369,6.386,7.714,8.518,11.630,36.438,0.172
35,25.000,6.086,0.678,4.920,5.764,7.124,8.433,9.832,12.682,14.329,0.164
40,35.200,6.519,1.881,4.429,5.210,6.524,9.662,12.190,27.519,56.935,0.153
45,30.600,5.502,0.615,4.656,5.282,6.615,7.542,7.949,8.840,8.842,0.182
50,31.800,6.758,0.751,4.764,5.573,7.171,9.034,13.667,30.582,30.997,0.148
55,37.200,5.565,0.720,4.578,5.295,6.182,7.614,8.202,10.667,11.419,0.180
60,25.600,5.797,0.893,4.802,5.779,6.876,7.876,8.842,9.861,11.783,0.172
65,38.000,7.248,1.494,5.077,6.431,8.454,11.241,14.229,20.417,21.144,0.138
70,21.400,6.062,0.664,4.780,5.826,6.887,8.314,10.470,11.552,12.245,0.165
75,22.200,6.157,3.183,4.815,5.758,7.042,8.908,9.616,11.571,11.779,0.162
80,19.400,5.818,1.175,4.560,5.549,6.810,8.163,9.203,11.855,11.855,0.172
85,32.200,6.068,0.715,4.656,5.476,6.934,8.760,9.722,12.378,19.140,0.165
90,25.000,5.842,0.588,4.837,5.829,7.006,7.864,9.185,10.997,12.088,0.171
95,36.600,5.801,2.532,4.546,5.365,6.354,7.791,9.387,14.781,15.323,0.172
100,22.800,5.681,0.869,4.579,5.517,6.536,7.953,8.716,10.653,11.032,0.176
105,43.600,5.467,0.495,4.268,5.100,6.267,7.968,9.080,10.123,11.866,0.183
110,38.400,6.803,0.772,4.550,5.555,7.195,10.455,18.847,23.532,28.279,0.147
115,30.600,5.504,0.892,4.422,5.174,6.188,7.484,8.233,12.599,13.135,0.182
