Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,32.800,42.683,1.924,30.685,37.340,56.197,70.052,82.348,94.376,94.615,0.023
5,27.200,38.323,0.689,29.851,36.807,45.044,59.419,64.069,79.077,90.403,0.026
10,17.200,40.148,0.774,30.007,40.767,50.672,62.949,66.669,117.415,117.415,0.025
15,31.200,34.205,0.746,28.179,33.472,41.385,50.500,54.989,69.974,70.475,0.029
20,21.000,36.027,0.973,28.506,35.085,43.311,57.199,65.624,83.303,94.513,0.028
25,28.400,39.597,0.846,29.111,37.804,48.128,58.457,68.315,94.852,101.249,0.025
30,25.600,35.671,1.919,27.822,34.098,43.526,50.831,61.491,72.875,76.390,0.028
35,24.200,37.635,0.827,30.130,35.861,47.154,58.479,69.942,76.154,78.200,0.027
40,29.200,36.037,1.192,27.871,34.881,41.381,55.334,61.539,97.726,106.985,0.028
45,16.600,41.933,0.686,32.363,40.194,51.827,66.222,70.651,105.215,105.215,0.024
50,33.400,35.866,1.780,28.027,34.291,43.862,52.063,57.458,70.877,80.245,0.028
55,20.800,40.433,1.753,30.559,37.477,49.531,57.072,72.802,90.423,99.074,0.025
60,21.000,48.485,5.420,36.333,45.581,62.065,77.406,84.968,94.345,98.910,0.021
65,29.200,36.337,5.184,30.478,36.702,41.699,51.410,59.620,76.993,100.032,0.028
70,9.400,60.728,0.932,45.072,56.208,71.028,95.726,116.663,181.037,181.037,0.016
75,26.800,38.137,0.744,28.623,35.889,43.717,61.065,72.238,97.378,114.374,0.026
80,17.200,48.195,1.500,36.642,48.090,58.621,79.164,84.223,102.611,102.611,0.021
85,27.200,33.068,0.776,27.347,32.775,39.988,47.204,54.212,64.493,65.701,0.030
90,19.200,38.829,0.788,28.982,39.466,51.220,56.770,60.407,82.373,82.373,0.026
95,30.600,36.233,3.077,27.870,33.373,40.485,56.649,64.023,89.227,95.394,0.028
100,21.600,41.211,1.153,30.118,37.774,49.356,62.297,73.174,100.780,113.097,0.024
105,25.600,35.900,0.889,28.782,34.392,43.165,52.542,63.436,75.811,97.981,0.028
110,26.200,45.243,2.465,28.950,35.971,41.652,55.487,61.994,649.949,666.222,0.022
115,20.800,42.491,0.831,32.571,40.638,50.272,60.744,79.869,103.758,117.001,0.024
