Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,502.600,16.449,0.949,3.684,13.322,21.252,37.145,49.142,71.440,121.578,0.061
5,519.000,16.804,1.162,11.186,15.322,20.104,25.957,31.660,47.683,875.973,0.060
10,308.600,29.114,1.202,15.757,25.147,36.434,51.063,58.380,98.186,864.724,0.034
15,516.000,16.733,1.318,11.353,15.519,20.349,26.549,32.600,48.238,66.912,0.060
20,388.600,23.211,1.159,12.296,17.162,29.824,49.300,59.072,83.071,96.597,0.043
25,450.600,19.186,1.164,11.809,17.051,23.049,31.212,36.738,62.536,1032.478,0.052
30,473.000,18.511,1.151,11.398,15.487,20.607,31.319,48.655,68.399,94.055,0.054
35,358.200,24.855,1.255,13.365,19.672,33.258,48.634,56.683,74.964,110.505,0.040
40,523.600,16.500,1.203,11.420,15.156,19.623,24.022,29.798,56.260,84.053,0.061
45,314.400,29.104,1.196,14.284,23.755,40.550,56.151,63.476,99.525,135.840,0.034
50,484.000,17.502,1.184,11.851,16.083,21.123,27.481,35.304,53.739,80.520,0.057
55,395.400,22.561,1.152,12.387,17.532,26.340,45.690,53.496,61.748,975.599,0.044
60,355.000,24.523,1.253,13.755,19.244,28.644,43.707,55.389,80.195,1015.225,0.041
65,490.200,17.713,1.154,11.955,15.220,19.595,25.536,41.306,70.468,112.302,0.056
70,176.000,52.518,1.547,38.739,48.966,62.711,82.530,104.779,146.855,176.417,0.019
75,447.200,19.540,1.271,11.657,16.209,21.576,32.817,52.646,79.621,104.794,0.051
80,241.400,37.426,1.489,23.609,36.294,47.698,61.477,74.728,89.252,99.194,0.027
85,535.800,16.296,1.243,11.237,15.564,20.339,25.499,29.686,38.485,59.070,0.061
90,335.600,26.835,1.273,13.549,21.037,36.858,51.688,63.400,80.302,109.772,0.037
95,502.000,17.138,1.317,11.486,15.621,20.242,26.179,32.600,45.036,971.232,0.058
100,365.200,24.339,1.338,13.489,19.381,32.221,44.908,52.761,67.099,1025.545,0.041
105,490.600,18.371,1.210,11.976,16.377,21.782,30.296,36.461,50.246,1021.108,0.054
110,438.200,19.091,1.220,11.291,15.372,19.887,24.855,33.044,62.808,662.720,0.052
115,340.400,25.952,1.194,14.221,21.219,32.971,49.420,60.528,88.207,104.468,0.039
