Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.000,4.383,1.468,2.492,3.296,4.539,6.163,7.239,15.514,97.002,0.228
5,32.400,3.017,1.425,1.886,2.391,3.163,4.448,5.693,20.157,20.640,0.331
10,17.000,3.062,1.216,1.732,2.075,3.068,5.157,7.889,19.912,19.912,0.327
15,30.200,2.325,1.200,1.607,1.840,2.621,4.016,4.708,5.987,6.518,0.430
20,22.200,2.419,1.201,1.534,1.884,2.530,4.194,6.545,6.933,7.848,0.413
25,26.000,2.321,1.242,1.555,1.948,2.731,3.792,4.440,7.066,7.553,0.431
30,27.400,2.454,1.220,1.585,1.818,2.592,4.731,5.919,7.594,8.876,0.408
35,20.800,2.299,1.099,1.560,1.920,2.441,3.817,4.408,7.246,8.869,0.435
40,32.600,2.418,1.211,1.590,1.994,2.793,3.913,5.095,7.712,8.967,0.414
45,16.000,2.384,1.219,1.511,1.921,2.706,4.355,4.983,8.547,8.547,0.419
50,28.400,2.339,1.189,1.560,1.890,2.639,3.830,4.986,6.518,10.544,0.428
55,21.200,2.431,1.282,1.573,1.979,2.675,3.952,5.001,8.853,10.116,0.411
60,23.800,2.529,1.209,1.614,1.917,2.957,4.663,5.879,7.384,7.538,0.395
65,31.000,2.684,1.239,1.628,2.097,2.979,4.904,5.762,9.930,9.944,0.373
70,9.000,3.521,1.179,1.929,2.410,3.402,5.437,9.951,16.419,16.419,0.284
75,26.400,2.423,1.213,1.601,1.833,2.642,4.241,5.365,7.078,9.196,0.413
80,13.800,2.977,1.409,1.813,2.254,3.696,5.219,5.899,10.561,10.561,0.336
85,31.600,2.245,1.238,1.544,1.801,2.362,3.947,4.890,7.127,9.634,0.445
90,19.600,2.580,1.303,1.680,1.995,3.041,4.565,5.992,7.967,7.967,0.388
95,26.800,2.236,1.241,1.544,1.873,2.503,3.506,4.406,7.940,7.965,0.447
100,22.200,2.473,1.259,1.689,2.052,2.568,4.319,5.332,6.326,7.586,0.404
105,26.800,2.384,1.306,1.639,1.867,2.738,3.796,4.949,6.355,9.144,0.419
110,25.000,2.861,1.349,1.685,1.993,2.686,4.738,6.446,9.704,36.545,0.350
115,19.000,2.311,1.208,1.680,1.931,2.536,3.416,4.740,10.204,10.204,0.433
