time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,298,298.000,298.000,109779,109779,298,0
1,390,390.000,390.000,77640,77640,389,1
2,514,514.000,514.000,52768,52768,513,1
3,571,571.000,571.000,63044,63044,570,1
4,635,635.000,635.000,42967,42967,635,0
5,638,638.000,638.000,47717,47717,637,1
6,683,683.000,683.000,40002,40002,683,0
7,530,530.000,530.000,52686,52686,529,1
8,465,465.000,465.000,85351,85351,465,0
9,342,342.000,342.000,82833,82833,342,0
10,250,250.000,250.000,105648,105648,250,0
11,305,305.000,305.000,170904,170904,305,0
12,430,430.000,430.000,70445,70445,429,1
13,583,583.000,583.000,43871,43871,583,0
14,535,535.000,535.000,61348,61348,535,0
15,591,591.000,591.000,51539,51539,590,1
16,666,666.000,666.000,51274,51274,666,0
17,659,659.000,659.000,46344,46344,659,0
18,663,663.000,663.000,39935,39935,662,1
19,663,663.000,663.000,46481,46481,663,0
20,411,411.000,411.000,83715,83715,410,1
21,272,272.000,272.000,76948,76948,271,1
22,232,232.000,232.000,94637,94637,232,0
23,418,418.000,418.000,75110,75110,418,0
24,563,563.000,563.000,64057,64057,562,1
25,564,564.000,564.000,50455,50455,563,1
26,577,577.000,577.000,69338,69338,577,0
27,543,543.000,543.000,51863,51863,543,0
28,590,590.000,590.000,42993,42993,589,1
29,692,692.000,692.000,42699,42699,692,0
30,663,663.000,663.000,41785,41785,662,1
31,616,616.000,616.000,63614,63614,616,0
32,221,221.000,221.000,94029,94029,220,1
33,291,291.000,291.000,72389,72389,291,0
34,350,350.000,350.000,91375,91375,349,1
35,402,402.000,402.000,67995,67995,402,0
36,494,494.000,494.000,62904,62904,494,0
37,560,560.000,560.000,50953,50953,560,0
38,481,481.000,481.000,79783,79783,480,1
39,657,657.000,657.000,41913,41913,657,0
40,630,630.000,630.000,49592,49592,630,0
41,663,663.000,663.000,40222,40222,663,0
42,622,622.000,622.000,54335,54335,622,0
43,633,633.000,633.000,55751,55751,632,1
44,278,278.000,278.000,73169,73169,278,0
45,258,258.000,258.000,105981,105981,257,1
46,261,261.000,261.000,73118,73118,261,0
47,385,385.000,385.000,83633,83633,385,0
48,527,527.000,527.000,69488,69488,527,0
49,508,508.000,508.000,72401,72401,508,0
50,582,582.000,582.000,51402,51402,582,0
51,643,643.000,643.000,55363,55363,643,0
52,652,652.000,652.000,39244,39244,652,0
53,626,626.000,626.000,50312,50312,625,1
54,516,516.000,516.000,51209,51209,515,1
55,636,636.000,636.000,59718,59718,636,0
56,231,231.000,231.000,85379,85379,231,0
57,289,289.000,289.000,64771,64771,289,0
58,350,350.000,350.000,81130,81130,350,0
59,416,416.000,416.000,71950,71950,415,1
60,376,376.000,376.000,86376,86376,376,0
61,422,422.000,422.000,74496,74496,421,1
62,588,588.000,588.000,46504,46504,587,1
63,640,640.000,640.000,40828,40828,639,1
64,639,639.000,639.000,46298,46298,638,1
65,655,655.000,655.000,46504,46504,655,0
66,676,676.000,676.000,40483,40483,676,0
67,298,298.000,298.000,88162,88162,297,1
68,233,233.000,233.000,70877,70877,233,0
69,195,195.000,195.000,117679,117679,195,0
70,203,203.000,203.000,90256,90256,203,0
71,176,176.000,176.000,177464,177464,175,1
72,231,231.000,231.000,105496,105496,230,1
73,299,299.000,299.000,100770,100770,299,0
74,427,427.000,427.000,98924,98924,426,1
75,582,582.000,582.000,47270,47270,582,0
76,679,679.000,679.000,41082,41082,679,0
77,606,606.000,606.000,63720,63720,606,0
78,231,231.000,231.000,71507,71507,231,0
79,278,278.000,278.000,69380,69380,278,0
80,257,257.000,257.000,98315,98315,257,0
81,222,222.000,222.000,91170,91170,222,0
82,455,455.000,455.000,84367,84367,455,0
83,573,573.000,573.000,41861,41861,573,0
84,579,579.000,579.000,47669,47669,579,0
85,616,616.000,616.000,46268,46268,616,0
86,648,648.000,648.000,41612,41612,648,0
87,653,653.000,653.000,44176,44176,653,0
88,602,602.000,602.000,60246,60246,602,0
89,233,233.000,233.000,78846,78846,233,0
90,229,229.000,229.000,109481,109481,229,0
91,419,419.000,419.000,76689,76689,418,1
92,464,464.000,464.000,72886,72886,464,0
93,536,536.000,536.000,49292,49292,536,0
94,506,506.000,506.000,53347,53347,506,0
95,616,616.000,616.000,48125,48125,616,0
96,662,662.000,662.000,45044,45044,661,1
97,660,660.000,660.000,41480,41480,659,1
98,595,595.000,595.000,50555,50555,595,0
99,545,545.000,545.000,59903,59903,544,1
100,378,378.000,378.000,74205,74205,378,0
101,267,267.000,267.000,66582,66582,267,0
102,371,371.000,371.000,59006,59006,371,0
103,457,457.000,457.000,60914,60914,456,1
104,562,562.000,562.000,51905,51905,562,0
105,551,551.000,551.000,65410,65410,551,0
106,604,604.000,604.000,43095,43095,603,1
107,677,677.000,677.000,43123,43123,676,1
108,496,496.000,496.000,56784,56784,496,0
109,682,682.000,682.000,42881,42881,682,0
110,248,248.000,248.000,656112,656112,248,0
111,680,680.000,680.000,45459,45459,680,0
112,497,497.000,497.000,64497,64497,497,0
113,245,245.000,245.000,75953,75953,245,0
114,294,294.000,294.000,103677,103677,293,1
115,397,397.000,397.000,99533,99533,397,0
116,507,507.000,507.000,87509,87509,507,0
117,555,555.000,555.000,48242,48242,555,0
118,706,706.000,706.000,41069,41069,705,1
119,778,778.000,778.000,32054,32054,778,0
