Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1670279534.401792,82462,2,1,0,0,1,0,82462
1,NewOrder,1670279534.402236,82322,9,1,0,0,1,0,82322
1,NewOrder,1670279534.402496,85518,5,1,0,0,1,0,85518
1,NewOrder,1670279534.402526,89525,8,1,0,0,1,0,89525
3,OrderStatus,1670279534.402582,95102,1,1,0,0,0,1,95102
1,NewOrder,1670279534.403473,80881,3,1,0,0,1,0,80881
1,NewOrder,1670279534.404202,80212,0,1,0,0,1,0,80212
1,NewOrder,1670279534.406199,78043,6,1,0,0,1,0,78043
1,NewOrder,1670279534.406313,79192,4,1,0,0,1,0,79192
1,NewOrder,1670279534.484624,17119,3,1,0,0,1,0,17119
1,NewOrder,1670279534.484641,14254,0,1,0,0,1,0,14254
1,NewOrder,1670279534.484650,13877,6,1,0,0,1,0,13877
3,OrderStatus,1670279534.484672,23294,2,1,0,0,0,1,23294
1,NewOrder,1670279534.484761,14547,9,1,0,0,1,0,14547
1,NewOrder,1670279534.485637,14287,4,1,0,0,1,0,14287
4,Delivery,1670279534.487650,95589,7,1,0,0,0,1,95589
1,NewOrder,1670279534.488165,13829,5,1,0,0,1,0,13829
1,NewOrder,1670279534.492198,7686,8,1,0,0,1,0,7686
1,NewOrder,1670279534.497783,27387,1,1,0,0,1,0,27387
3,OrderStatus,1670279534.498607,22614,6,1,0,0,0,1,22614
1,NewOrder,1670279534.498977,26038,0,1,0,0,1,0,26038
3,OrderStatus,1670279534.499359,9339,9,1,0,0,0,1,9339
1,NewOrder,1670279534.499961,24542,8,1,0,0,1,0,24542
1,NewOrder,1670279534.500007,25114,4,1,0,0,1,0,25114
4,Delivery,1670279534.501807,91166,3,1,0,0,0,1,91166
1,NewOrder,1670279534.502072,22884,5,1,0,0,1,0,22884
1,NewOrder,1670279534.508029,18740,2,1,0,0,1,0,18740
1,NewOrder,1670279534.508733,17654,9,1,0,0,1,0,17654
1,NewOrder,1670279534.521257,6835,6,1,0,0,1,0,6835
1,NewOrder,1670279534.524536,5452,8,1,0,0,1,0,5452
1,NewOrder,1670279534.525024,5643,5,1,0,0,1,0,5643
1,NewOrder,1670279534.525128,6038,0,1,0,0,1,0,6038
5,StockLevel,1670279534.525174,11994,4,1,0,0,0,1,11994
1,NewOrder,1670279534.525209,4963,1,1,0,0,1,0,4963
3,OrderStatus,1670279534.526468,5760,9,1,0,0,0,1,5760
1,NewOrder,1670279534.526808,5087,2,1,0,0,1,0,5087
1,NewOrder,1670279534.528147,6692,6,1,0,0,1,0,6692
1,NewOrder,1670279534.530036,5384,8,1,0,0,1,0,5384
1,NewOrder,1670279534.530237,3953,1,1,0,0,1,0,3953
1,NewOrder,1670279534.530749,24107,5,1,0,0,1,0,24107
1,NewOrder,1670279534.531236,22831,0,1,0,0,1,0,22831
1,NewOrder,1670279534.531932,22915,2,1,0,0,1,0,22915
1,NewOrder,1670279534.532275,25419,9,1,0,0,1,0,25419
1,NewOrder,1670279534.534223,23153,1,1,0,0,1,0,23153
1,NewOrder,1670279534.534883,23975,6,1,0,0,1,0,23975
1,NewOrder,1670279534.535444,20791,8,1,0,0,1,0,20791
1,NewOrder,1670279534.537209,17471,4,1,0,0,1,0,17471
1,NewOrder,1670279534.554113,5141,0,1,0,0,1,0,5141
4,Delivery,1670279534.554722,13518,4,1,0,0,1,0,13518
1,NewOrder,1670279534.554882,4176,2,1,0,0,1,0,4176
1,NewOrder,1670279534.554924,5370,5,1,0,0,1,0,5370
1,NewOrder,1670279534.556269,4763,8,1,0,0,1,0,4763
4,Delivery,1670279534.557415,40632,1,1,0,0,1,0,40632
1,NewOrder,1670279534.557755,4643,9,1,0,0,1,0,4643
5,StockLevel,1670279534.558893,9970,6,1,0,0,0,1,9970
1,NewOrder,1670279534.559090,4152,2,1,0,0,1,0,4152
1,NewOrder,1670279534.559288,3213,0,1,0,0,1,0,3213
1,NewOrder,1670279534.560328,5841,5,1,0,0,1,0,5841
1,NewOrder,1670279534.561088,5176,8,1,0,0,1,0,5176
1,NewOrder,1670279534.562458,12682,9,1,0,0,1,0,12682
