Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,36.800,4.541,1.638,2.418,3.273,5.432,8.230,10.765,22.526,33.837,0.220
5,36.400,2.167,1.158,1.751,2.021,2.395,2.775,3.379,5.232,5.296,0.461
10,42.000,1.887,1.129,1.534,1.747,2.031,2.544,3.237,4.216,4.297,0.530
15,46.400,1.857,1.089,1.513,1.724,2.050,2.460,2.849,4.241,4.690,0.538
20,38.800,1.805,1.110,1.472,1.740,1.988,2.254,2.721,3.767,4.006,0.554
25,37.600,1.821,1.119,1.517,1.746,2.050,2.365,2.781,4.031,4.122,0.549
30,38.200,1.775,1.027,1.458,1.693,1.876,2.344,2.847,4.297,4.808,0.563
35,41.400,1.831,1.070,1.440,1.663,2.045,2.751,3.074,3.869,4.180,0.546
40,35.400,1.833,1.150,1.408,1.623,2.030,2.619,3.146,4.919,5.003,0.545
45,31.200,1.829,1.109,1.432,1.720,2.037,2.420,2.901,3.721,6.557,0.547
50,21.400,1.893,1.060,1.444,1.678,2.225,2.772,3.256,3.743,4.142,0.528
55,28.200,1.759,1.063,1.387,1.653,2.026,2.453,2.672,2.964,3.307,0.568
60,40.400,1.785,1.041,1.434,1.642,1.959,2.414,2.757,3.738,7.046,0.560
65,46.400,1.785,1.025,1.436,1.692,1.979,2.380,2.628,3.185,5.262,0.560
70,50.400,1.695,1.076,1.431,1.601,1.812,2.146,2.640,3.441,5.303,0.590
75,57.600,1.667,1.047,1.422,1.569,1.813,2.143,2.363,3.093,5.112,0.600
80,42.000,1.672,1.122,1.398,1.622,1.825,2.094,2.330,3.215,4.636,0.598
85,53.600,1.676,1.060,1.414,1.611,1.823,2.048,2.372,3.553,5.212,0.597
90,61.400,1.680,1.046,1.429,1.613,1.804,2.147,2.386,3.136,5.124,0.595
95,55.600,1.766,1.104,1.450,1.637,1.900,2.274,2.927,4.310,4.913,0.566
100,56.200,1.683,1.005,1.431,1.598,1.829,2.082,2.428,3.007,4.330,0.594
105,63.800,1.717,1.081,1.425,1.618,1.861,2.255,2.624,3.333,4.014,0.582
110,54.800,1.692,1.033,1.405,1.578,1.828,2.280,2.575,3.642,4.705,0.591
115,59.600,1.638,1.115,1.395,1.558,1.788,2.110,2.337,2.806,3.441,0.611
