Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,799.800,12.468,1.076,4.698,6.667,12.934,34.588,44.707,61.248,96.066,0.080
5,958.800,10.406,0.812,4.087,5.394,9.140,29.583,42.538,60.923,97.391,0.096
10,1075.000,9.287,0.809,3.824,4.809,8.344,23.025,39.854,55.704,105.031,0.108
15,1042.000,9.558,0.778,3.769,4.891,9.084,24.658,39.934,58.133,76.566,0.105
20,962.000,10.372,0.882,3.819,5.075,9.423,29.768,43.172,59.228,82.545,0.096
25,1029.000,9.745,0.974,3.829,4.934,8.657,25.814,41.878,61.916,82.783,0.103
30,847.800,11.704,0.704,3.941,5.390,10.295,36.847,50.801,63.782,82.140,0.085
35,908.400,11.007,0.655,3.925,5.430,9.398,29.118,47.900,71.477,101.165,0.091
40,849.800,11.785,0.683,4.092,5.818,10.502,35.562,49.283,62.509,83.257,0.085
45,868.000,11.467,0.654,4.155,5.729,10.085,34.582,46.920,63.845,78.386,0.087
50,564.600,17.749,0.627,4.210,6.011,10.524,38.973,50.950,68.457,1007.711,0.056
55,821.600,12.131,0.729,4.207,5.911,10.765,37.098,49.314,64.938,75.958,0.082
60,1075.200,9.269,0.713,3.754,4.792,8.405,23.141,38.731,60.629,93.951,0.108
65,1182.600,8.422,0.589,3.472,4.415,7.958,19.276,33.168,57.073,80.794,0.119
70,1124.200,8.886,0.651,3.269,4.070,7.060,15.362,24.404,41.513,1057.855,0.113
75,1442.800,6.906,0.668,3.213,3.967,6.587,15.165,25.073,38.964,78.221,0.145
80,1100.600,9.068,0.576,3.258,4.059,7.642,16.823,26.144,38.993,1022.890,0.110
85,1311.600,7.609,0.679,3.251,4.021,8.227,17.566,27.325,41.045,78.622,0.131
90,1422.000,7.027,0.664,3.202,3.922,6.653,15.482,25.375,40.802,96.476,0.142
95,1345.200,7.406,0.693,3.198,3.958,7.277,17.110,26.835,42.146,88.963,0.135
100,1412.600,7.073,0.689,3.215,3.936,6.825,16.265,24.907,39.249,90.917,0.141
105,1406.800,7.080,0.661,3.219,3.961,6.510,15.448,26.271,42.353,71.750,0.141
110,1496.200,6.678,0.752,3.180,3.897,6.228,14.617,22.272,38.014,92.377,0.150
115,1560.200,6.366,0.628,3.054,3.736,5.620,13.899,20.678,37.490,82.373,0.157
