Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,740.400,13.453,0.986,8.579,11.817,15.718,22.824,28.824,46.733,128.530,0.074
5,791.000,13.163,0.997,7.955,10.911,14.343,18.159,22.823,33.844,1031.769,0.076
10,645.000,14.797,0.945,7.905,10.919,14.314,18.210,23.192,65.068,1022.079,0.068
15,894.600,11.161,0.883,7.818,10.612,13.825,16.828,20.587,30.985,88.410,0.090
20,836.800,12.323,0.949,7.891,10.839,14.146,17.506,22.122,33.539,1008.699,0.081
25,670.600,14.411,0.953,7.856,10.718,14.240,17.639,22.388,40.919,1022.972,0.069
30,736.000,13.560,0.863,7.958,10.736,14.003,17.397,22.179,50.165,1047.335,0.074
35,719.600,14.427,1.055,7.897,10.702,13.911,16.953,21.084,32.838,1040.538,0.069
40,751.200,12.771,0.954,7.753,10.715,14.201,17.584,21.772,34.399,999.522,0.078
45,731.800,13.661,1.199,7.857,10.711,13.940,17.021,21.534,39.214,1027.653,0.073
50,884.000,11.340,1.135,7.777,10.764,14.057,16.938,20.620,34.029,86.142,0.088
55,884.800,11.227,0.939,8.022,10.782,13.983,16.928,20.222,30.140,69.757,0.089
60,770.200,12.966,1.022,7.955,10.752,13.881,17.084,21.422,35.425,659.502,0.077
65,770.400,12.963,1.030,7.839,10.650,13.911,16.819,20.886,32.760,1018.232,0.077
70,885.200,11.272,0.855,7.822,10.555,13.863,16.902,20.754,35.253,102.758,0.089
75,905.800,11.027,0.982,7.857,10.598,13.820,16.595,19.859,29.248,77.455,0.091
80,848.200,11.770,0.939,8.070,10.938,14.077,17.555,21.494,43.274,87.698,0.085
85,779.200,12.823,0.893,7.942,10.781,13.911,16.652,20.828,34.989,634.762,0.078
90,610.400,16.360,0.973,7.811,10.699,14.003,16.930,20.871,55.730,1019.274,0.061
95,879.400,11.357,0.893,7.796,10.731,13.993,17.041,21.180,32.575,91.280,0.088
100,884.000,11.298,0.962,7.772,10.590,13.959,17.130,21.036,34.494,73.618,0.089
105,755.200,13.227,0.939,7.838,10.622,13.938,17.022,21.028,38.145,1013.181,0.076
110,493.000,21.068,1.205,7.870,10.766,14.069,17.496,22.396,682.744,1020.776,0.047
115,851.800,11.226,1.104,7.995,10.799,13.914,16.756,20.334,28.931,72.011,0.089
