Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,552,552.000,2057,9522,13784,18307,22183,37747,45954,77419,114701,551,1,77419,13784,18307,22183,37747,45954
1,742,742.000,1815,8328,11845,13358,16184,22463,28899,43395,63775,741,1,43395,11845,13358,16184,22463,28899
2,715,715.000,1543,8576,11993,13915,15994,23718,29873,67230,89666,715,0,67230,11993,13915,15994,23718,29873
3,829,829.000,1150,8259,11302,12059,14924,19276,24737,34056,52653,828,1,34056,11302,12059,14924,19276,24737
4,888,888.000,1167,7882,10652,11208,14059,17202,20550,28815,38549,887,1,28815,10652,11208,14059,17202,20550
5,886,886.000,1302,7729,10971,11261,14404,17439,20994,29990,39544,885,1,29990,10971,11261,14404,17439,20994
6,819,819.000,1241,8038,10739,12166,14422,19584,24158,67746,80225,819,0,67746,10739,12166,14422,19584,24158
7,873,873.000,1356,7685,11056,11420,14335,17525,20845,31521,81680,873,0,31521,11056,11420,14335,17525,20845
8,884,884.000,1118,8187,11087,11275,14108,16873,19825,24841,38984,883,1,24841,11087,11275,14108,16873,19825
9,412,412.000,1188,8946,11933,28304,14988,22395,28444,626929,1027525,411,1,626929,11933,28304,14988,22395,28444
10,658,658.000,1219,7975,11240,12643,14820,19548,25447,67066,77098,657,1,67066,11240,12643,14820,19548,25447
11,860,860.000,1300,7506,10651,18687,14187,17073,20128,32315,1027479,859,1,32315,10651,18687,14187,17073,20128
12,140,140.000,1178,8944,12124,28022,15448,18914,24453,781948,795692,140,0,781948,12124,28022,15448,18914,24453
13,833,833.000,1216,7754,10817,12014,14159,17593,23341,59433,92236,833,0,59433,10817,12014,14159,17593,23341
14,829,829.000,1136,7931,10995,12025,14194,17955,21604,69491,85548,828,1,69491,10995,12025,14194,17955,21604
15,878,878.000,1012,8055,10834,11368,13873,16880,20553,34865,51640,877,1,34865,10834,11368,13873,16880,20553
16,905,905.000,1111,7873,10676,11028,14073,16642,20162,26594,36730,904,1,26594,10676,11028,14073,16642,20162
17,926,926.000,1115,7604,10510,10763,13597,16497,19685,26105,35952,925,1,26105,10510,10763,13597,16497,19685
18,842,842.000,1178,7870,10794,11898,14133,18182,22414,57698,83183,842,0,57698,10794,11898,14133,18182,22414
19,924,924.000,1155,7758,10416,10791,13805,16247,19601,26896,35359,924,0,26896,10416,10791,13805,16247,19601
20,898,898.000,983,7655,10595,11122,14111,17022,20271,33049,54807,898,0,33049,10595,11122,14111,17022,20271
21,836,836.000,1123,7911,10990,11931,14253,17864,22291,60900,79475,835,1,60900,10990,11931,14253,17864,22291
22,875,875.000,971,8156,11091,11444,14204,16686,20774,34110,43410,875,0,34110,11091,11444,14204,16686,20774
23,909,909.000,1045,7741,10645,10953,14039,16991,20678,26243,51986,908,1,26243,10645,10953,14039,16991,20678
24,658,658.000,912,8030,10903,17226,14577,20088,24749,35581,1014452,657,1,35581,10903,17226,14577,20088,24749
25,624,624.000,1179,8203,11490,13853,15363,21200,27773,72399,179972,623,1,72399,11490,13853,15363,21200,27773
26,928,928.000,1067,7584,10434,10759,13612,16390,19260,26873,43464,927,1,26873,10434,10759,13612,16390,19260
27,875,875.000,1190,7762,10521,11404,14014,18004,22926,38880,54376,875,0,38880,10521,11404,14014,18004,22926
28,735,735.000,1090,7970,10771,23737,14028,16599,20757,960667,1040321,734,1,960667,10771,23737,14028,16599,20757
29,212,212.000,1126,8668,11702,11940,14482,18363,21991,36107,41266,211,1,36107,11702,11940,14482,18363,21991
30,848,848.000,1120,8010,10520,11766,14029,16676,20956,64644,88969,848,0,64644,10520,11766,14029,16676,20956
