Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.200,5.360,2.468,3.616,4.310,5.153,6.401,8.636,63.027,63.873,0.187
5,39.800,4.319,2.778,3.768,4.215,4.876,5.238,5.718,6.443,6.822,0.232
10,27.600,4.525,2.606,3.853,4.285,4.986,5.728,6.667,10.060,11.377,0.221
15,40.800,4.348,2.779,3.845,4.273,4.816,5.280,5.709,6.549,6.614,0.230
20,37.000,4.380,2.513,3.785,4.340,4.943,5.436,5.848,6.751,6.835,0.228
25,40.000,4.428,2.659,3.925,4.377,4.930,5.422,5.883,6.573,7.117,0.226
30,33.800,4.301,2.258,3.875,4.218,4.792,5.325,5.730,6.164,6.397,0.233
35,26.400,4.465,2.762,3.932,4.418,4.859,5.511,5.987,7.124,8.484,0.224
40,38.200,4.328,2.801,3.776,4.193,4.774,5.327,6.051,7.544,9.103,0.231
45,37.600,4.275,2.735,3.589,4.208,4.806,5.371,5.847,6.830,9.726,0.234
50,41.200,4.462,2.369,3.924,4.406,4.922,5.506,5.869,6.869,7.320,0.224
55,43.000,4.447,2.831,3.861,4.380,4.902,5.475,6.024,6.379,6.873,0.225
60,37.000,4.411,2.552,3.860,4.427,4.957,5.336,5.713,6.716,6.759,0.227
65,37.000,4.481,2.785,3.826,4.468,5.055,5.544,5.968,6.629,6.729,0.223
70,46.000,4.351,2.644,3.838,4.259,4.852,5.350,5.724,6.687,6.903,0.230
75,48.400,4.392,2.860,3.826,4.331,4.811,5.500,6.022,6.647,6.756,0.228
80,40.800,4.284,2.552,3.819,4.244,4.729,5.237,5.712,6.123,6.208,0.233
85,39.000,4.399,2.714,3.777,4.357,4.913,5.459,5.729,7.207,9.834,0.227
90,39.800,4.405,2.495,3.627,4.212,4.883,5.607,6.122,12.394,12.847,0.227
95,38.400,4.339,2.619,3.688,4.325,4.865,5.426,5.676,6.844,7.365,0.230
100,46.400,4.383,2.565,3.815,4.352,4.908,5.410,5.765,6.780,6.806,0.228
105,41.800,4.210,2.410,3.676,4.183,4.688,5.154,5.490,6.110,7.174,0.238
110,33.000,4.396,2.544,3.724,4.264,4.970,5.724,6.345,6.752,6.791,0.227
115,35.000,4.531,2.623,3.873,4.372,5.044,5.646,6.145,8.544,13.677,0.221
