Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,499.000,19.968,0.654,4.721,18.144,27.541,40.099,51.536,88.488,242.294,0.050
5,523.200,19.056,0.719,3.447,17.507,26.076,38.509,55.762,82.177,167.949,0.052
10,402.000,25.246,0.706,2.991,22.946,37.521,50.740,62.291,88.657,1037.674,0.040
15,557.400,17.645,0.662,3.343,17.757,26.007,33.966,40.028,62.305,101.976,0.057
20,487.000,20.561,0.736,4.815,18.682,28.433,41.847,54.657,70.455,1020.441,0.049
25,438.000,22.750,0.745,4.431,20.613,33.242,47.857,57.439,92.248,110.665,0.044
30,472.200,21.163,0.732,4.506,18.442,26.495,35.026,42.088,68.731,820.524,0.047
35,533.000,18.745,0.731,4.221,17.698,26.155,37.771,51.265,70.582,100.498,0.053
40,469.400,21.300,0.703,4.164,20.149,31.758,44.131,52.673,73.162,117.573,0.047
45,567.000,17.592,0.726,4.255,17.637,26.248,33.788,39.667,59.083,84.902,0.057
50,441.000,22.962,0.727,5.065,18.530,27.779,42.805,57.036,87.826,631.338,0.044
55,420.600,23.466,0.781,5.373,21.581,32.711,46.383,53.748,88.940,1016.042,0.043
60,546.200,18.286,0.740,4.466,17.849,26.531,34.686,42.045,59.725,1024.705,0.055
65,522.400,19.221,0.725,1.950,16.595,26.609,42.030,60.463,95.416,164.731,0.052
70,250.600,39.708,0.839,5.766,37.063,58.417,80.430,111.235,133.351,718.711,0.025
75,542.000,18.635,0.712,4.266,17.318,26.177,35.989,45.237,65.429,1022.119,0.054
80,423.800,23.366,0.817,4.882,21.717,36.124,48.871,56.572,69.366,117.114,0.043
85,547.800,18.204,0.761,4.784,17.847,26.723,34.876,42.018,61.345,102.427,0.055
90,551.600,18.124,0.675,3.639,16.831,25.988,36.623,50.335,68.039,115.326,0.055
95,431.600,23.074,0.748,5.492,20.960,33.201,48.822,57.509,96.317,128.897,0.043
100,565.000,17.808,0.702,3.230,17.549,25.953,33.331,41.191,60.380,1019.723,0.056
105,534.000,18.531,0.709,4.944,17.951,26.531,36.689,47.198,64.178,98.118,0.054
110,479.400,20.910,0.734,4.509,19.954,31.465,44.231,50.076,69.120,96.671,0.048
115,587.600,16.903,0.730,5.981,16.799,24.075,32.069,38.426,54.360,77.265,0.059
