Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,278,278.000,1154,11898,27672,35694,45377,67354,99477,195541,242294,278,0,195541,27672,35694,45377,67354,99477
1,513,513.000,656,3637,18449,19545,28424,41173,52729,79804,104804,513,0,79804,18449,19545,28424,41173,52729
2,562,562.000,760,4079,16988,17587,26855,34539,41555,54665,115131,562,0,54665,16988,17587,26855,34539,41555
3,550,550.000,728,3117,16703,18229,24967,35188,48482,90460,132387,550,0,90460,16703,18229,24967,35188,48482
4,592,592.000,654,3656,17424,16822,24426,32009,38256,58198,84343,591,1,58198,17424,16822,24426,32009,38256
5,613,613.000,719,3134,16510,16116,24152,30293,36475,52888,70019,613,0,52888,16510,16116,24152,30293,36475
6,551,551.000,840,5310,18351,18388,26804,34288,42547,60448,86403,551,0,60448,18351,18388,26804,34288,42547
7,615,615.000,892,3139,16735,16091,23956,29922,38071,58169,76186,615,0,58169,16735,16091,23956,29922,38071
8,617,617.000,803,2723,15899,16502,23951,31984,39239,66331,92013,616,1,66331,15899,16502,23951,31984,39239
9,220,220.000,720,5819,50651,44366,67752,82417,86029,137762,167949,220,0,137762,50651,44366,67752,82417,86029
10,294,294.000,844,6187,37905,34528,51791,64016,79684,92997,97426,293,1,92997,37905,34528,51791,64016,79684
11,323,323.000,876,4344,34290,30380,43522,56374,72589,99289,100401,323,0,99289,34290,30380,43522,56374,72589
12,454,454.000,817,3527,20307,22001,35339,47419,54641,69053,77311,454,0,69053,20307,22001,35339,47419,54641
13,469,469.000,706,2299,19352,22262,29153,41717,55515,72149,1037674,468,1,72149,19352,22262,29153,41717,55515
14,470,470.000,797,2181,20466,22021,29788,40595,50495,74173,1027966,470,0,74173,20466,22021,29788,40595,50495
15,474,474.000,781,2011,20432,19379,29619,36798,44364,66200,101976,473,1,66200,20432,19379,29619,36798,44364
16,549,549.000,662,3062,17756,18264,26715,36899,45808,65080,94008,549,0,65080,17756,18264,26715,36899,45808
17,585,585.000,767,4812,17520,17074,25213,32083,37344,57871,68715,584,1,57871,17520,17074,25213,32083,37344
18,625,625.000,760,3126,16054,15959,24021,30411,35030,52933,65866,625,0,52933,16054,15959,24021,30411,35030
19,554,554.000,754,5382,18032,18052,25748,34232,40476,65592,94352,553,1,65592,18032,18052,25748,34232,40476
20,591,591.000,736,4853,17650,16949,25386,32764,37184,49806,71225,590,1,49806,17650,16949,25386,32764,37184
21,524,524.000,813,4948,18489,18856,26535,36732,46707,63913,117400,524,0,63913,18489,18856,26535,36732,46707
22,569,569.000,761,5116,17333,18582,24834,31491,33708,57573,1020441,569,0,57573,17333,18582,24834,31491,33708
23,478,478.000,775,2577,19861,19981,29559,37493,44872,76284,118640,477,1,76284,19861,19981,29559,37493,44872
24,273,273.000,781,7944,44999,36786,55073,64991,70761,76517,86097,273,0,76517,44999,36786,55073,64991,70761
25,305,305.000,796,6270,38523,33513,47845,62313,77485,93352,95428,305,0,93352,38523,33513,47845,62313,77485
26,352,352.000,746,3880,23512,27599,40270,58805,91391,109982,110665,352,0,109982,23512,27599,40270,58805,91391
27,478,478.000,745,3046,20828,20801,30734,42448,50759,74323,97859,478,0,74323,20828,20801,30734,42448,50759
28,514,514.000,800,5205,18830,19398,27641,39091,49023,62038,85651,514,0,62038,18830,19398,27641,39091,49023
29,541,541.000,754,4887,17968,18433,26834,37525,46265,67821,83697,541,0,67821,17968,18433,26834,37525,46265
30,542,542.000,732,4561,17523,19744,26937,36605,42957,63941,820524,542,0,63941,17523,19744,26937,36605,42957
31,475,475.000,799,3691,19915,19484,29164,36791,47562,66679,129874,475,0,66679,19915,19484,29164,36791,47562
32,543,543.000,795,6183,19351,18402,26450,33539,40017,57529,73383,543,0,57529,19351,18402,26450,33539,40017
33,352,352.000,824,5605,19749,35736,26831,33977,41877,650105,662767,352,0,650105,19749,35736,26831,33977,41877
34,449,449.000,817,2696,16694,16562,24808,31251,39495,60134,96897,448,1,60134,16694,16562,24808,31251,39495
35,612,612.000,763,3974,16674,16360,24607,31271,35012,56336,95385,612,0,56336,16674,16360,24607,31271,35012
36,584,584.000,784,3706,17628,17108,24937,32281,38557,57941,100498,584,0,57941,17628,17108,24937,32281,38557
37,608,608.000,731,3300,17350,16331,24417,30451,34847,55022,97936,608,0,55022,17350,16331,24417,30451,34847
38,578,578.000,812,4865,16855,17281,25091,33422,42458,61518,80622,577,1,61518,16855,17281,25091,33422,42458
39,283,283.000,821,7187,42060,35447,53728,67599,73423,82820,84040,283,0,82820,42060,35447,53728,67599,73423
40,313,313.000,835,9805,34169,32332,46140,56178,62340,112682,117573,313,0,112682,34169,32332,46140,56178,62340
41,438,438.000,703,4627,20034,22434,34443,48211,56201,76344,89679,438,0,76344,20034,22434,34443,48211,56201
42,556,556.000,799,2435,18315,17969,26703,36602,46415,63544,79162,555,1,63544,18315,17969,26703,36602,46415
43,509,509.000,756,5755,19850,19621,28548,36568,45015,59638,73723,509,0,59638,19850,19621,28548,36568,45015
44,531,531.000,768,4067,18325,18955,29085,38017,47745,60586,95890,531,0,60586,18325,18955,29085,38017,47745
45,571,571.000,840,3450,17637,17510,26422,35561,40195,62268,81525,571,0,62268,17637,17510,26422,35561,40195
46,547,547.000,726,4300,17814,18118,27361,35151,39482,64703,84902,547,0,64703,17814,18118,27361,35151,39482
47,571,571.000,753,4768,18119,17499,26202,32130,36859,58511,83964,570,1,58511,18119,17499,26202,32130,36859
48,554,554.000,776,5750,18608,17928,26014,33257,37451,55585,83693,554,0,55585,18608,17928,26014,33257,37451
49,592,592.000,777,2864,16783,16957,25456,33162,43480,57231,81650,592,0,57231,16783,16957,25456,33162,43480
50,572,572.000,744,3599,17589,17432,25044,33626,39569,62779,92290,571,1,62779,17589,17432,25044,33626,39569
51,227,227.000,812,3528,18476,44389,27527,41639,68241,624183,631338,227,0,624183,18476,44389,27527,41639,68241
52,558,558.000,727,4598,18223,17756,26346,33507,37825,59629,70279,557,1,59629,18223,17756,26346,33507,37825
53,559,559.000,769,6073,18125,17950,25903,33755,38472,56163,69272,559,0,56163,18125,17950,25903,33755,38472
54,289,289.000,840,7221,42805,36819,56889,65444,70926,151376,156354,289,0,151376,42805,36819,56889,65444,70926
55,228,228.000,857,19472,40928,41531,50510,84646,116138,126465,126864,228,0,126465,40928,41531,50510,84646,116138
56,395,395.000,839,4429,24439,24818,38184,50591,60013,81703,88940,395,0,81703,24439,24818,38184,50591,60013
57,497,497.000,781,4647,19519,20304,30121,44212,50569,66230,82421,497,0,66230,19519,20304,30121,44212,50569
58,497,497.000,863,5298,19802,21153,28000,36702,42722,68448,1016042,496,1,68448,19802,21153,28000,36702,42722
59,486,486.000,834,5559,19098,19492,27858,38390,46544,69440,87418,486,0,69440,19098,19492,27858,38390,46544
60,524,524.000,783,4719,18972,18981,27610,37894,44178,58235,73243,524,0,58235,18972,18981,27610,37894,44178
61,542,542.000,753,5990,17712,18404,27105,35177,40931,57154,66703,541,1,57154,17712,18404,27105,35177,40931
62,582,582.000,751,3888,17190,17198,25465,33398,39513,55034,72859,582,0,55034,17190,17198,25465,33398,39513
63,558,558.000,793,4488,17571,19714,26713,35533,43367,66875,1024705,558,0,66875,17571,19714,26713,35533,43367
64,525,525.000,740,2818,17884,17159,25278,31719,38235,63887,97054,525,0,63887,17884,17159,25278,31719,38235
65,557,557.000,765,1974,17272,17820,26057,34490,49396,68971,89795,557,0,68971,17272,17820,26057,34490,49396
66,585,585.000,725,2794,16279,17043,25261,33488,41231,66020,92952,585,0,66020,16279,17043,25261,33488,41231
67,660,660.000,741,1786,15059,15229,23380,30935,36096,68236,109496,659,1,68236,15059,15229,23380,30935,36096
68,594,594.000,764,1498,14026,17753,23994,34352,68856,108319,123747,594,0,108319,14026,17753,23994,34352,68856
69,216,216.000,822,19418,50255,44963,64164,82048,95063,101082,164731,215,1,101082,50255,44963,64164,82048,95063
70,257,257.000,839,2963,35756,37498,49371,73821,78782,166666,718711,257,0,166666,35756,37498,49371,73821,78782
71,304,304.000,906,7221,37726,34305,53805,67678,74480,88403,101999,303,1,88403,37726,34305,53805,67678,74480
72,228,228.000,908,10297,45981,42273,68494,77520,80012,110071,144902,228,0,110071,45981,42273,68494,77520,80012
73,214,214.000,872,5607,37214,47852,85858,121366,128347,132469,132644,214,0,132469,37214,47852,85858,121366,128347
74,250,250.000,892,4308,31582,39236,62109,108613,114922,120780,137322,249,1,120780,31582,39236,62109,108613,114922
75,414,414.000,815,6742,21802,23892,35119,53788,61642,69086,87187,414,0,69086,21802,23892,35119,53788,61642
76,537,537.000,712,4666,17220,18598,26040,37184,48912,67365,82983,537,0,67365,17220,18598,26040,37184,48912
77,603,603.000,758,4085,16733,16568,25080,31679,36746,54551,69956,602,1,54551,16733,16568,25080,31679,36746
78,584,584.000,722,3563,16664,17104,25624,32503,39885,60361,75351,584,0,60361,16664,17104,25624,32503,39885
79,572,572.000,782,4312,16954,18601,24880,31737,37316,66939,1022119,572,0,66939,16954,18601,24880,31737,37316
80,501,501.000,817,2427,17503,18673,27670,35910,45914,69366,117114,501,0,69366,17503,18673,27670,35910,45914
81,474,474.000,843,4612,17173,21285,32855,49921,55464,63460,80136,474,0,63460,17173,21285,32855,49921,55464
82,262,262.000,851,16368,44647,38288,52387,59057,63404,77114,106587,262,0,77114,44647,38288,52387,59057,63404
83,405,405.000,821,4400,25938,24477,37257,45748,53296,81510,90799,405,0,81510,25938,24477,37257,45748,53296
84,477,477.000,844,6597,21057,21222,32149,41594,48839,58584,70587,477,0,58584,21057,21222,32149,41594,48839
85,485,485.000,799,5542,19702,20189,29844,39804,45983,68773,102427,485,0,68773,19702,20189,29844,39804,45983
86,565,565.000,799,5709,16853,17664,26746,34186,40968,55172,71511,565,0,55172,16853,17664,26746,34186,40968
87,546,546.000,826,5637,18155,18415,25983,34633,43380,62626,100533,546,0,62626,18155,18415,25983,34633,43380
88,576,576.000,761,3662,17296,17180,25398,32195,38798,66698,79832,575,1,66698,17296,17180,25398,32195,38798
89,567,567.000,785,3904,18927,17877,26745,32071,37842,70023,97034,567,0,70023,18927,17877,26745,32071,37842
90,566,566.000,818,5179,17793,17414,25445,32648,39029,55350,81653,566,0,55350,17793,17414,25445,32648,39029
91,615,615.000,782,2725,16536,16237,25115,31820,36623,55539,73260,615,0,55539,16536,16237,25115,31820,36623
92,611,611.000,675,2121,14641,16455,24337,33590,40843,83405,115326,611,0,83405,14641,16455,24337,33590,40843
93,583,583.000,792,5196,16848,17053,24200,32060,39073,56555,88129,583,0,56555,16848,17053,24200,32060,39073
94,383,383.000,746,4413,20819,26494,47936,60088,64433,74590,80730,383,0,74590,20819,26494,47936,60088,64433
95,309,309.000,748,6535,35945,32135,48177,55160,68122,86458,100543,309,0,86458,35945,32135,48177,55160,68122
96,288,288.000,816,9923,29871,34754,51106,82479,104702,106415,128897,288,0,106415,29871,34754,51106,82479,104702
97,499,499.000,837,3589,19332,19911,30302,42146,50263,65111,74978,499,0,65111,19332,19911,30302,42146,50263
98,537,537.000,818,4634,18092,18497,27353,36833,45767,64872,76496,537,0,64872,18092,18497,27353,36833,45767
99,525,525.000,790,6411,19440,19018,27874,35323,42210,61764,65597,524,1,61764,19440,19018,27874,35323,42210
100,521,521.000,806,4942,18628,19266,28332,37328,48495,70088,80571,521,0,70088,18628,19266,28332,37328,48495
101,555,555.000,733,4530,18499,17988,26110,32934,41077,64781,109801,555,0,64781,18499,17988,26110,32934,41077
102,619,619.000,702,2628,16281,16051,24368,31885,37397,55786,77408,619,0,55786,16281,16051,24368,31885,37397
103,589,589.000,763,3434,17211,16939,25270,33022,37662,53100,62138,589,0,53100,17211,16939,25270,33022,37662
104,541,541.000,771,2467,16960,19172,25991,33237,40412,64424,1019723,540,1,64424,16960,19172,25991,33237,40412
105,498,498.000,802,7864,19478,19406,27268,34816,42755,63141,98118,498,0,63141,19478,19406,27268,34816,42755
106,599,599.000,787,4427,16771,16515,24631,32054,37243,49113,90138,599,0,49113,16771,16515,24631,32054,37243
107,641,641.000,709,4135,15829,15666,23438,31311,34709,48267,68299,641,0,48267,15829,15666,23438,31311,34709
108,558,558.000,750,5122,18286,17894,26129,33406,41550,59643,74190,558,0,59643,18286,17894,26129,33406,41550
109,374,374.000,822,5721,23742,26453,46662,53952,63514,71643,94552,374,0,71643,23742,26453,46662,53952,63514
110,329,329.000,864,9393,35963,30932,45511,52063,61148,75945,78902,329,0,75945,35963,30932,45511,52063,61148
111,427,427.000,734,5055,22780,23505,37178,46706,53939,69018,89023,427,0,69018,22780,23505,37178,46706,53939
112,538,538.000,801,5319,18860,18466,26911,35316,43805,57617,82624,538,0,57617,18860,18466,26911,35316,43805
113,513,513.000,779,4721,19494,19209,27776,38551,44930,58418,84084,513,0,58418,19494,19209,27776,38551,44930
114,590,590.000,797,2196,15858,17149,25572,36344,44844,67716,96671,589,1,67716,15858,17149,25572,36344,44844
115,544,544.000,786,4963,18006,18467,27426,36806,43896,58893,73386,543,1,58893,18006,18467,27426,36806,43896
116,554,554.000,787,5030,18124,18022,26309,35733,43183,56205,63456,554,0,56205,18124,18022,26309,35733,43183
117,557,557.000,817,5135,18025,17838,26399,33391,37487,57210,76844,556,1,57210,18025,17838,26399,33391,37487
118,607,607.000,730,8391,16284,16346,22620,27904,35761,48741,77265,606,1,48741,16284,16346,22620,27904,35761
119,676,676.000,749,7119,15004,14455,20059,24417,28381,40751,47864,676,0,40751,15004,14455,20059,24417,28381
