Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28.600,7.922,3.335,5.864,6.993,8.214,10.694,13.749,23.347,53.515,0.126
5,23.600,6.932,3.857,5.271,6.371,7.741,9.794,12.213,17.724,23.929,0.144
10,21.600,8.969,3.798,5.299,6.771,9.599,15.916,26.266,33.489,35.531,0.111
15,28.800,7.971,2.132,5.474,6.515,8.869,11.848,14.271,30.593,33.163,0.125
20,21.000,8.350,3.671,5.991,7.677,9.445,12.912,14.584,21.729,22.592,0.120
25,23.200,7.021,3.376,5.376,6.347,8.324,10.310,11.148,15.112,15.746,0.142
30,23.400,8.339,3.684,5.900,7.611,10.026,12.208,14.794,18.069,20.951,0.120
35,25.800,7.322,3.756,5.588,7.014,8.320,10.614,12.352,16.237,16.879,0.137
40,27.600,7.055,2.320,5.460,6.619,8.202,9.870,11.705,13.820,17.245,0.142
45,28.200,7.322,3.488,5.299,6.590,8.330,11.195,12.403,16.314,24.748,0.137
50,25.800,7.310,3.594,5.328,6.630,8.359,11.270,11.950,16.577,19.464,0.137
55,22.200,7.597,3.349,5.308,6.407,8.328,12.015,15.291,23.262,35.449,0.132
60,29.000,8.049,3.165,5.691,6.908,9.128,12.747,15.355,20.974,23.605,0.124
65,24.400,7.565,2.920,4.971,7.038,9.664,11.954,13.328,15.150,15.375,0.132
70,16.200,7.131,3.237,5.606,6.668,8.765,10.189,11.358,13.959,13.959,0.140
75,25.200,8.178,3.809,5.715,7.555,9.845,12.274,14.740,17.887,19.333,0.122
80,22.400,8.061,3.207,5.692,6.808,8.843,10.922,19.091,23.709,27.990,0.124
85,31.600,7.209,4.163,5.322,6.313,8.057,10.312,13.309,20.272,23.090,0.139
90,28.400,6.943,3.504,5.077,6.117,8.232,10.173,11.574,17.780,18.365,0.144
95,23.600,7.000,2.777,5.329,6.390,8.232,10.259,11.844,16.507,17.483,0.143
100,28.800,7.837,2.345,5.393,6.517,9.048,11.827,18.248,22.637,24.174,0.128
105,31.400,6.830,3.208,5.207,6.312,8.080,9.451,12.286,15.673,16.053,0.146
110,23.800,6.749,2.904,5.014,6.110,7.892,10.086,12.283,14.643,15.988,0.148
115,28.600,6.206,3.048,4.630,5.502,7.237,9.490,11.144,13.241,17.183,0.161
