Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
4,Delivery,1670279871.220113,222071,0,1,0,0,0,1,87015
1,NewOrder,1670279871.220114,155175,8,1,0,0,1,0,0
1,NewOrder,1670279871.220119,159040,6,1,0,0,1,0,0
3,OrderStatus,1670279871.220125,134365,1,1,0,0,0,1,559
1,NewOrder,1670279871.220238,151279,7,1,0,0,1,0,0
1,NewOrder,1670279871.220268,151194,2,1,0,0,1,0,0
1,NewOrder,1670279871.220301,150631,9,1,0,0,1,0,0
3,OrderStatus,1670279871.220390,117204,3,1,0,0,0,1,3385
1,NewOrder,1670279871.220601,150991,5,1,0,0,1,0,0
1,NewOrder,1670279871.220990,154680,4,1,0,0,1,0,0
1,NewOrder,1670279871.338267,37538,3,1,0,0,1,0,0
1,NewOrder,1670279871.354610,66840,1,1,0,0,1,0,0
3,OrderStatus,1670279871.371031,32349,9,1,0,0,0,1,483
1,NewOrder,1670279871.371590,11501,2,1,0,0,0,1,1150
1,NewOrder,1670279871.371640,15587,7,1,0,0,0,1,1626
1,NewOrder,1670279871.371750,27846,5,1,0,0,0,1,1602
1,NewOrder,1670279871.375395,17256,8,1,0,0,0,1,3122
1,NewOrder,1670279871.375809,30228,4,1,0,0,0,1,2518
1,NewOrder,1670279871.375901,30348,3,1,0,0,0,1,8546
5,StockLevel,1670279871.379295,15487,6,1,0,0,0,1,396
1,NewOrder,1670279871.383149,44649,2,1,0,0,1,0,0
3,OrderStatus,1670279871.387304,34065,7,1,0,0,0,1,477
1,NewOrder,1670279871.392707,24478,8,1,0,0,1,0,0
1,NewOrder,1670279871.394855,21967,6,1,0,0,1,0,0
1,NewOrder,1670279871.400573,40242,5,1,0,0,1,0,0
1,NewOrder,1670279871.403452,16902,9,1,0,0,1,0,0
1,NewOrder,1670279871.406115,29487,4,1,0,0,1,0,0
1,NewOrder,1670279871.406337,33710,3,1,0,0,1,0,0
3,OrderStatus,1670279871.417263,30836,8,1,0,0,0,1,7895
1,NewOrder,1670279871.418008,21143,6,1,0,0,0,1,741
1,NewOrder,1670279871.420417,13133,9,1,0,0,0,1,1233
1,NewOrder,1670279871.421444,48603,7,1,0,0,0,1,37507
1,NewOrder,1670279871.421495,14754,1,1,0,0,0,1,1031
1,NewOrder,1670279871.427836,14395,2,1,0,0,0,1,3691
1,NewOrder,1670279871.433616,29088,9,1,0,0,1,0,0
3,OrderStatus,1670279871.435643,20410,4,1,0,0,0,1,458
5,StockLevel,1670279871.436303,13562,1,1,0,0,0,1,1981
1,NewOrder,1670279871.439198,22499,6,1,0,0,1,0,0
4,Delivery,1670279871.440106,16254,3,1,0,0,0,1,1547
5,StockLevel,1670279871.440853,22808,5,1,0,0,0,1,380
1,NewOrder,1670279871.442253,20002,0,1,0,0,1,0,0
5,StockLevel,1670279871.442287,19460,2,1,0,0,0,1,365
1,NewOrder,1670279871.448162,13675,8,1,0,0,1,0,0
1,NewOrder,1670279871.449909,27939,1,1,0,0,1,0,0
1,NewOrder,1670279871.456093,9118,4,1,0,0,1,0,0
1,NewOrder,1670279871.456396,12351,3,1,0,0,1,0,0
1,NewOrder,1670279871.461731,23537,6,1,0,0,0,1,15610
1,NewOrder,1670279871.461837,51977,2,1,0,0,0,1,45980
1,NewOrder,1670279871.461876,17030,8,1,0,0,0,1,776
1,NewOrder,1670279871.462302,35703,0,1,0,0,0,1,1130
1,NewOrder,1670279871.462736,19193,9,1,0,0,0,1,5849
1,NewOrder,1670279871.463699,75318,5,1,0,0,1,0,0
1,NewOrder,1670279871.465316,16688,4,1,0,0,0,1,1299
1,NewOrder,1670279871.468799,13032,3,1,0,0,0,1,1028
1,NewOrder,1670279871.470096,40028,7,1,0,0,1,0,0
1,NewOrder,1670279871.477904,15412,1,1,0,0,0,1,4540
1,NewOrder,1670279871.478939,32178,8,1,0,0,1,0,0
1,NewOrder,1670279871.481877,32314,3,1,0,0,1,0,0
1,NewOrder,1670279871.481966,34813,9,1,0,0,1,0,0
5,StockLevel,1670279871.482073,14053,4,1,0,0,0,1,350
1,NewOrder,1670279871.485304,24597,6,1,0,0,1,0,0
1,NewOrder,1670279871.493362,33425,1,1,0,0,1,0,0
1,NewOrder,1670279871.496161,13419,4,1,0,0,1,0,0
5,StockLevel,1670279871.498039,12180,0,1,0,0,0,1,997
1,NewOrder,1670279871.509618,2675,4,1,0,0,0,1,702
4,Delivery,1670279871.509948,42007,6,1,0,0,0,1,1037
1,NewOrder,1670279871.510164,16568,7,1,0,0,0,1,755
1,NewOrder,1670279871.510260,61587,0,1,0,0,1,0,0
1,NewOrder,1670279871.511229,22954,8,1,0,0,0,1,2533
1,NewOrder,1670279871.512342,24708,4,1,0,0,1,0,0
1,NewOrder,1670279871.513844,54926,2,1,0,0,1,0,0
1,NewOrder,1670279871.514227,23640,3,1,0,0,0,1,12774
1,NewOrder,1670279871.516884,33096,9,1,0,0,0,1,16222
1,NewOrder,1670279871.526770,64826,7,1,0,0,1,0,0
1,NewOrder,1670279871.526860,21983,1,1,0,0,0,1,2046
1,NewOrder,1670279871.534251,55996,8,1,0,0,1,0,0
1,NewOrder,1670279871.537088,18763,4,1,0,0,0,1,6474
1,NewOrder,1670279871.537904,49413,3,1,0,0,1,0,0
1,NewOrder,1670279871.539068,10377,5,1,0,0,0,1,956
4,Delivery,1670279871.548902,97915,1,1,0,0,0,1,82332
1,NewOrder,1670279871.549490,40265,5,1,0,0,1,0,0
1,NewOrder,1670279871.550023,35924,9,1,0,0,0,1,27629
1,NewOrder,1670279871.551995,35601,6,1,0,0,1,0,0
1,NewOrder,1670279871.555883,41741,4,1,0,0,0,1,34255
1,NewOrder,1670279871.568810,2007,2,1,0,0,0,1,1041
1,NewOrder,1670279871.570864,21009,2,1,0,0,0,1,20222
1,NewOrder,1670279871.571882,2206,0,1,0,0,0,1,897
1,NewOrder,1670279871.574115,44462,0,1,0,0,0,1,43367
1,NewOrder,1670279871.585992,29149,9,1,0,0,0,1,27300
4,Delivery,1670279871.587349,17953,3,1,0,0,0,1,2121
3,OrderStatus,1670279871.587641,14272,6,1,0,0,0,1,297
1,NewOrder,1670279871.589809,3136,5,1,0,0,0,1,929
1,NewOrder,1670279871.590292,13290,8,1,0,0,0,1,6637
1,NewOrder,1670279871.591672,14146,7,1,0,0,0,1,2985
1,NewOrder,1670279871.591914,39857,2,1,0,0,1,0,0
1,NewOrder,1670279871.592977,35882,5,1,0,0,1,0,0
1,NewOrder,1670279871.597659,33414,4,1,0,0,0,1,26592
3,OrderStatus,1670279871.601946,6730,6,1,0,0,0,1,347
1,NewOrder,1670279871.603634,37288,8,1,0,0,1,0,0
1,NewOrder,1670279871.605336,32510,3,1,0,0,1,0,0
1,NewOrder,1670279871.605884,33482,7,1,0,0,1,0,0
1,NewOrder,1670279871.608713,38370,6,1,0,0,1,0,0
1,NewOrder,1670279871.615223,36075,9,1,0,0,1,0,0
1,NewOrder,1670279871.618620,28945,0,1,0,0,0,1,27751
1,NewOrder,1670279871.628922,2367,5,1,0,0,0,1,815
1,NewOrder,1670279871.631109,38419,4,1,0,0,0,1,33519
1,NewOrder,1670279871.631346,35144,5,1,0,0,1,0,0
1,NewOrder,1670279871.631861,7330,2,1,0,0,0,1,1333
1,NewOrder,1670279871.637878,1835,3,1,0,0,0,1,879
1,NewOrder,1670279871.639218,55595,2,1,0,0,0,1,52780
1,NewOrder,1670279871.639432,3870,7,1,0,0,0,1,753
3,OrderStatus,1670279871.639788,6127,3,1,0,0,0,1,817
1,NewOrder,1670279871.640994,4404,8,1,0,0,0,1,1357
1,NewOrder,1670279871.643338,59767,7,1,0,0,0,1,51958
1,NewOrder,1670279871.645439,61748,8,1,0,0,0,1,56256
1,NewOrder,1670279871.645951,63944,3,1,0,0,0,1,58130
1,NewOrder,1670279871.646859,56113,1,1,0,0,0,1,54171
3,OrderStatus,1670279871.647161,9786,6,1,0,0,0,1,326
5,StockLevel,1670279871.647600,6990,0,1,0,0,0,1,321
1,NewOrder,1670279871.651370,4154,9,1,0,0,0,1,1458
1,NewOrder,1670279871.654655,15416,0,1,0,0,1,0,0
5,StockLevel,1670279871.655576,11458,9,1,0,0,0,1,543
1,NewOrder,1670279871.657019,19023,6,1,0,0,1,0,0
1,NewOrder,1670279871.666519,3365,5,1,0,0,0,1,684
1,NewOrder,1670279871.667195,35974,9,1,0,0,0,1,33833
1,NewOrder,1670279871.669571,48485,4,1,0,0,0,1,46315
1,NewOrder,1670279871.669941,17392,5,1,0,0,1,0,0
1,NewOrder,1670279871.670144,3589,0,1,0,0,0,1,730
1,NewOrder,1670279871.673761,29383,0,1,0,0,0,1,28606
1,NewOrder,1670279871.676078,1356,6,1,0,0,0,1,598
1,NewOrder,1670279871.677476,18031,6,1,0,0,1,0,0
1,NewOrder,1670279871.687386,1543,5,1,0,0,0,1,670
1,NewOrder,1670279871.689069,41550,5,1,0,0,0,1,40667
1,NewOrder,1670279871.694855,21254,2,1,0,0,1,0,0
3,OrderStatus,1670279871.695543,4199,6,1,0,0,0,1,223
1,NewOrder,1670279871.699766,43735,6,1,0,0,0,1,42854
1,NewOrder,1670279871.703048,57631,1,1,0,0,1,0,0
