Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,37.400,4.731,1.901,2.713,3.519,4.991,7.558,11.143,26.567,51.199,0.211
5,51.800,2.470,1.401,2.086,2.342,2.726,3.205,3.621,4.514,5.238,0.405
10,42.600,2.219,1.406,1.887,2.175,2.426,2.765,3.122,3.754,4.017,0.451
15,46.400,2.146,1.409,1.881,2.055,2.316,2.745,2.999,3.278,3.749,0.466
20,56.800,2.104,1.344,1.860,2.031,2.267,2.581,2.894,3.512,4.392,0.475
25,35.800,2.099,1.349,1.841,2.064,2.266,2.455,2.839,3.598,4.007,0.476
30,61.000,2.147,1.322,1.828,2.046,2.336,2.814,3.036,4.073,4.783,0.466
35,52.000,2.130,1.257,1.829,2.059,2.282,2.715,2.988,3.980,4.581,0.469
40,48.400,2.081,1.440,1.810,1.989,2.230,2.588,2.818,3.451,4.139,0.481
45,52.400,2.095,1.274,1.800,2.008,2.290,2.541,2.747,4.253,5.254,0.477
50,53.600,2.088,1.328,1.777,1.957,2.261,2.671,2.916,4.433,4.981,0.479
55,53.400,2.155,1.322,1.835,2.072,2.348,2.759,3.043,4.024,6.765,0.464
60,47.600,2.133,1.316,1.877,2.078,2.353,2.617,2.821,3.592,4.092,0.469
65,58.800,2.103,1.343,1.809,2.004,2.297,2.638,2.993,3.609,4.386,0.476
70,52.600,2.054,1.406,1.785,1.966,2.246,2.591,2.813,3.883,4.572,0.487
75,49.200,2.111,1.327,1.827,2.016,2.313,2.631,2.847,4.145,4.592,0.474
80,47.200,2.091,1.455,1.784,1.998,2.269,2.556,3.000,3.663,6.069,0.478
85,277.200,2.586,1.035,1.635,1.959,2.837,4.732,6.220,8.724,17.987,0.387
90,438.000,2.254,1.074,1.627,1.881,2.410,3.471,4.413,7.142,14.443,0.444
95,388.000,2.131,0.945,1.604,1.831,2.185,3.172,4.082,6.488,34.077,0.469
100,404.000,2.182,1.041,1.616,1.847,2.285,3.415,4.500,6.383,8.615,0.458
105,400.800,2.195,0.949,1.618,1.857,2.314,3.412,4.385,6.141,9.986,0.456
110,399.400,2.159,1.042,1.590,1.820,2.255,3.256,4.327,6.735,12.391,0.463
115,410.200,2.204,1.022,1.610,1.847,2.289,3.273,4.163,6.399,41.052,0.454
