time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,499,499.000,499.000,180747,180747,498,1
1,875,875.000,875.000,58269,58269,874,1
2,866,866.000,866.000,70874,70874,865,1
3,938,938.000,938.000,45572,45572,937,1
4,970,970.000,970.000,57378,57378,970,0
5,943,943.000,943.000,46407,46407,943,0
6,992,992.000,992.000,51018,51018,992,0
7,1006,1006.000,1006.000,41430,41430,1005,1
8,1012,1012.000,1012.000,47906,47906,1011,1
9,973,973.000,973.000,73301,73301,972,1
10,1012,1012.000,1012.000,37440,37440,1012,0
11,1076,1076.000,1076.000,37360,37360,1076,0
12,1010,1010.000,1010.000,45963,45963,1009,1
13,993,993.000,993.000,40928,40928,993,0
14,1022,1022.000,1022.000,58003,58003,1022,0
15,546,546.000,546.000,834901,834901,545,1
16,728,728.000,728.000,40217,40217,728,0
17,1000,1000.000,1000.000,44494,44494,999,1
18,1038,1038.000,1038.000,38800,38800,1037,1
19,1034,1034.000,1034.000,37225,37225,1033,1
20,915,915.000,915.000,72658,72658,915,0
21,284,284.000,284.000,602586,602586,284,0
22,1044,1044.000,1044.000,43256,43256,1043,1
23,1078,1078.000,1078.000,36780,36780,1078,0
24,1040,1040.000,1040.000,41805,41805,1040,0
25,1051,1051.000,1051.000,37957,37957,1051,0
26,230,230.000,230.000,829266,829266,230,0
27,992,992.000,992.000,63714,63714,991,1
28,1037,1037.000,1037.000,41425,41425,1037,0
29,1006,1006.000,1006.000,51350,51350,1005,1
30,933,933.000,933.000,44516,44516,933,0
31,435,435.000,435.000,484353,484353,435,0
32,1020,1020.000,1020.000,44970,44970,1019,1
33,477,477.000,477.000,930299,930299,476,1
34,763,763.000,763.000,38240,38240,762,1
35,1055,1055.000,1055.000,45230,45230,1055,0
36,1090,1090.000,1090.000,34556,34556,1090,0
37,1123,1123.000,1123.000,35652,35652,1123,0
38,904,904.000,904.000,65085,65085,903,1
39,1048,1048.000,1048.000,35574,35574,1047,1
40,1051,1051.000,1051.000,39307,39307,1050,1
41,1059,1059.000,1059.000,37454,37454,1059,0
42,1122,1122.000,1122.000,34232,34232,1121,1
43,1071,1071.000,1071.000,35910,35910,1070,1
44,1005,1005.000,1005.000,66431,66431,1004,1
45,1036,1036.000,1036.000,38274,38274,1036,0
46,478,478.000,478.000,46404,46404,477,1
47,1034,1034.000,1034.000,36112,36112,1034,0
48,1097,1097.000,1097.000,35166,35166,1096,1
