Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,38.000,4.279,1.501,2.309,3.153,4.326,6.079,9.254,44.839,50.929,0.234
5,46.800,1.866,1.182,1.587,1.775,2.061,2.355,2.651,3.212,3.559,0.536
10,54.600,1.624,1.179,1.433,1.571,1.747,1.993,2.067,2.635,3.127,0.616
15,42.400,1.582,1.122,1.403,1.519,1.662,1.927,2.183,2.886,3.142,0.632
20,44.800,1.583,1.137,1.390,1.519,1.712,1.918,2.107,2.457,3.045,0.632
25,41.200,1.729,1.151,1.378,1.508,1.689,1.902,2.190,3.158,31.637,0.578
30,36.800,1.581,1.075,1.358,1.446,1.597,1.946,2.182,6.595,8.257,0.633
35,53.400,1.583,1.156,1.376,1.497,1.667,1.937,2.240,3.270,4.541,0.632
40,52.600,1.579,1.174,1.369,1.476,1.662,1.947,2.159,3.148,3.426,0.633
45,41.800,1.495,1.116,1.364,1.439,1.579,1.781,1.920,2.283,2.359,0.669
50,56.200,1.548,1.065,1.354,1.456,1.621,1.839,2.061,3.680,4.064,0.646
55,52.200,1.494,1.047,1.331,1.441,1.558,1.837,1.963,2.617,2.688,0.669
60,53.000,1.635,1.104,1.355,1.488,1.696,2.116,2.432,3.622,7.591,0.612
65,54.800,1.568,1.164,1.374,1.485,1.652,1.834,2.132,3.488,4.542,0.638
70,46.800,1.559,1.138,1.378,1.508,1.653,1.870,2.069,2.562,2.966,0.642
75,48.200,1.606,1.186,1.419,1.532,1.697,1.994,2.297,2.683,2.772,0.623
80,48.200,1.555,1.059,1.371,1.522,1.704,1.872,1.999,2.287,2.770,0.643
85,45.600,1.611,1.177,1.402,1.544,1.715,2.032,2.196,2.493,3.020,0.621
90,54.400,1.588,1.113,1.389,1.523,1.699,1.931,2.139,2.979,4.319,0.630
95,48.400,1.588,0.931,1.365,1.508,1.686,1.910,2.195,3.046,3.906,0.630
100,43.800,1.588,1.045,1.384,1.491,1.649,2.027,2.437,3.032,3.932,0.630
105,33.000,1.609,1.157,1.421,1.534,1.711,1.928,2.114,2.879,3.165,0.621
110,57.400,1.589,1.171,1.400,1.549,1.697,1.907,2.067,2.874,3.248,0.629
115,45.800,1.505,1.078,1.342,1.450,1.617,1.777,1.947,2.249,3.554,0.664
