Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,675.800,13.041,0.686,1.286,11.740,18.929,27.931,36.799,62.701,196.469,0.077
5,830.200,10.826,0.722,1.136,11.052,17.614,22.183,27.667,40.920,98.692,0.092
10,871.800,10.373,0.709,1.122,10.694,16.936,21.890,26.097,39.383,77.736,0.096
15,742.800,12.415,0.684,1.116,10.489,17.090,21.690,25.642,39.543,1032.899,0.081
20,731.000,12.461,0.690,1.127,10.429,16.916,21.774,25.780,44.389,1032.101,0.080
25,719.400,12.710,0.634,1.129,10.903,17.176,21.799,25.258,49.849,1043.108,0.079
30,609.800,15.364,0.709,1.127,10.719,16.987,21.578,25.541,57.635,1028.457,0.065
35,896.200,10.109,0.719,1.120,10.417,16.722,21.353,24.580,35.661,83.477,0.099
40,897.800,10.223,0.718,1.134,10.675,16.726,21.346,24.110,36.825,83.935,0.098
45,775.600,11.923,0.697,1.134,10.976,17.320,21.544,24.535,37.336,1031.700,0.084
50,885.000,10.355,0.722,1.139,10.862,17.057,21.410,24.440,37.056,78.570,0.097
55,883.400,10.301,0.678,1.131,10.566,16.839,21.434,25.210,40.561,93.742,0.097
60,868.200,10.437,0.702,1.110,10.602,16.784,21.710,25.502,40.540,84.100,0.096
65,899.800,10.046,0.701,1.112,10.575,16.807,20.785,23.448,35.855,80.206,0.100
70,845.600,12.088,0.695,1.103,10.255,16.538,20.931,23.699,36.633,1055.792,0.083
75,776.000,10.282,0.686,1.117,10.748,17.015,21.313,24.382,34.843,83.767,0.097
80,784.800,11.783,0.713,1.104,10.508,16.576,20.982,23.671,38.350,1026.776,0.085
85,903.200,10.110,0.733,1.110,10.530,16.741,21.118,23.673,35.961,82.759,0.099
90,889.000,10.133,0.694,1.117,10.644,16.615,21.104,23.665,38.398,73.956,0.099
95,778.800,11.658,0.690,1.115,10.932,17.119,21.430,24.207,37.535,1024.521,0.086
100,777.800,11.827,0.702,1.094,10.641,16.815,21.072,23.723,34.843,1011.561,0.085
105,581.200,15.921,0.704,1.076,9.782,16.420,21.266,24.582,59.884,1032.474,0.063
110,906.000,9.906,0.725,1.086,10.485,16.518,20.942,23.370,34.443,75.647,0.101
115,727.000,12.617,0.718,1.115,10.802,17.286,21.701,25.506,43.789,1020.109,0.079
