Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.800,17.841,0.718,1.835,6.119,26.497,44.768,60.199,94.958,316.174,0.056
5,51.200,15.108,0.520,1.311,5.168,23.211,45.288,58.387,81.531,110.925,0.066
10,45.000,12.371,0.678,1.413,7.654,16.626,31.231,49.963,60.134,65.299,0.081
15,43.200,11.222,0.582,1.431,6.546,18.468,28.165,33.471,53.043,67.747,0.089
20,41.400,11.808,0.593,1.235,4.011,17.954,31.914,38.081,60.257,101.434,0.085
25,43.400,11.905,0.601,1.363,7.020,18.861,32.030,41.981,54.580,63.219,0.084
30,37.200,12.441,0.566,1.074,2.347,14.443,35.098,45.083,142.905,152.247,0.080
35,45.000,12.612,0.635,1.257,5.318,19.073,32.489,44.843,80.732,91.095,0.079
40,50.000,12.104,0.619,1.231,6.970,19.789,30.065,38.703,55.254,69.702,0.083
45,49.000,10.595,0.574,1.310,4.342,17.937,29.732,34.306,67.407,69.907,0.094
50,50.400,11.084,0.561,1.235,5.655,18.631,29.949,37.213,52.170,58.421,0.090
55,52.400,10.773,0.706,1.271,4.160,17.325,29.944,41.225,54.947,68.752,0.093
60,48.200,12.775,0.571,1.334,5.758,20.854,30.972,38.512,79.523,91.131,0.078
65,57.000,11.927,0.581,1.304,6.432,19.439,30.122,39.050,70.215,76.980,0.084
70,51.400,11.053,0.530,1.293,4.524,16.556,31.775,40.568,53.119,71.467,0.090
75,41.600,11.862,0.582,1.227,4.874,18.885,28.635,42.188,65.559,130.700,0.084
80,44.400,10.173,0.610,1.320,5.309,14.456,26.724,34.991,48.195,66.066,0.098
85,56.400,10.648,0.559,1.273,6.003,16.023,25.931,34.428,54.619,57.044,0.094
90,51.000,12.418,0.666,1.314,5.128,21.093,31.300,40.624,50.804,63.946,0.081
95,46.600,12.689,0.555,1.316,6.659,19.027,33.635,39.451,56.261,76.457,0.079
100,55.200,10.068,0.584,1.195,2.242,14.938,27.450,34.302,93.137,134.125,0.099
105,36.400,13.450,0.583,1.350,7.126,20.603,35.089,42.905,88.952,95.140,0.074
110,39.800,13.303,0.663,1.352,5.444,21.233,33.284,47.710,80.134,98.135,0.075
115,53.000,12.782,0.614,1.345,6.160,21.124,32.666,42.211,63.272,68.431,0.078
