Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1658106426.569120,245128,6,1
1,NewOrder,1658106426.569137,235470,3,1
1,NewOrder,1658106426.569152,244839,9,1
1,NewOrder,1658106426.569212,244678,0,1
1,NewOrder,1658106426.569234,99226,7,1
1,NewOrder,1658106426.569234,244645,5,1
1,NewOrder,1658106426.569540,244287,1,1
1,NewOrder,1658106426.569546,244333,4,1
1,NewOrder,1658106426.569787,244463,2,1
1,NewOrder,1658106426.668665,30896,7,1
1,NewOrder,1658106426.673114,41463,8,1
1,NewOrder,1658106426.699595,27856,7,1
1,NewOrder,1658106426.714627,24986,8,1
1,NewOrder,1658106426.727482,26007,7,1
1,NewOrder,1658106426.739667,74323,8,1
1,NewOrder,1658106426.753521,86251,7,1
1,NewOrder,1658106426.804739,73046,3,1
1,NewOrder,1658106426.813966,62575,1,1
1,NewOrder,1658106426.813966,24967,0,1
1,NewOrder,1658106426.813978,75239,4,1
1,NewOrder,1658106426.813978,23672,5,1
1,NewOrder,1658106426.814047,16380,8,1
1,NewOrder,1658106426.814081,54656,9,1
1,NewOrder,1658106426.814380,24585,2,1
1,NewOrder,1658106426.814416,63993,6,1
1,NewOrder,1658106426.830472,33595,8,1
1,NewOrder,1658106426.837714,52552,5,1
1,NewOrder,1658106426.838991,45516,0,1
1,NewOrder,1658106426.838999,53973,2,1
1,NewOrder,1658106426.839819,36493,7,1
1,NewOrder,1658106426.864119,16948,8,1
1,NewOrder,1658106426.869444,55037,9,1
1,NewOrder,1658106426.876385,35981,7,1
1,NewOrder,1658106426.876600,15753,1,1
1,NewOrder,1658106426.877821,20032,3,1
1,NewOrder,1658106426.878468,46160,6,1
1,NewOrder,1658106426.881098,33734,8,1
1,NewOrder,1658106426.884572,32328,0,1
1,NewOrder,1658106426.889283,59438,4,1
1,NewOrder,1658106426.890320,35865,5,1
1,NewOrder,1658106426.892438,49256,1,1
1,NewOrder,1658106426.893021,67415,2,1
1,NewOrder,1658106426.897951,25239,3,1
1,NewOrder,1658106426.912438,19471,7,1
