Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1658108445.671176,128597,5,1
1,NewOrder,1658108445.671178,134867,2,1
1,NewOrder,1658108445.671178,134296,0,1
1,NewOrder,1658108445.671178,132134,7,1
1,NewOrder,1658108445.671178,133110,3,1
1,NewOrder,1658108445.671178,136404,1,1
1,NewOrder,1658108445.671179,132868,4,1
1,NewOrder,1658108445.671179,138492,9,1
1,NewOrder,1658108445.671202,136059,6,1
1,NewOrder,1658108445.671207,118463,8,1
1,NewOrder,1658108445.789890,61317,8,1
1,NewOrder,1658108445.799889,47410,5,1
1,NewOrder,1658108445.803387,48187,7,1
1,NewOrder,1658108445.804109,48044,4,1
1,NewOrder,1658108445.804339,35179,3,1
1,NewOrder,1658108445.805607,37061,0,1
1,NewOrder,1658108445.806086,43231,2,1
1,NewOrder,1658108445.807306,34079,6,1
1,NewOrder,1658108445.807677,31888,1,1
1,NewOrder,1658108445.809787,40695,9,1
1,NewOrder,1658108445.839575,58098,3,1
1,NewOrder,1658108445.839613,58517,1,1
1,NewOrder,1658108445.841429,34778,6,1
1,NewOrder,1658108445.842706,55017,0,1
1,NewOrder,1658108445.847358,50605,5,1
1,NewOrder,1658108445.849375,48393,2,1
1,NewOrder,1658108445.850531,47113,9,1
1,NewOrder,1658108445.851230,46900,8,1
1,NewOrder,1658108445.851599,46552,7,1
1,NewOrder,1658108445.852203,33711,4,1
1,NewOrder,1658108445.876247,21690,6,1
1,NewOrder,1658108445.885941,34203,4,1
1,NewOrder,1658108445.897704,22840,9,1
1,NewOrder,1658108445.897704,29259,3,1
1,NewOrder,1658108445.897739,33925,0,1
1,NewOrder,1658108445.897785,37208,2,1
1,NewOrder,1658108445.897970,22825,6,1
1,NewOrder,1658108445.898016,26079,5,1
1,NewOrder,1658108445.898202,18206,7,1
1,NewOrder,1658108445.898203,27888,1,1
1,NewOrder,1658108445.898203,38623,8,1
1,NewOrder,1658108445.916462,31016,7,1
1,NewOrder,1658108445.920193,61094,4,1
1,NewOrder,1658108445.920579,46041,9,1
1,NewOrder,1658108445.920813,50467,6,1
1,NewOrder,1658108445.924150,44706,5,1
1,NewOrder,1658108445.926127,38196,1,1
1,NewOrder,1658108445.927019,37932,3,1
1,NewOrder,1658108445.931694,28108,0,1
1,NewOrder,1658108445.935037,35293,2,1
1,NewOrder,1658108445.936877,30860,8,1
1,NewOrder,1658108445.947515,24403,7,1
1,NewOrder,1658108445.959851,39333,0,1
1,NewOrder,1658108445.964374,31926,1,1
1,NewOrder,1658108445.964981,45871,3,1
1,NewOrder,1658108445.966653,37762,9,1
1,NewOrder,1658108445.967762,35471,8,1
1,NewOrder,1658108445.968901,24934,5,1
1,NewOrder,1658108445.970383,29499,2,1
1,NewOrder,1658108445.971325,36069,6,1
1,NewOrder,1658108445.971959,31122,7,1
1,NewOrder,1658108445.981331,84403,4,1
1,NewOrder,1658108445.993877,35661,5,1
1,NewOrder,1658108445.996357,33679,1,1
1,NewOrder,1658108445.999221,32758,0,1
1,NewOrder,1658108445.999906,34689,2,1
1,NewOrder,1658108446.003112,29051,7,1
1,NewOrder,1658108446.003275,28132,8,1
1,NewOrder,1658108446.004450,29215,9,1
1,NewOrder,1658108446.007415,22694,6,1
1,NewOrder,1658108446.010882,26675,3,1
1,NewOrder,1658108446.029571,23882,5,1
1,NewOrder,1658108446.030090,27515,1,1
1,NewOrder,1658108446.030131,24686,6,1
1,NewOrder,1658108446.031459,30988,8,1
1,NewOrder,1658108446.032031,39726,0,1
1,NewOrder,1658108446.032194,32207,7,1
1,NewOrder,1658108446.033693,32987,9,1
1,NewOrder,1658108446.034619,33268,2,1
1,NewOrder,1658108446.037581,31958,3,1
1,NewOrder,1658108446.054597,64729,5,1
1,NewOrder,1658108446.054842,64177,6,1
1,NewOrder,1658108446.057648,49640,1,1
1,NewOrder,1658108446.062478,61949,8,1
1,NewOrder,1658108446.064446,52947,7,1
1,NewOrder,1658108446.065764,137262,4,1
1,NewOrder,1658108446.066707,61650,9,1
1,NewOrder,1658108446.067910,67332,2,1
1,NewOrder,1658108446.069569,66514,3,1
1,NewOrder,1658108446.071806,59970,0,1
1,NewOrder,1658108446.107331,29604,1,1
1,NewOrder,1658108446.117430,22183,7,1
1,NewOrder,1658108446.119061,27713,6,1
1,NewOrder,1658108446.119346,24449,5,1
1,NewOrder,1658108446.124472,30071,8,1
1,NewOrder,1658108446.128391,41648,9,1
1,NewOrder,1658108446.131817,39522,0,1
1,NewOrder,1658108446.135267,31940,2,1
1,NewOrder,1658108446.136108,26053,3,1
1,NewOrder,1658108446.136990,23445,1,1
1,NewOrder,1658108446.139665,30902,7,1
1,NewOrder,1658108446.143821,27240,5,1
1,NewOrder,1658108446.146793,23924,6,1
1,NewOrder,1658108446.154596,30997,8,1
1,NewOrder,1658108446.160471,23985,1,1
1,NewOrder,1658108446.162205,25831,3,1
1,NewOrder,1658108446.167233,22292,2,1
1,NewOrder,1658108446.170064,31482,9,1
1,NewOrder,1658108446.170594,33807,7,1
1,NewOrder,1658108446.170749,27148,6,1
1,NewOrder,1658108446.171078,16916,5,1
1,NewOrder,1658108446.171366,22872,0,1
1,NewOrder,1658108446.184497,21256,1,1
1,NewOrder,1658108446.185674,19753,8,1
1,NewOrder,1658108446.188031,16724,5,1
1,NewOrder,1658108446.188063,16871,3,1
1,NewOrder,1658108446.189547,17631,2,1
1,NewOrder,1658108446.194262,13770,0,1
1,NewOrder,1658108446.197935,18173,6,1
1,NewOrder,1658108446.201598,13993,9,1
1,NewOrder,1658108446.203070,13090,4,1
1,NewOrder,1658108446.204432,11902,7,1
1,NewOrder,1658108446.204788,26193,5,1
1,NewOrder,1658108446.204962,11184,3,1
1,NewOrder,1658108446.205446,9578,8,1
1,NewOrder,1658108446.205770,9927,1,1
1,NewOrder,1658108446.207206,9181,2,1
1,NewOrder,1658108446.208070,8012,0,1
1,NewOrder,1658108446.215063,3929,8,1
1,NewOrder,1658108446.215632,3280,9,1
1,NewOrder,1658108446.215713,3859,1,1
1,NewOrder,1658108446.216101,3704,0,1
1,NewOrder,1658108446.216152,3775,6,1
1,NewOrder,1658108446.216165,4064,3,1
1,NewOrder,1658108446.216176,3386,4,1
1,NewOrder,1658108446.216356,4500,7,1
1,NewOrder,1658108446.216404,3482,2,1
1,NewOrder,1658108446.218952,4025,9,1
1,NewOrder,1658108446.219025,3824,8,1
1,NewOrder,1658108446.219588,3167,4,1
1,NewOrder,1658108446.219594,3698,1,1
1,NewOrder,1658108446.219825,4021,0,1
1,NewOrder,1658108446.219904,3471,2,1
1,NewOrder,1658108446.219947,3492,6,1
1,NewOrder,1658108446.220248,3641,3,1
1,NewOrder,1658108446.220877,3610,7,1
1,NewOrder,1658108446.222782,2895,4,1
1,NewOrder,1658108446.222882,3326,8,1
1,NewOrder,1658108446.222995,3133,9,1
1,NewOrder,1658108446.223315,3387,1,1
1,NewOrder,1658108446.223389,3662,2,1
1,NewOrder,1658108446.223455,3194,6,1
1,NewOrder,1658108446.223863,3364,0,1
1,NewOrder,1658108446.223905,3739,3,1
1,NewOrder,1658108446.224503,4776,7,1
1,NewOrder,1658108446.225706,3543,4,1
1,NewOrder,1658108446.226156,2928,9,1
1,NewOrder,1658108446.226228,3632,8,1
1,NewOrder,1658108446.226665,3569,6,1
1,NewOrder,1658108446.226723,3461,1,1
1,NewOrder,1658108446.227068,3528,2,1
1,NewOrder,1658108446.227243,3749,0,1
1,NewOrder,1658108446.227660,3554,3,1
1,NewOrder,1658108446.229113,2105,9,1
1,NewOrder,1658108446.229271,3420,4,1
1,NewOrder,1658108446.229298,3411,7,1
1,NewOrder,1658108446.229878,2833,8,1
1,NewOrder,1658108446.230202,2930,1,1
1,NewOrder,1658108446.230251,3306,6,1
1,NewOrder,1658108446.230615,3156,2,1
1,NewOrder,1658108446.231002,61238,5,1
1,NewOrder,1658108446.231011,3518,0,1
1,NewOrder,1658108446.231235,3473,3,1
1,NewOrder,1658108446.231235,12206,9,1
1,NewOrder,1658108446.232719,10393,4,1
1,NewOrder,1658108446.232737,10270,8,1
1,NewOrder,1658108446.232742,10278,7,1
1,NewOrder,1658108446.233148,9875,1,1
1,NewOrder,1658108446.233589,9603,6,1
1,NewOrder,1658108446.233795,9646,2,1
1,NewOrder,1658108446.234547,8491,0,1
1,NewOrder,1658108446.234722,8691,3,1
1,NewOrder,1658108446.243047,3245,1,1
1,NewOrder,1658108446.243047,3113,8,1
1,NewOrder,1658108446.243050,3731,7,1
1,NewOrder,1658108446.243052,3508,0,1
1,NewOrder,1658108446.243208,3320,6,1
1,NewOrder,1658108446.243221,4105,4,1
1,NewOrder,1658108446.243436,4093,3,1
1,NewOrder,1658108446.243459,3324,2,1
1,NewOrder,1658108446.243459,2105,9,1
1,NewOrder,1658108446.245620,2128,9,1
1,NewOrder,1658108446.246187,3223,8,1
1,NewOrder,1658108446.246311,3350,1,1
1,NewOrder,1658108446.246548,3300,6,1
1,NewOrder,1658108446.246577,3687,0,1
1,NewOrder,1658108446.246802,3322,7,1
1,NewOrder,1658108446.246804,2807,2,1
1,NewOrder,1658108446.247369,6243,4,1
1,NewOrder,1658108446.247551,3881,3,1
1,NewOrder,1658108446.247768,2207,9,1
1,NewOrder,1658108446.249442,2985,8,1
1,NewOrder,1658108446.249632,3011,2,1
1,NewOrder,1658108446.249676,3683,1,1
1,NewOrder,1658108446.249878,3695,6,1
1,NewOrder,1658108446.249993,2115,9,1
1,NewOrder,1658108446.250144,3028,7,1
1,NewOrder,1658108446.250282,3353,0,1
1,NewOrder,1658108446.251455,4227,3,1
1,NewOrder,1658108446.252134,2229,9,1
1,NewOrder,1658108446.252447,2634,8,1
1,NewOrder,1658108446.252660,3072,2,1
1,NewOrder,1658108446.253190,2998,7,1
1,NewOrder,1658108446.253376,2813,1,1
1,NewOrder,1658108446.253614,3523,6,1
1,NewOrder,1658108446.253668,2423,0,1
1,NewOrder,1658108446.253670,3533,4,1
1,NewOrder,1658108446.254387,2309,9,1
1,NewOrder,1658108446.255121,2832,8,1
1,NewOrder,1658108446.255707,3459,3,1
1,NewOrder,1658108446.255748,2827,2,1
1,NewOrder,1658108446.256111,2797,0,1
1,NewOrder,1658108446.256208,3085,1,1
1,NewOrder,1658108446.256208,2932,7,1
1,NewOrder,1658108446.256715,2279,9,1
1,NewOrder,1658108446.257162,3214,6,1
1,NewOrder,1658108446.257238,3056,4,1
1,NewOrder,1658108446.257979,2802,8,1
1,NewOrder,1658108446.258599,2978,2,1
1,NewOrder,1658108446.258945,2430,0,1
1,NewOrder,1658108446.259011,1958,9,1
1,NewOrder,1658108446.259159,3323,7,1
1,NewOrder,1658108446.259182,3395,3,1
1,NewOrder,1658108446.259362,3036,1,1
1,NewOrder,1658108446.260353,2830,4,1
1,NewOrder,1658108446.260405,3634,6,1
1,NewOrder,1658108446.260807,2854,8,1
1,NewOrder,1658108446.260987,1953,9,1
1,NewOrder,1658108446.261394,2491,0,1
1,NewOrder,1658108446.261600,2882,2,1
1,NewOrder,1658108446.262422,2822,1,1
1,NewOrder,1658108446.262500,3299,7,1
1,NewOrder,1658108446.262594,3567,3,1
1,NewOrder,1658108446.262957,2018,9,1
1,NewOrder,1658108446.263215,2896,4,1
1,NewOrder,1658108446.263683,2733,8,1
1,NewOrder,1658108446.263904,2525,0,1
1,NewOrder,1658108446.264058,3257,6,1
