Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,172.600,58.422,0.724,33.638,46.843,70.232,111.896,135.044,206.753,392.992,0.017
5,208.600,47.622,0.642,25.377,33.867,54.438,99.674,124.794,159.721,249.425,0.021
10,272.400,36.721,0.600,25.219,32.946,41.690,60.929,75.645,126.207,209.861,0.027
15,266.600,37.453,0.722,25.131,26.218,34.012,55.313,82.242,151.704,1034.582,0.027
20,305.400,33.972,0.624,25.117,25.813,33.836,50.136,58.622,108.151,1017.378,0.029
25,287.600,33.878,0.577,25.098,25.455,33.629,45.074,58.714,143.393,710.498,0.030
30,242.800,40.638,0.562,25.134,32.463,41.474,84.001,100.514,165.948,232.660,0.025
35,262.200,38.090,0.837,25.132,32.925,42.134,67.105,83.459,109.265,199.188,0.026
40,303.400,33.008,0.620,25.072,25.445,33.580,49.314,67.001,123.104,169.627,0.030
45,310.200,32.166,0.609,25.071,25.603,33.670,50.002,58.952,99.089,124.312,0.031
50,323.400,30.918,0.615,25.065,25.423,33.539,41.929,50.822,92.050,173.881,0.032
55,266.400,37.524,0.545,25.074,25.534,33.822,57.626,75.072,116.762,1035.740,0.027
60,294.800,33.978,0.572,25.064,25.425,33.613,50.776,67.117,133.941,234.500,0.029
65,313.000,31.917,4.158,25.070,25.362,33.548,50.071,59.000,108.505,136.705,0.031
70,331.000,30.407,0.585,25.069,25.379,33.498,41.903,50.830,84.108,115.908,0.033
75,329.200,30.086,0.557,25.056,25.348,33.482,41.251,50.847,83.441,133.810,0.033
80,283.800,35.247,0.574,25.030,25.314,33.529,42.803,58.505,108.870,1047.622,0.028
85,337.200,29.678,0.453,25.030,25.308,33.449,34.731,49.694,84.017,158.944,0.034
90,346.200,28.877,0.630,25.075,25.288,33.419,33.961,41.956,74.985,101.315,0.035
95,278.000,35.920,0.613,25.052,25.280,33.463,41.886,59.427,108.728,1022.175,0.028
100,333.000,30.020,0.560,25.073,25.390,33.541,41.039,50.369,75.666,125.301,0.033
105,336.000,29.774,0.571,25.059,25.348,33.522,36.978,50.407,74.227,108.108,0.034
110,339.600,29.407,0.783,25.052,25.324,33.476,40.505,49.118,68.066,97.975,0.034
115,338.600,29.350,0.549,25.043,25.256,33.450,34.291,49.885,83.182,108.724,0.034
