Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,700,700.000,2434,9844,12015,14370,15822,22411,27481,85802,86228
1,804,804.000,2127,9070,11323,12419,14793,18966,21692,28997,31377
2,786,786.000,1977,8960,11328,12665,14310,18613,24492,41794,48698
3,770,770.000,2990,9125,11211,12966,14163,18337,22645,71800,80055
4,816,816.000,1958,8894,10964,12233,13528,17063,21496,32004,82459
5,865,865.000,2126,8891,10850,11523,13060,16080,19266,26574,35137
6,878,878.000,2469,8996,10797,11411,12885,15758,18930,26203,37413
7,792,792.000,976,8858,11030,12627,13414,17710,22510,70480,79604
8,880,880.000,1958,8820,10713,11332,13082,15582,18805,24398,30256
9,877,877.000,2029,8760,10787,11372,13004,15355,18457,25149,39529
10,878,878.000,3258,8760,10656,11343,13169,15361,18902,26062,37694
11,846,846.000,2127,8854,10667,11840,12896,15512,17685,71475,79690
12,886,886.000,2786,8768,10563,11250,12877,15544,18363,24408,39610
13,894,894.000,1602,8789,10760,11188,12947,15163,17732,23211,26083
14,864,864.000,1694,8907,10849,11593,13078,15692,19196,28985,43106
15,819,819.000,2050,9000,10802,12165,13096,15600,18414,72954,88388
16,899,899.000,2220,8676,10549,11090,12741,14837,17220,24771,29719
17,889,889.000,1625,8748,10609,11243,12778,15194,18510,24534,41105
18,895,895.000,1989,8765,10680,11174,12814,15242,17612,25652,29695
19,836,836.000,1826,8569,10601,11967,13024,15699,18983,73866,96662
20,913,913.000,2205,8591,10409,10937,12556,14888,16837,23709,31304
21,896,896.000,1547,8771,10581,11142,12853,15014,18141,23028,32768
22,337,337.000,2403,8764,10781,39151,12850,15985,21493,991588,1026306
23,586,586.000,2210,9240,11132,11724,13295,15658,18260,27207,50153
24,780,780.000,1636,9323,11338,12690,13475,16904,21589,72000,83030
25,908,908.000,2767,8703,10536,10996,12551,15063,17043,23126,29341
26,882,882.000,1748,8961,10685,11328,12961,15482,18005,24804,38977
27,905,905.000,1566,8767,10442,11049,12522,15049,17094,23455,47056
28,832,832.000,1859,8707,10766,11978,12859,15508,17699,71176,90965
29,918,918.000,1666,8804,10554,10895,12295,14791,16793,23773,33557
30,892,892.000,1766,8655,10650,11190,12887,15361,18101,25048,35754
31,857,857.000,2015,8583,10547,11656,13030,16405,19771,36364,45299
32,825,825.000,1674,8878,10750,12117,13136,15585,19544,66790,81915
33,899,899.000,1725,8470,10675,11150,13043,15429,17275,22181,31789
34,901,901.000,2066,8623,10533,11097,12821,15058,17058,24659,34203
35,886,886.000,1925,8939,10768,11231,12919,15185,17408,23697,29738
36,831,831.000,2044,8860,10879,12023,13362,15917,18438,67472,79576
37,907,907.000,1653,8624,10396,10997,12475,15081,17687,23970,34528
38,916,916.000,1621,8573,10468,10914,12444,14877,17183,22707,30160
39,865,865.000,1628,8991,10889,11605,13322,16228,19426,24314,38482
40,782,782.000,1779,9373,11242,12706,13708,16192,18897,78175,105199
41,915,915.000,2258,8548,10399,10907,12633,14709,17184,21652,30116
42,884,884.000,2275,8720,10780,11342,13175,15456,18330,24553,33448
43,525,525.000,1547,8714,10540,29045,12878,16275,21133,975777,1026301
44,402,402.000,1881,9102,10991,11753,13650,16252,19183,25868,35992
45,838,838.000,2269,8733,10922,11914,12924,15605,18008,67990,86344
46,908,908.000,1580,8681,10575,11004,12662,15017,16745,22965,34827
47,909,909.000,1760,8605,10412,10976,12624,15128,17483,22626,33351
48,857,857.000,1941,8706,10595,11975,13228,17761,22908,32533,77059
49,817,817.000,1856,8677,10812,11885,13309,17593,21327,29915,74705
50,907,907.000,1682,8682,10540,10992,12547,14433,16566,22177,30484
51,917,917.000,1941,8565,10463,10894,12501,14847,17461,22833,31419
52,856,856.000,1957,8681,10545,11686,12771,15129,17371,74538,79630
53,886,886.000,1869,8941,10594,11257,12692,15259,18163,26960,40075
54,938,938.000,1985,8506,10366,10703,12230,14366,16257,21002,28274
55,890,890.000,1971,8513,10774,11177,12901,14974,17358,25776,33759
56,818,818.000,1905,9029,10851,12222,13060,15855,18689,79300,86215
57,913,913.000,1522,8583,10434,10943,12635,14661,16777,22749,28203
58,919,919.000,1887,8615,10384,10845,12543,14703,16213,22057,29134
