Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,769.000,12.991,1.958,9.119,11.338,14.433,19.667,24.183,40.231,81.620,0.077
5,841.800,11.863,2.222,8.932,10.873,13.170,16.517,20.341,29.880,87.132,0.084
10,857.200,11.648,1.979,8.922,10.834,13.182,15.963,18.987,26.210,83.815,0.086
15,851.000,11.740,1.888,8.862,10.729,13.071,15.824,18.974,28.331,94.791,0.085
20,690.400,14.475,1.876,9.062,11.009,13.136,15.956,19.151,28.253,1016.819,0.069
25,870.800,11.475,2.130,8.886,10.761,12.877,15.616,18.089,25.421,80.610,0.087
30,858.800,11.628,1.793,8.711,10.731,13.099,15.831,19.062,28.769,87.074,0.086
35,845.000,11.820,1.516,8.928,10.872,13.206,16.158,19.259,27.066,97.151,0.085
40,696.200,14.354,1.656,8.915,10.815,13.177,15.865,19.071,29.951,1023.467,0.070
45,862.000,11.586,1.838,8.787,10.743,13.043,16.062,19.715,26.845,76.710,0.086
50,882.200,11.322,1.813,8.739,10.692,12.670,15.294,18.134,25.363,79.753,0.088
55,876.800,11.395,2.008,8.751,10.664,12.854,15.247,17.965,25.580,91.426,0.088
60,849.000,11.766,1.983,8.896,10.844,13.005,15.728,19.031,28.472,89.063,0.085
65,736.600,13.816,1.728,8.844,10.705,12.907,15.323,17.972,27.380,1014.015,0.072
70,872.600,11.239,1.495,8.685,10.587,12.773,15.038,17.122,23.977,76.631,0.089
75,864.000,11.562,1.624,8.879,10.843,13.018,15.554,18.528,25.967,77.757,0.086
80,876.000,11.400,1.771,8.851,10.807,12.858,15.057,17.574,25.839,85.989,0.088
85,695.400,14.785,2.316,9.369,11.319,13.710,16.690,20.293,76.988,1019.486,0.068
90,664.000,14.623,2.030,9.104,11.219,13.418,16.362,19.816,42.802,1015.517,0.068
95,865.000,11.555,1.516,8.981,10.946,12.971,15.425,18.298,26.549,82.214,0.087
100,873.200,11.444,1.707,8.855,10.803,12.938,15.404,17.734,25.505,74.460,0.087
105,837.600,11.938,1.529,8.912,10.864,13.101,16.398,19.843,29.575,97.817,0.084
110,731.400,13.654,2.130,8.742,10.720,12.957,15.482,17.960,27.276,1012.775,0.073
115,857.800,11.621,2.130,8.807,10.759,12.971,15.420,18.291,27.340,94.152,0.086
