Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1661805310.180966,125761,4,1,0,0,1,0,0
1,NewOrder,1661805310.180970,126433,5,1,0,0,1,0,0
1,NewOrder,1661805310.180970,126034,8,1,0,0,1,0,0
1,NewOrder,1661805310.180970,125837,6,1,0,0,1,0,0
1,NewOrder,1661805310.180971,125837,3,1,0,0,1,0,0
1,NewOrder,1661805310.181251,126534,2,1,0,0,1,0,0
1,NewOrder,1661805310.181528,125276,9,1,0,0,1,0,0
1,NewOrder,1661805310.181613,124920,7,1,0,0,0,1,48542
1,NewOrder,1661805310.181613,125317,0,1,0,0,1,0,0
1,NewOrder,1661805310.181632,125666,1,1,0,0,1,0,0
1,NewOrder,1661805310.306821,46527,7,1,0,0,0,1,30207
1,NewOrder,1661805310.306846,13260,6,1,0,0,0,1,1281
1,NewOrder,1661805310.306849,22176,3,1,0,0,0,1,797
1,NewOrder,1661805310.306875,14605,4,1,0,0,0,1,1364
1,NewOrder,1661805310.306876,31111,9,1,0,0,0,1,4738
1,NewOrder,1661805310.306969,22057,0,1,0,0,0,1,796
1,NewOrder,1661805310.307064,25512,8,1,0,0,0,1,1739
1,NewOrder,1661805310.307376,22553,1,1,0,0,0,1,1291
1,NewOrder,1661805310.307471,26492,5,1,0,0,0,1,1628
1,NewOrder,1661805310.307915,28610,2,1,0,0,0,1,1063
1,NewOrder,1661805310.320142,29246,6,1,0,0,1,0,0
1,NewOrder,1661805310.321543,36376,4,1,0,0,1,0,0
1,NewOrder,1661805310.329069,21078,3,1,0,0,1,0,0
1,NewOrder,1661805310.329069,21417,0,1,0,0,1,0,0
1,NewOrder,1661805310.329960,26303,1,1,0,0,1,0,0
1,NewOrder,1661805310.332646,16708,8,1,0,0,1,0,0
1,NewOrder,1661805310.334048,16358,5,1,0,0,1,0,0
1,NewOrder,1661805310.336582,17091,2,1,0,0,1,0,0
1,NewOrder,1661805310.338023,11623,9,1,0,0,1,0,0
1,NewOrder,1661805310.349405,2639,8,1,0,0,0,1,736
1,NewOrder,1661805310.349412,8759,6,1,0,0,0,1,2273
1,NewOrder,1661805310.349664,9280,9,1,0,0,0,1,874
1,NewOrder,1661805310.350191,14242,3,1,0,0,0,1,859
1,NewOrder,1661805310.350451,8266,5,1,0,0,0,1,976
1,NewOrder,1661805310.350516,11564,0,1,0,0,0,1,1468
1,NewOrder,1661805310.352075,18667,8,1,0,0,1,0,0
1,NewOrder,1661805310.353369,36660,7,1,0,0,1,0,0
1,NewOrder,1661805310.353700,12220,2,1,0,0,0,1,901
1,NewOrder,1661805310.356289,20245,1,1,0,0,0,1,837
1,NewOrder,1661805310.357967,14783,4,1,0,0,0,1,888
1,NewOrder,1661805310.358225,31656,6,1,0,0,1,0,0
1,NewOrder,1661805310.358753,35448,5,1,0,0,0,1,26010
1,NewOrder,1661805310.358978,31004,9,1,0,0,1,0,0
1,NewOrder,1661805310.362126,26791,0,1,0,0,1,0,0
1,NewOrder,1661805310.364461,24627,3,1,0,0,1,0,0
1,NewOrder,1661805310.365959,25198,2,1,0,0,1,0,0
1,NewOrder,1661805310.370793,10394,8,1,0,0,0,1,825
1,NewOrder,1661805310.372779,17291,4,1,0,0,1,0,0
1,NewOrder,1661805310.376584,13466,1,1,0,0,1,0,0
1,NewOrder,1661805310.381236,7640,8,1,0,0,1,0,0
1,NewOrder,1661805310.388933,1641,8,1,0,0,0,1,708
1,NewOrder,1661805310.388947,5341,0,1,0,0,0,1,739
1,NewOrder,1661805310.389112,10375,3,1,0,0,0,1,805
1,NewOrder,1661805310.389930,10274,6,1,0,0,0,1,1109
1,NewOrder,1661805310.390028,11375,9,1,0,0,0,1,953
1,NewOrder,1661805310.390081,18854,7,1,0,0,0,1,952
1,NewOrder,1661805310.390107,15483,4,1,0,0,0,1,1789
1,NewOrder,1661805310.390107,25024,1,1,0,0,0,1,783
1,NewOrder,1661805310.390596,25976,8,1,0,0,1,0,0
1,NewOrder,1661805310.391191,10039,2,1,0,0,0,1,756
1,NewOrder,1661805310.394231,33264,5,1,0,0,0,1,17680
1,NewOrder,1661805310.394311,24517,0,1,0,0,1,0,0
1,NewOrder,1661805310.399511,24855,3,1,0,0,1,0,0
1,NewOrder,1661805310.400252,24091,6,1,0,0,1,0,0
1,NewOrder,1661805310.401261,23110,2,1,0,0,1,0,0
1,NewOrder,1661805310.401456,23213,9,1,0,0,1,0,0
1,NewOrder,1661805310.405630,18653,4,1,0,0,1,0,0
1,NewOrder,1661805310.408992,15577,7,1,0,0,1,0,0
1,NewOrder,1661805310.415175,9627,1,1,0,0,1,0,0
1,NewOrder,1661805310.416602,6616,8,1,0,0,0,1,663
1,NewOrder,1661805310.418861,4290,0,1,0,0,0,1,644
1,NewOrder,1661805310.423195,4481,0,1,0,0,1,0,0
1,NewOrder,1661805310.423233,4129,8,1,0,0,1,0,0
1,NewOrder,1661805310.424324,12760,4,1,0,0,0,1,1259
1,NewOrder,1661805310.424382,13216,3,1,0,0,0,1,684
1,NewOrder,1661805310.424383,11978,6,1,0,0,0,1,722
1,NewOrder,1661805310.424393,21726,2,1,0,0,0,1,581
1,NewOrder,1661805310.424613,21166,7,1,0,0,0,1,924
1,NewOrder,1661805310.424717,13108,9,1,0,0,0,1,839
1,NewOrder,1661805310.424825,22195,1,1,0,0,0,1,574
1,NewOrder,1661805310.427406,13951,8,1,0,0,0,1,939
1,NewOrder,1661805310.427536,35325,5,1,0,0,1,0,0
1,NewOrder,1661805310.427725,21241,0,1,0,0,0,1,770
1,NewOrder,1661805310.436387,25525,6,1,0,0,1,0,0
1,NewOrder,1661805310.437133,24565,4,1,0,0,1,0,0
1,NewOrder,1661805310.437621,24285,3,1,0,0,1,0,0
1,NewOrder,1661805310.437846,28597,9,1,0,0,0,1,19463
1,NewOrder,1661805310.441403,20897,8,1,0,0,1,0,0
1,NewOrder,1661805310.445819,15555,7,1,0,0,1,0,0
1,NewOrder,1661805310.446148,15226,2,1,0,0,1,0,0
1,NewOrder,1661805310.447041,14333,1,1,0,0,1,0,0
1,NewOrder,1661805310.449018,12895,0,1,0,0,1,0,0
1,NewOrder,1661805310.461421,13498,1,1,0,0,0,1,1476
1,NewOrder,1661805310.461421,20063,7,1,0,0,0,1,853
1,NewOrder,1661805310.461421,2811,2,1,0,0,0,1,626
1,NewOrder,1661805310.461732,13896,4,1,0,0,0,1,530
1,NewOrder,1661805310.461935,17364,0,1,0,0,0,1,580
1,NewOrder,1661805310.461935,12992,6,1,0,0,0,1,622
1,NewOrder,1661805310.461971,17505,3,1,0,0,0,1,576
1,NewOrder,1661805310.462350,19283,8,1,0,0,0,1,757
1,NewOrder,1661805310.462899,12128,5,1,0,0,0,1,1440
1,NewOrder,1661805310.464262,15324,2,1,0,0,1,0,0
1,NewOrder,1661805310.466465,29612,9,1,0,0,0,1,19126
1,NewOrder,1661805310.474962,38205,6,1,0,0,1,0,0
1,NewOrder,1661805310.474971,18075,1,1,0,0,1,0,0
1,NewOrder,1661805310.475063,24158,5,1,0,0,1,0,0
1,NewOrder,1661805310.475653,17387,4,1,0,0,1,0,0
1,NewOrder,1661805310.479329,13840,0,1,0,0,1,0,0
1,NewOrder,1661805310.479525,30158,3,1,0,0,1,0,0
1,NewOrder,1661805310.479613,17747,2,1,0,0,0,1,626
1,NewOrder,1661805310.481527,18292,7,1,0,0,1,0,0
1,NewOrder,1661805310.481743,23374,8,1,0,0,1,0,0
1,NewOrder,1661805310.493096,16735,4,1,0,0,0,1,512
1,NewOrder,1661805310.493194,15251,0,1,0,0,0,1,755
1,NewOrder,1661805310.493197,18198,1,1,0,0,0,1,511
1,NewOrder,1661805310.496130,36642,9,1,0,0,0,1,24079
1,NewOrder,1661805310.497397,31773,2,1,0,0,1,0,0
1,NewOrder,1661805310.499262,10663,5,1,0,0,0,1,974
1,NewOrder,1661805310.499851,13067,7,1,0,0,0,1,739
1,NewOrder,1661805310.505164,10552,8,1,0,0,0,1,591
1,NewOrder,1661805310.508471,19762,0,1,0,0,1,0,0
1,NewOrder,1661805310.509731,8558,3,1,0,0,0,1,504
1,NewOrder,1661805310.509857,18233,4,1,0,0,1,0,0
1,NewOrder,1661805310.509968,19997,5,1,0,0,1,0,0
1,NewOrder,1661805310.511418,16932,1,1,0,0,1,0,0
1,NewOrder,1661805310.512943,21275,7,1,0,0,1,0,0
1,NewOrder,1661805310.513186,12794,6,1,0,0,0,1,429
1,NewOrder,1661805310.515778,24331,8,1,0,0,1,0,0
1,NewOrder,1661805310.518325,13198,3,1,0,0,1,0,0
1,NewOrder,1661805310.526022,16404,6,1,0,0,1,0,0
1,NewOrder,1661805310.528123,13241,4,1,0,0,0,1,842
1,NewOrder,1661805310.528265,9702,0,1,0,0,0,1,514
1,NewOrder,1661805310.528372,11716,1,1,0,0,0,1,539
1,NewOrder,1661805310.529209,5800,2,1,0,0,0,1,651
1,NewOrder,1661805310.529993,13885,5,1,0,0,0,1,1335
1,NewOrder,1661805310.531575,9464,3,1,0,0,0,1,505
1,NewOrder,1661805310.532817,26841,9,1,0,0,0,1,19688
1,NewOrder,1661805310.534271,16609,7,1,0,0,0,1,477
1,NewOrder,1661805310.535063,20853,2,1,0,0,1,0,0
1,NewOrder,1661805310.538004,17909,0,1,0,0,1,0,0
1,NewOrder,1661805310.540119,15398,1,1,0,0,1,0,0
1,NewOrder,1661805310.540138,13662,8,1,0,0,0,1,512
1,NewOrder,1661805310.541061,14529,3,1,0,0,1,0,0
1,NewOrder,1661805310.541408,14118,4,1,0,0,1,0,0
1,NewOrder,1661805310.542457,10680,6,1,0,0,0,1,601
1,NewOrder,1661805310.543906,11611,5,1,0,0,1,0,0
1,NewOrder,1661805310.550908,5882,7,1,0,0,1,0,0
1,NewOrder,1661805310.553163,5259,6,1,0,0,1,0,0
1,NewOrder,1661805310.553821,4827,8,1,0,0,1,0,0
1,NewOrder,1661805310.555554,3795,1,1,0,0,0,1,519
1,NewOrder,1661805310.555554,14043,5,1,0,0,0,1,1446
1,NewOrder,1661805310.555566,1409,4,1,0,0,0,1,534
1,NewOrder,1661805310.555605,18195,3,1,0,0,0,1,734
1,NewOrder,1661805310.555930,10095,0,1,0,0,0,1,487
1,NewOrder,1661805310.555934,5802,2,1,0,0,0,1,424
1,NewOrder,1661805310.556840,18049,7,1,0,0,0,1,688
1,NewOrder,1661805310.557016,23147,4,1,0,0,1,0,0
1,NewOrder,1661805310.558474,15353,6,1,0,0,0,1,979
1,NewOrder,1661805310.558684,20169,8,1,0,0,0,1,1251
1,NewOrder,1661805310.559376,21278,1,1,0,0,1,0,0
1,NewOrder,1661805310.559703,38525,9,1,0,0,1,0,0
1,NewOrder,1661805310.561763,35742,2,1,0,0,1,0,0
1,NewOrder,1661805310.566048,32153,0,1,0,0,1,0,0
1,NewOrder,1661805310.569639,26883,5,1,0,0,1,0,0
1,NewOrder,1661805310.573825,22218,3,1,0,0,1,0,0
1,NewOrder,1661805310.573855,27984,6,1,0,0,0,1,19150
1,NewOrder,1661805310.574916,21383,7,1,0,0,1,0,0
1,NewOrder,1661805310.578880,16374,8,1,0,0,1,0,0
1,NewOrder,1661805310.580192,10883,4,1,0,0,0,1,491
1,NewOrder,1661805310.580697,10361,1,1,0,0,0,1,438
1,NewOrder,1661805310.591097,4246,4,1,0,0,1,0,0
1,NewOrder,1661805310.591097,4158,1,1,0,0,1,0,0
1,NewOrder,1661805310.595296,2443,1,1,0,0,0,1,553
1,NewOrder,1661805310.595296,1786,8,1,0,0,0,1,379
1,NewOrder,1661805310.595357,10589,4,1,0,0,0,1,9800
1,NewOrder,1661805310.596083,7708,3,1,0,0,0,1,471
1,NewOrder,1661805310.596320,2428,7,1,0,0,0,1,508
1,NewOrder,1661805310.596564,9381,5,1,0,0,0,1,1446
1,NewOrder,1661805310.597102,16088,8,1,0,0,1,0,0
1,NewOrder,1661805310.597525,11339,2,1,0,0,0,1,627
1,NewOrder,1661805310.597761,12023,1,1,0,0,1,0,0
1,NewOrder,1661805310.598248,11209,0,1,0,0,0,1,797
1,NewOrder,1661805310.598288,13791,9,1,0,0,0,1,537
1,NewOrder,1661805310.598768,10388,7,1,0,0,1,0,0
1,NewOrder,1661805310.601886,21323,6,1,0,0,0,1,12606
1,NewOrder,1661805310.603815,17871,3,1,0,0,1,0,0
1,NewOrder,1661805310.605992,25540,5,1,0,0,1,0,0
1,NewOrder,1661805310.605992,18640,4,1,0,0,1,0,0
1,NewOrder,1661805310.608901,12262,2,1,0,0,1,0,0
1,NewOrder,1661805310.609203,11684,7,1,0,0,0,1,444
1,NewOrder,1661805310.609505,12384,0,1,0,0,1,0,0
1,NewOrder,1661805310.609810,16092,1,1,0,0,0,1,2249
1,NewOrder,1661805310.612114,18193,9,1,0,0,1,0,0
1,NewOrder,1661805310.613215,7026,8,1,0,0,0,1,532
1,NewOrder,1661805310.620274,17210,8,1,0,0,1,0,0
1,NewOrder,1661805310.620930,10798,7,1,0,0,1,0,0
1,NewOrder,1661805310.621219,9932,2,1,0,0,0,1,1237
1,NewOrder,1661805310.621713,11685,3,1,0,0,0,1,521
1,NewOrder,1661805310.621907,11359,0,1,0,0,0,1,518
1,NewOrder,1661805310.623245,29484,6,1,0,0,0,1,22944
1,NewOrder,1661805310.624671,13197,4,1,0,0,0,1,1258
1,NewOrder,1661805310.625942,23717,1,1,0,0,1,0,0
1,NewOrder,1661805310.630352,9595,9,1,0,0,0,1,596
1,NewOrder,1661805310.631189,19444,2,1,0,0,1,0,0
1,NewOrder,1661805310.631554,16285,5,1,0,0,0,1,519
1,NewOrder,1661805310.631775,12048,7,1,0,0,0,1,787
1,NewOrder,1661805310.633287,20394,0,1,0,0,1,0,0
1,NewOrder,1661805310.633417,16105,3,1,0,0,1,0,0
1,NewOrder,1661805310.637524,12565,8,1,0,0,0,1,436
1,NewOrder,1661805310.637910,23778,4,1,0,0,1,0,0
1,NewOrder,1661805310.639972,12201,9,1,0,0,1,0,0
1,NewOrder,1661805310.643867,22864,7,1,0,0,1,0,0
1,NewOrder,1661805310.647866,21143,5,1,0,0,1,0,0
1,NewOrder,1661805310.649549,16227,3,1,0,0,0,1,428
1,NewOrder,1661805310.649681,15224,1,1,0,0,0,1,535
1,NewOrder,1661805310.650129,20480,8,1,0,0,1,0,0
1,NewOrder,1661805310.650659,16489,2,1,0,0,0,1,442
1,NewOrder,1661805310.652211,10002,9,1,0,0,0,1,793
1,NewOrder,1661805310.652760,35764,6,1,0,0,1,0,0
1,NewOrder,1661805310.653704,15230,0,1,0,0,0,1,958
1,NewOrder,1661805310.661739,10062,4,1,0,0,0,1,1359
1,NewOrder,1661805310.662231,25982,9,1,0,0,1,0,0
1,NewOrder,1661805310.664928,22166,1,1,0,0,1,0,0
1,NewOrder,1661805310.665793,21910,3,1,0,0,1,0,0
1,NewOrder,1661805310.666758,10811,7,1,0,0,0,1,477
1,NewOrder,1661805310.667165,24638,2,1,0,0,0,1,15145
1,NewOrder,1661805310.668971,19444,0,1,0,0,1,0,0
1,NewOrder,1661805310.669050,15676,5,1,0,0,0,1,497
1,NewOrder,1661805310.670627,15654,8,1,0,0,0,1,935
1,NewOrder,1661805310.671838,17955,4,1,0,0,1,0,0
1,NewOrder,1661805310.677589,11205,7,1,0,0,1,0,0
1,NewOrder,1661805310.684765,15837,5,1,0,0,1,0,0
1,NewOrder,1661805310.686311,3824,8,1,0,0,1,0,0
1,NewOrder,1661805310.687121,2810,1,1,0,0,0,1,1645
1,NewOrder,1661805310.687723,2241,3,1,0,0,0,1,710
1,NewOrder,1661805310.688276,13801,9,1,0,0,0,1,506
1,NewOrder,1661805310.688443,14882,0,1,0,0,0,1,520
1,NewOrder,1661805310.688542,11883,6,1,0,0,0,1,675
1,NewOrder,1661805310.688811,14956,7,1,0,0,0,1,476
1,NewOrder,1661805310.689834,12779,4,1,0,0,0,1,414
1,NewOrder,1661805310.689979,16357,1,1,0,0,1,0,0
1,NewOrder,1661805310.689993,12917,3,1,0,0,1,0,0
1,NewOrder,1661805310.690151,15737,8,1,0,0,0,1,3049
1,NewOrder,1661805310.691846,30745,2,1,0,0,0,1,21430
1,NewOrder,1661805310.700463,18509,6,1,0,0,1,0,0
1,NewOrder,1661805310.700630,13574,5,1,0,0,0,1,433
1,NewOrder,1661805310.702122,20037,9,1,0,0,1,0,0
1,NewOrder,1661805310.702634,16477,4,1,0,0,1,0,0
1,NewOrder,1661805310.702946,18788,3,1,0,0,0,1,612
1,NewOrder,1661805310.703349,15391,0,1,0,0,1,0,0
1,NewOrder,1661805310.703786,18307,7,1,0,0,1,0,0
1,NewOrder,1661805310.705907,20167,8,1,0,0,1,0,0
1,NewOrder,1661805310.706377,19486,1,1,0,0,0,1,632
1,NewOrder,1661805310.714228,11021,5,1,0,0,1,0,0
1,NewOrder,1661805310.718779,18255,0,1,0,0,0,1,672
1,NewOrder,1661805310.719035,16737,6,1,0,0,0,1,3448
1,NewOrder,1661805310.719145,18183,4,1,0,0,0,1,720
1,NewOrder,1661805310.721764,23760,3,1,0,0,1,0,0
1,NewOrder,1661805310.722133,16751,7,1,0,0,0,1,753
1,NewOrder,1661805310.722238,14329,9,1,0,0,0,1,949
1,NewOrder,1661805310.722616,32340,2,1,0,0,0,1,14374
1,NewOrder,1661805310.725313,23709,5,1,0,0,0,1,504
1,NewOrder,1661805310.725899,26960,1,1,0,0,1,0,0
1,NewOrder,1661805310.726115,18619,8,1,0,0,0,1,569
1,NewOrder,1661805310.735804,22182,6,1,0,0,1,0,0
1,NewOrder,1661805310.736609,16224,9,1,0,0,1,0,0
1,NewOrder,1661805310.737058,21913,0,1,0,0,1,0,0
1,NewOrder,1661805310.737346,29742,4,1,0,0,1,0,0
1,NewOrder,1661805310.739502,51533,7,1,0,0,1,0,0
1,NewOrder,1661805310.745423,12148,8,1,0,0,1,0,0
1,NewOrder,1661805310.749085,25021,5,1,0,0,1,0,0
1,NewOrder,1661805310.749508,20528,3,1,0,0,0,1,936
1,NewOrder,1661805310.752917,21139,1,1,0,0,0,1,717
1,NewOrder,1661805310.753392,20448,9,1,0,0,0,1,793
1,NewOrder,1661805310.755518,43312,2,1,0,0,0,1,29202
1,NewOrder,1661805310.757590,11440,8,1,0,0,0,1,589
