Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,650.000,15.872,2.106,9.126,11.284,14.379,19.204,24.242,57.889,1042.185,0.063
5,811.400,11.910,1.792,9.009,10.993,13.260,16.468,20.371,29.984,87.853,0.084
10,711.600,14.046,1.861,8.810,10.718,12.970,15.781,19.285,28.951,1023.241,0.071
15,706.400,14.135,0.867,8.842,10.897,13.182,16.189,19.969,29.938,1019.543,0.071
20,873.400,11.437,1.846,8.678,10.715,12.870,15.482,18.292,25.924,97.805,0.087
25,877.800,11.378,2.016,8.776,10.708,12.808,15.332,18.512,24.347,82.905,0.088
30,691.600,14.450,1.771,8.821,10.698,12.908,15.763,19.779,38.545,1012.194,0.069
35,581.800,17.187,1.804,8.869,10.803,12.981,16.128,19.747,32.382,1016.366,0.058
40,716.200,13.948,1.730,8.692,10.623,12.915,15.305,17.919,27.827,1020.740,0.072
45,852.000,11.723,1.865,8.720,10.620,12.988,16.058,20.021,29.461,99.243,0.085
50,717.200,13.932,1.844,8.669,10.629,12.770,14.969,17.768,26.887,1027.979,0.072
55,886.200,11.272,1.718,8.726,10.611,12.727,14.999,17.877,25.134,87.144,0.089
60,880.400,11.349,1.593,8.705,10.597,12.724,15.168,17.955,25.976,87.146,0.088
65,878.400,11.367,1.614,8.699,10.572,12.703,15.025,17.672,26.781,90.474,0.088
70,887.400,11.266,2.095,8.590,10.528,12.775,15.102,17.914,25.197,94.312,0.089
75,722.000,13.834,1.833,8.859,10.809,12.912,15.305,18.043,26.271,1013.359,0.072
80,595.800,16.821,1.929,8.653,10.574,12.753,15.403,18.723,65.876,1025.151,0.059
85,869.600,11.450,1.847,8.828,10.784,12.882,15.194,18.099,26.448,85.057,0.087
90,823.200,12.253,1.915,9.070,11.078,13.398,16.066,19.456,46.855,90.846,0.082
95,761.200,13.010,1.667,8.929,10.891,13.084,15.838,18.767,29.678,1021.628,0.077
100,696.000,14.361,1.069,9.025,11.002,13.138,16.022,18.947,29.015,1037.917,0.070
105,860.800,11.608,1.691,8.840,10.710,12.873,15.669,18.911,25.979,84.672,0.086
110,867.600,11.513,1.759,8.807,10.613,12.736,15.252,18.287,27.260,96.650,0.087
115,884.800,11.267,1.742,8.765,10.689,12.761,15.050,17.746,23.886,81.236,0.089
