Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,795,795.000,509,1060,10275,12862,17102,28077,42401,68548,121852
1,984,984.000,481,793,9500,9956,16282,22507,29098,46012,58815
2,1048,1048.000,519,733,10338,9545,15744,21044,26022,37248,47989
3,1049,1049.000,480,732,10234,9529,15689,19978,24534,33558,86670
4,995,995.000,476,714,9751,10002,15347,20202,29000,75958,134229
5,1067,1067.000,465,702,10255,9377,15618,19226,24125,33802,50386
6,1148,1148.000,486,684,9429,8693,15170,18874,22238,31985,54303
7,1135,1135.000,446,678,10295,8809,14923,18373,21279,30385,43087
8,1092,1092.000,463,676,10325,9151,15420,19171,22264,32642,43107
9,1020,1020.000,467,697,9975,9758,15705,19720,23990,54423,100986
10,1103,1103.000,487,686,10193,9065,15382,19459,22301,31114,41927
11,1099,1099.000,462,680,10709,9094,15402,18619,20766,30229,47154
12,1124,1124.000,481,673,10436,8870,15071,18590,21279,30486,43763
13,1078,1078.000,467,659,9720,9288,15523,21151,25699,37431,43242
14,1011,1011.000,464,689,10588,9840,15491,19387,22770,41248,81127
15,1091,1091.000,441,696,10694,9155,15432,18678,20678,32240,44388
16,1126,1126.000,493,680,10347,8872,15250,18180,19962,28716,38751
17,1138,1138.000,441,710,10282,8768,15160,18300,20858,28363,40585
18,1118,1118.000,465,697,10408,8957,15169,18692,20880,29369,36608
19,1132,1132.000,482,678,10301,8808,15150,18485,20309,29229,43991
20,1052,1052.000,438,693,10251,9510,15031,18965,22893,44994,97126
21,1130,1130.000,430,678,10254,8839,15187,18649,20723,29973,42366
22,1077,1077.000,464,701,10933,9275,15108,18386,20609,30139,53058
23,1113,1113.000,450,691,10534,8960,15128,18287,20334,28878,55945
24,1071,1071.000,459,683,10479,13825,15636,18918,21311,35999,1040879
25,152,152.000,473,810,10976,34481,15477,25033,36243,856208,867131
26,1011,1011.000,444,677,10707,9833,15685,18991,22019,37406,86639
27,1111,1111.000,448,668,10033,12956,15156,18406,20610,29771,1023846
28,174,174.000,516,771,10627,32015,15801,19098,23790,861995,891745
29,1146,1146.000,459,670,10269,8752,15256,18440,21110,27916,39479
30,1094,1094.000,466,678,10503,9085,15512,18415,20888,29657,39320
31,1180,1180.000,455,656,9953,8489,14965,18262,20307,28294,44886
32,1077,1077.000,463,681,10222,9549,15583,19249,22595,47823,86010
33,1065,1065.000,451,676,10194,9240,15364,18811,22377,35757,88389
34,1133,1133.000,432,666,9744,8688,15205,18470,20859,30996,42454
35,1095,1095.000,459,691,10220,9100,15131,18908,22683,33654,45991
36,1116,1116.000,442,686,10245,8953,15380,18550,21814,29770,50682
37,1113,1113.000,385,687,10245,8978,15346,18959,21180,28516,43099
38,1031,1031.000,468,679,10677,9702,15320,19121,21678,40074,89717
39,1110,1110.000,464,677,10540,9009,15065,18409,20452,29860,39918
40,1145,1145.000,473,682,10357,8726,14963,18127,19931,25349,37210
41,1168,1168.000,455,646,9944,8497,14906,17932,19588,26019,38608
42,288,288.000,456,657,10412,40424,15237,18676,22508,954979,1039167
43,902,902.000,455,698,11057,9284,15625,18713,21101,28949,36760
44,1022,1022.000,451,700,11007,9821,15179,18647,20968,48737,82560
45,1142,1142.000,444,682,10231,8687,15187,18206,20209,28584,46895
46,1211,1211.000,437,657,9661,8277,14394,18346,20188,26279,40114
47,1172,1172.000,446,670,9814,8515,14714,18335,20415,29630,44949
48,1094,1094.000,411,690,10102,9110,15251,19209,23062,32494,48014
49,1083,1083.000,460,678,10655,9249,15787,18827,21093,29745,40781
50,967,967.000,465,697,11358,10309,15881,18827,22098,70340,88046
51,1145,1145.000,472,675,9895,8755,14865,18285,21085,32211,44688
52,823,823.000,454,674,10167,15946,15216,18950,21264,32056,1021688
53,688,688.000,457,722,10805,9914,15405,19431,22434,35318,336965
54,1155,1155.000,451,657,10083,8642,15002,18416,20152,26343,40360
55,1137,1137.000,457,681,10244,8764,15050,18779,20319,25937,35477
56,1020,1020.000,466,685,10864,9814,15670,18968,21021,49751,81200
57,1149,1149.000,452,671,10099,8711,14876,18275,20479,28696,45995
58,1157,1157.000,470,686,10135,8617,14829,18008,20139,26988,35329
59,1148,1148.000,460,673,10162,8732,15068,18168,20244,28486,38502
60,1108,1108.000,433,686,10667,8993,15141,18422,20588,30870,42578
61,1061,1061.000,471,679,10440,9463,15175,18738,21740,50726,75040
62,1192,1192.000,471,663,9456,8345,14776,18158,20859,31423,38883
63,1178,1178.000,471,667,9930,8503,14694,18195,20259,29508,44991
64,1096,1096.000,453,669,10588,9096,15331,18874,22173,34874,56708
65,1111,1111.000,452,687,10763,8966,15322,18292,20258,28951,46298
66,1125,1125.000,446,669,10351,8892,15238,18523,20053,28349,39758
67,1016,1016.000,451,690,10826,9813,15568,19058,21640,38901,80535
68,1105,1105.000,447,685,10620,9128,15108,18812,20736,29846,42667
69,1101,1101.000,453,682,10614,9024,15034,18231,20463,29457,42212
70,1117,1117.000,439,660,10328,8940,15292,18598,20444,26761,47648
71,1119,1119.000,465,664,9682,11996,14802,18243,20560,32723,1041760
72,304,304.000,426,791,11470,21613,17311,20864,23185,533924,851428
73,1053,1053.000,469,654,9936,9468,14934,18766,22893,47877,103391
74,1122,1122.000,453,670,10482,8919,14873,18408,20363,30210,40925
75,1184,1184.000,451,669,9496,8450,14898,18300,20289,29901,43052
76,1065,1065.000,462,691,10897,9364,15507,18786,20768,28388,34280
77,1135,1135.000,462,671,10414,8785,15135,18624,20418,29869,45077
78,1064,1064.000,439,685,10243,9433,15352,19092,22092,41179,95413
79,1169,1169.000,449,670,9680,8527,14865,18391,20685,27478,50406
80,1141,1141.000,444,668,10350,8751,15242,17969,20095,26640,38802
81,1154,1154.000,460,667,10269,8666,15027,18177,20688,28527,41534
82,1130,1130.000,449,679,10278,8819,14989,18458,20352,27681,44535
83,1153,1153.000,451,673,10125,8708,14861,18264,20284,29642,52566
84,1087,1087.000,475,667,10059,9134,15319,18364,21024,37341,92046
85,1128,1128.000,466,676,10298,8871,15197,18556,20239,31223,41394
86,1145,1145.000,465,679,10331,8715,14866,18125,20373,27570,31016
87,1116,1116.000,448,682,10664,8990,14800,18363,20539,28558,37508
88,1144,1144.000,478,669,10196,8729,15059,18256,20773,31792,40824
89,1044,1044.000,447,683,10832,9568,15425,18575,20520,42455,79949
90,292,292.000,452,676,9650,40504,15047,18301,23657,1017607,1024802
91,887,887.000,444,708,10728,9171,15453,18647,20822,34379,46540
92,1146,1146.000,456,666,10375,8737,15110,18390,20150,29954,41057
93,1116,1116.000,469,703,10429,8963,15465,18609,20482,31052,45773
94,1102,1102.000,464,673,10801,9072,15070,18300,20424,29751,44198
95,1058,1058.000,434,658,10595,9862,15762,19312,23255,46624,94942
96,1077,1077.000,462,658,10104,8860,15343,19108,21826,29897,42734
97,1131,1131.000,419,670,10232,8851,14808,18175,20563,28209,45827
98,999,999.000,468,692,10295,15399,15134,18429,20717,35124,1020807
99,335,335.000,510,735,10886,13731,15978,20200,28046,39655,717298
100,1084,1084.000,450,682,10880,9220,15237,18995,20919,29163,36956
101,1145,1145.000,460,677,10390,8715,14664,18158,20323,28303,45921
102,1063,1063.000,439,669,9875,9413,15065,19182,23077,42734,82152
103,1102,1102.000,461,675,10711,9075,15097,18605,20275,26835,35018
104,1124,1124.000,464,675,10367,8877,15200,18379,20570,30800,50583
105,1161,1161.000,466,664,10414,8586,14818,17980,19851,26720,33078
106,1174,1174.000,445,680,9937,8525,14997,18091,19829,28086,37512
107,1043,1043.000,446,683,10593,9546,15239,18738,20962,41234,87638
108,1110,1110.000,454,683,10734,9019,15301,18610,20204,28458,38723
109,941,941.000,472,726,11475,10664,17114,21625,24965,67960,82964
110,1040,1040.000,474,691,10703,9596,15791,18888,21196,42976,87592
111,1104,1104.000,450,664,10585,9034,15402,18986,21285,28582,37362
112,1013,1013.000,438,702,11307,9878,15745,19128,21894,40159,85741
113,439,439.000,477,718,9763,26656,15011,18385,22744,985960,1030723
114,946,946.000,427,664,10073,8790,15012,18660,21389,32247,115658
115,1141,1141.000,443,667,10390,8756,14995,18213,20549,29698,37082
116,1034,1034.000,441,684,10756,9622,15238,18866,21749,44701,79935
117,1102,1102.000,467,688,10519,10735,15168,18817,21099,29340,1018831
118,211,211.000,483,730,10106,43911,15063,20020,28638,1022345,1116610
119,765,765.000,496,887,13013,11434,16656,19438,21136,25193,118730
