Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,909.200,10.997,0.462,0.791,10.854,16.568,22.909,28.694,45.440,218.042,0.091
5,1048.600,9.529,0.457,0.687,10.559,15.576,19.311,23.182,34.697,89.904,0.105
10,1081.000,9.233,0.432,0.684,10.386,15.439,19.054,22.519,32.149,88.358,0.108
15,1083.000,9.218,0.400,0.688,10.403,15.322,18.898,21.848,32.983,84.938,0.108
20,1079.000,9.255,0.445,0.689,10.546,15.350,18.760,21.200,31.803,115.338,0.108
25,765.200,13.644,0.446,0.685,10.297,15.319,18.746,21.775,38.711,1026.824,0.073
30,1067.800,8.938,0.419,0.673,10.194,15.322,18.538,21.146,31.403,105.564,0.112
35,1086.600,9.196,0.455,0.686,10.355,15.312,18.840,21.584,32.988,89.902,0.109
40,909.400,10.975,0.438,0.681,10.550,15.157,18.411,20.715,30.508,1024.965,0.091
45,1123.000,8.896,0.451,0.677,10.215,15.013,18.480,20.782,30.190,79.746,0.112
50,963.400,10.370,0.440,0.690,10.142,15.330,18.960,21.474,32.475,1010.762,0.096
55,1134.800,8.800,0.457,0.671,10.125,14.992,18.391,20.676,29.647,86.569,0.114
60,1100.000,9.083,0.431,0.674,10.553,15.133,18.492,20.840,30.047,76.081,0.110
65,1122.000,8.905,0.445,0.677,10.130,15.198,18.637,21.051,31.727,91.728,0.112
70,947.400,10.552,0.446,0.672,10.312,15.235,18.594,20.946,30.839,1046.070,0.095
75,1139.400,8.823,0.439,0.666,10.071,15.074,18.497,20.680,29.901,104.983,0.113
80,1118.400,8.870,0.429,0.675,10.270,15.062,18.402,20.903,29.246,88.214,0.113
85,1127.400,8.863,0.442,0.670,10.299,14.992,18.322,20.389,29.655,92.229,0.113
90,905.400,11.036,0.443,0.679,10.361,15.249,18.465,20.660,31.962,1031.701,0.091
95,1106.400,9.025,0.453,0.673,10.398,15.235,18.583,21.205,31.598,94.876,0.111
100,941.000,10.635,0.454,0.682,10.330,15.028,18.478,20.755,33.256,1024.082,0.094
105,1135.200,8.806,0.435,0.675,10.199,15.145,18.341,20.423,29.455,82.444,0.114
110,975.800,11.099,0.448,0.691,10.637,15.729,19.423,22.650,38.897,1031.398,0.090
115,894.800,9.016,0.437,0.682,10.261,15.089,18.434,20.771,30.951,453.474,0.111
