Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,461,461.000,3473,15666,19303,21677,24430,30298,39678,89735,90627
1,571,571.000,1504,13129,16924,17380,20920,26072,31003,39335,44070
2,573,573.000,1394,12248,15859,17496,20538,26308,31986,61477,80814
3,586,586.000,1334,13003,16876,16943,20665,24600,27957,33980,47552
4,615,615.000,1720,12931,16185,16196,19503,22672,25223,32926,38228
5,626,626.000,1612,12576,15956,15942,19563,23095,24436,28064,33534
6,623,623.000,1158,12707,15987,16012,19437,23418,25827,35365,37149
7,594,594.000,1315,13079,16673,16836,20259,24029,27545,41599,47248
8,640,640.000,1448,12448,15846,15597,19220,22369,23893,27307,35570
9,647,647.000,1635,12213,15156,16529,18433,21222,22775,26095,1002965
10,382,382.000,3863,18779,24274,24311,29400,34271,39353,45370,67491
11,492,492.000,2166,16405,21308,20370,24791,28106,30237,35737,41326
12,534,534.000,1641,15072,18890,18709,21865,26212,27861,39928,46590
13,547,547.000,1359,14756,18234,18105,21711,25416,27593,32182,36684
14,605,605.000,1504,13540,17099,16549,20246,23359,25012,27379,29555
15,617,617.000,1624,12760,16588,16199,19868,23225,24805,28121,35732
16,601,601.000,1461,13530,16925,16595,20092,22989,24607,28450,36524
17,628,628.000,1284,12788,16070,15913,19811,22710,24173,27104,29876
18,594,594.000,1420,12747,16011,17960,19574,23129,25211,43274,1040917
19,516,516.000,1944,13379,17572,18038,21385,26136,32832,46264,75122
20,642,642.000,1530,12637,15771,15556,19340,22128,24207,26388,30670
21,641,641.000,1270,12515,15928,15547,19390,21894,23280,28917,33417
22,643,643.000,1299,12296,15916,15580,19376,21879,24019,26412,37493
23,543,543.000,1639,14355,17962,18443,21991,25685,28575,57165,58586
24,654,654.000,1185,12305,15717,15201,18743,21435,23347,26307,33738
25,671,671.000,1503,11930,15046,14894,18697,21382,23187,25654,30155
26,575,575.000,1516,12580,17045,17358,21350,25976,31353,35316,41033
27,468,468.000,3211,18035,21881,21349,25735,29775,31300,36074,42947
28,535,535.000,1366,15400,18930,18755,22746,26044,29427,34475,44850
29,560,560.000,1581,14411,17902,17704,21237,23872,26154,41522,50244
30,596,596.000,1927,13471,16841,16767,21069,23703,26557,29445,36172
31,609,609.000,1642,13520,16972,16486,20015,22505,24039,27967,32146
32,613,613.000,1524,13083,16694,16256,20178,22972,24586,27869,31841
33,596,596.000,1256,13671,16786,16713,20460,22919,25366,31603,40200
34,636,636.000,2014,12772,16007,15759,19402,22307,23787,26755,31427
35,615,615.000,1382,13054,16377,16269,20053,23074,24869,27060,32041
36,619,619.000,1606,12812,16287,16161,19759,22346,23911,28626,35494
37,630,630.000,1686,12596,16269,15828,19675,22097,23558,25621,27940
38,642,642.000,1532,12342,15563,15513,19206,22133,23749,30142,49990
39,631,631.000,1386,12158,15875,15873,19403,22349,23980,48898,57676
40,597,597.000,1970,13288,17172,16707,20636,23726,25422,28315,36800
41,655,655.000,1661,11889,15459,15236,19046,21623,23295,26127,42353
42,650,650.000,1350,12132,15736,15448,19238,22040,23804,28205,55004
43,479,479.000,2067,13384,19527,22797,26528,33355,39168,46968,1020016
44,447,447.000,3221,15311,19670,20139,25034,28847,31385,35578,43779
45,523,523.000,2378,15918,19656,19192,22695,25841,28851,34952,39490
46,581,581.000,1342,13903,17374,17141,21388,23965,25877,32841,39757
47,582,582.000,1525,13671,17945,17162,21358,24376,25906,30438,36511
48,590,590.000,1347,13632,17531,16944,21012,23608,25698,29436,34292
49,615,615.000,1208,12726,16659,17589,19879,22993,24523,27800,1009056
50,548,548.000,1751,13112,16738,16664,20084,23800,27217,34924,41689
51,614,614.000,1319,12549,15795,16278,19288,23223,26478,52313,57877
52,671,671.000,1507,11473,15169,14911,18611,21494,23628,26636,41532
53,592,592.000,1812,12920,16898,16821,20521,23514,27731,37431,45959
54,664,664.000,1300,11757,15199,15069,18763,21383,23568,31089,49385
55,609,609.000,1468,11850,15264,16951,19883,32130,33766,43349,47581
56,406,406.000,1286,21470,25070,23848,27906,29779,31163,35701,37575
57,449,449.000,1589,19938,22906,22437,26535,29981,32436,36327,56068
58,528,528.000,1270,15079,18896,18694,23056,26427,29124,34893,36778
59,560,560.000,1281,14612,18126,17909,21775,25181,28880,34710,40675
60,577,577.000,1699,13573,17749,17198,21168,24744,26077,28777,29909
61,616,616.000,1614,12646,16461,17402,19705,22180,23892,29469,1012389
62,541,541.000,1783,13301,16969,17162,20876,25509,28975,37563,42798
63,622,622.000,1220,12141,16310,16104,20126,23467,27128,31602,39614
