Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,351,351.000,745,15467,23091,29005,33831,48737,61203,166020,172237
1,544,544.000,652,1610,20421,18152,27206,35618,41807,62968,76969
2,589,589.000,699,1722,18853,17137,26052,32348,37161,50774,57355
3,588,588.000,642,1731,18866,16754,25696,31056,34705,44585,52771
4,637,637.000,768,1825,17858,15631,24219,30051,32797,39270,47031
5,596,596.000,771,2464,18519,18389,24741,30467,33704,54473,1024016
6,588,588.000,825,1394,18552,15417,24943,29862,32425,42945,53047
7,553,553.000,823,2738,19656,17969,27593,33186,37445,48184,61040
8,612,612.000,832,2829,17656,16320,24154,29601,33333,49424,62399
9,606,606.000,780,2061,17684,16480,24762,31592,35935,41944,56437
10,622,622.000,788,2225,17698,16089,24329,30789,33872,39254,44741
11,471,471.000,759,3099,23859,21276,32244,37610,42994,68210,73720
12,509,509.000,776,6426,22435,19609,29005,33717,37333,41155,48240
13,573,573.000,771,2130,19962,17353,26692,31627,35249,40212,43031
14,561,561.000,749,4205,20518,17722,26923,32116,34340,40938,48353
15,587,587.000,749,2667,19012,17067,25235,31082,34486,48052,64815
16,548,548.000,716,5334,19928,18086,26638,31988,35841,49752,59723
17,632,632.000,704,2031,17492,15983,24778,29734,32975,39181,50344
18,604,604.000,767,3207,18538,16531,24747,30512,33037,38698,43184
19,590,590.000,744,4115,19099,16965,24838,30462,33014,38587,53412
20,626,626.000,777,2566,18351,15877,24509,29337,32658,38651,41406
21,576,576.000,719,5196,19326,17398,25679,31042,34576,42430,58755
22,603,603.000,748,3220,18175,16549,25187,30615,33121,40490,50023
23,619,619.000,722,2809,17760,16123,24405,30446,33554,38574,50947
24,610,610.000,721,2876,17584,16435,25128,30991,33996,40095,61979
25,576,576.000,793,6724,19084,17198,25030,30186,32911,39936,48225
26,561,561.000,763,2914,19916,17934,27202,31926,35288,49458,63011
27,585,585.000,770,4405,17848,16916,25258,30897,33484,57000,72459
28,639,639.000,751,2058,17231,16726,23309,28581,31510,37873,937868
29,595,595.000,740,1295,17611,15684,25660,30796,35748,44425,53160
30,565,565.000,766,2482,18830,17638,26969,33302,36150,43495,48060
31,538,538.000,695,4693,22723,18735,28360,33595,35398,39323,41767
32,573,573.000,785,3772,20053,17365,26514,31576,35373,39110,45830
33,617,617.000,709,1670,18916,16267,24996,30336,33721,36638,45323
34,554,554.000,712,6470,20661,17972,26050,31118,34063,42546,63305
35,599,599.000,791,4338,18323,16603,24581,30034,33852,39256,49105
36,624,624.000,709,2438,17668,15979,24558,29689,31570,39932,48408
37,635,635.000,790,1563,17871,15740,24654,29451,31671,38283,46659
38,615,615.000,728,2362,18144,16212,24822,29659,33221,38371,44013
39,589,589.000,778,5763,18867,17017,24720,29882,32975,40202,51972
40,611,611.000,783,2166,18007,16421,24657,30646,34033,40239,43358
41,613,613.000,755,2943,18350,16294,24762,29887,34017,38586,44043
42,629,629.000,727,2269,17821,15879,24504,29719,32750,41930,69991
43,631,631.000,711,1680,17283,15756,24600,30343,34309,40551,56755
44,726,726.000,628,1352,14977,13709,22813,27897,32317,41506,46956
45,705,705.000,726,1256,15894,14174,23308,29020,33800,44421,61821
46,584,584.000,753,2464,19240,17232,25407,31578,35993,59836,88399
47,597,597.000,713,3149,18282,16582,25262,30222,32929,39403,42993
48,579,579.000,760,2363,17988,17756,26866,35519,39317,48559,50416
49,348,348.000,825,11013,32265,27693,40634,46294,53031,56051,56701
50,497,497.000,778,5261,23123,20359,29808,36353,40281,47886,59364
51,507,507.000,768,8094,22440,19646,29128,33287,35943,40536,51592
52,567,567.000,749,2819,20388,17602,26348,32081,34714,40395,44345
53,570,570.000,690,3945,19772,17521,26205,31305,34516,43869,59905
