Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,569.800,18.664,2.904,12.119,14.983,19.328,27.260,32.876,66.780,1038.776,0.054
5,549.200,19.152,2.864,11.369,13.864,16.979,22.014,27.444,46.839,1024.280,0.052
10,570.800,15.406,3.108,11.229,13.783,16.772,19.904,24.218,33.754,766.462,0.065
15,675.000,14.794,2.812,11.119,13.615,16.390,20.149,24.764,42.158,92.565,0.068
20,688.800,14.499,2.373,10.975,13.512,16.280,19.627,23.782,35.192,88.531,0.069
25,688.600,14.507,2.594,11.053,13.345,16.102,19.343,23.628,35.020,89.383,0.069
30,689.200,14.478,2.843,10.974,13.376,16.089,19.484,24.120,35.785,100.848,0.069
35,682.000,16.131,2.644,10.970,13.422,16.007,19.163,22.990,33.216,1044.816,0.062
40,612.200,14.833,2.638,10.966,13.332,15.999,19.238,23.318,33.007,676.400,0.067
45,676.600,14.611,2.332,11.049,13.622,16.277,20.145,24.853,37.077,95.590,0.068
50,701.600,14.237,2.473,11.077,13.396,16.018,18.735,22.605,33.803,77.136,0.070
55,701.400,14.243,2.656,11.084,13.284,16.052,19.173,23.058,31.612,91.141,0.070
60,678.400,14.719,2.631,11.191,13.604,16.481,20.043,24.136,38.442,89.471,0.068
65,697.800,14.317,2.511,11.100,13.471,16.144,19.144,22.514,32.775,78.026,0.070
70,705.600,14.146,2.860,10.955,13.320,15.894,18.573,22.117,32.769,97.775,0.071
75,707.000,14.127,2.993,11.000,13.372,15.829,18.550,22.424,30.872,98.697,0.071
80,572.600,17.470,2.650,11.264,13.613,16.161,19.657,23.175,37.653,1017.971,0.057
85,579.000,17.243,3.303,10.964,13.306,15.929,18.967,23.466,31.903,1026.426,0.058
90,697.200,14.320,3.036,11.060,13.325,16.122,19.087,22.666,34.285,103.191,0.070
95,694.600,14.382,2.578,10.880,13.296,15.969,19.001,23.433,35.112,90.088,0.070
100,697.600,14.316,3.118,11.028,13.365,16.079,19.094,23.196,33.279,89.393,0.070
105,639.400,15.623,2.687,11.414,14.038,16.800,21.136,26.180,72.132,105.413,0.064
110,687.000,14.540,1.823,11.182,13.591,16.366,19.535,23.599,35.545,98.573,0.069
115,697.600,14.263,2.744,10.914,13.309,16.074,18.991,22.665,33.362,86.808,0.070
