Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,457,457.000,5221,13226,17343,22122,25219,41252,52188,70806,122198,456,1,70806,17343,22122,25219,41252,52188
1,548,548.000,4826,12895,15735,18043,20623,29009,35417,47425,64833,547,1,47425,15735,18043,20623,29009,35417
2,590,590.000,3521,12228,15297,16955,19117,26023,30432,43768,51836,589,1,43768,15297,16955,19117,26023,30432
3,585,585.000,4097,11784,14604,17102,18301,24558,32739,82365,101832,584,1,82365,14604,17102,18301,24558,32739
4,395,395.000,3744,11299,14093,35364,17282,23961,32037,881973,1045733,394,1,881973,14093,35364,17282,23961,32037
5,370,370.000,5216,11785,15082,16246,18604,23904,29501,35336,39663,369,1,35336,15082,16246,18604,23904,29501
6,666,666.000,2930,11499,13793,14907,16693,21429,26022,35115,45189,665,1,35115,13793,14907,16693,21429,26022
7,680,680.000,2899,11034,13589,14756,16616,21497,25519,36354,51081,679,1,36354,13589,14756,16616,21497,25519
8,685,685.000,4198,10841,13543,14555,16481,21063,25612,35337,42302,685,0,35337,13543,14555,16481,21063,25612
9,327,327.000,7705,11360,13838,43015,17681,23818,72533,952601,1023870,326,1,952601,13838,43015,17681,23818,72533
10,381,381.000,3160,11569,14289,15544,18206,22172,26248,36534,49666,380,1,36534,14289,15544,18206,22172,26248
11,662,662.000,4781,11411,13961,15051,16915,20150,24666,36213,80573,661,1,36213,13961,15051,16915,20150,24666
12,686,686.000,5107,11250,13821,14539,16609,20114,23136,31048,46176,685,1,31048,13821,14539,16609,20114,23136
13,690,690.000,3251,11161,13815,14479,16612,19845,23808,31209,37531,689,1,31209,13815,14479,16612,19845,23808
14,657,657.000,3400,11125,13445,15212,16444,20222,25821,75722,85012,656,1,75722,13445,15212,16444,20222,25821
15,690,690.000,3252,11049,13557,14436,16164,19029,22209,38258,63152,690,0,38258,13557,14436,16164,19029,22209
16,694,694.000,3111,11019,13498,14386,16162,19571,24234,34087,64997,694,0,34087,13498,14386,16162,19571,24234
17,669,669.000,2386,11014,13461,14965,16563,20860,24852,59057,73467,669,0,59057,13461,14965,16563,20860,24852
18,678,678.000,2942,11561,13923,14643,16561,19892,24366,31552,42279,677,1,31552,13923,14643,16561,19892,24366
19,640,640.000,3458,11109,13697,15696,16560,21149,26901,81792,88695,639,1,81792,13697,15696,16560,21149,26901
20,705,705.000,2575,11041,13329,14108,15877,19001,22027,32424,45326,705,0,32424,13329,14108,15877,19001,22027
21,700,700.000,5511,11092,13653,14329,16322,19270,22889,31672,41238,699,1,31672,13653,14329,16322,19270,22889
22,701,701.000,4010,10841,13404,14209,16256,18441,22186,37198,53193,700,1,37198,13404,14209,16256,18441,22186
23,694,694.000,2939,10940,13511,14365,16343,20136,23820,33673,63223,693,1,33673,13511,14365,16343,20136,23820
