Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1664251568.377884,54955,6,1,0,0,1,0,54955
1,NewOrder,1664251568.377985,58997,4,1,0,0,1,0,58997
1,NewOrder,1664251568.378327,60308,8,1,0,0,1,0,60308
1,NewOrder,1664251568.378346,54392,9,1,0,0,1,0,54392
1,NewOrder,1664251568.378386,56305,3,1,0,0,1,0,56305
1,NewOrder,1664251568.378390,54344,5,1,0,0,1,0,54344
1,NewOrder,1664251568.378446,54313,2,1,0,0,1,0,54313
1,NewOrder,1664251568.378499,64358,1,1,0,0,1,0,64358
1,NewOrder,1664251568.378526,56781,7,1,0,0,1,0,56781
1,NewOrder,1664251568.433110,4574,5,1,0,0,1,0,4574
1,NewOrder,1664251568.433145,18357,6,1,0,0,1,0,18357
1,NewOrder,1664251568.433168,17296,2,1,0,0,1,0,17296
1,NewOrder,1664251568.433186,14846,9,1,0,0,1,0,14846
1,NewOrder,1664251568.434848,59332,3,1,0,0,0,1,59332
1,NewOrder,1664251568.435468,27293,7,1,0,0,1,0,27293
1,NewOrder,1664251568.437105,18055,4,1,0,0,1,0,18055
1,NewOrder,1664251568.437732,63742,5,1,0,0,0,1,63742
1,NewOrder,1664251568.438714,13576,8,1,0,0,1,0,13576
1,NewOrder,1664251568.440000,29344,0,1,0,0,1,0,29344
1,NewOrder,1664251568.442998,9357,1,1,0,0,1,0,9357
1,NewOrder,1664251568.448094,15258,9,1,0,0,1,0,15258
1,NewOrder,1664251568.450603,17922,2,1,0,0,1,0,17922
1,NewOrder,1664251568.451564,26639,6,1,0,0,1,0,26639
1,NewOrder,1664251568.452371,13029,8,1,0,0,1,0,13029
1,NewOrder,1664251568.452475,32057,1,1,0,0,1,0,32057
1,NewOrder,1664251568.455239,19282,4,1,0,0,1,0,19282
1,NewOrder,1664251568.462833,14276,7,1,0,0,1,0,14276
1,NewOrder,1664251568.463424,18992,9,1,0,0,1,0,18992
1,NewOrder,1664251568.465455,91759,8,1,0,0,1,0,91759
1,NewOrder,1664251568.468601,16087,2,1,0,0,1,0,16087
1,NewOrder,1664251568.469424,16613,0,1,0,0,1,0,16613
1,NewOrder,1664251568.474572,36224,4,1,0,0,1,0,36224
1,NewOrder,1664251568.477151,15725,7,1,0,0,1,0,15725
1,NewOrder,1664251568.478277,21795,6,1,0,0,1,0,21795
1,NewOrder,1664251568.482484,23641,9,1,0,0,1,0,23641
1,NewOrder,1664251568.484601,22986,1,1,0,0,1,0,22986
1,NewOrder,1664251568.484779,12954,2,1,0,0,1,0,12954
1,NewOrder,1664251568.486111,70916,0,1,0,0,1,0,70916
1,NewOrder,1664251568.492909,15459,7,1,0,0,1,0,15459
1,NewOrder,1664251568.494237,27372,3,1,0,0,1,0,27372
1,NewOrder,1664251568.497777,53369,2,1,0,0,1,0,53369
1,NewOrder,1664251568.500146,15273,6,1,0,0,1,0,15273
1,NewOrder,1664251568.501531,19876,5,1,0,0,1,0,19876
1,NewOrder,1664251568.506178,13725,9,1,0,0,1,0,13725
1,NewOrder,1664251568.507627,43781,1,1,0,0,1,0,43781
1,NewOrder,1664251568.508422,14294,7,1,0,0,1,0,14294
1,NewOrder,1664251568.510879,40334,4,1,0,0,1,0,40334
1,NewOrder,1664251568.515492,36322,6,1,0,0,1,0,36322
1,NewOrder,1664251568.519972,38854,9,1,0,0,1,0,38854
1,NewOrder,1664251568.521480,16259,5,1,0,0,1,0,16259
1,NewOrder,1664251568.521653,28614,3,1,0,0,1,0,28614
1,NewOrder,1664251568.522744,16541,7,1,0,0,1,0,16541
1,NewOrder,1664251568.537823,18225,5,1,0,0,1,0,18225
1,NewOrder,1664251568.539357,19737,7,1,0,0,1,0,19737
1,NewOrder,1664251568.550342,14739,3,1,0,0,1,0,14739
1,NewOrder,1664251568.551219,28772,2,1,0,0,1,0,28772
1,NewOrder,1664251568.551304,31261,4,1,0,0,1,0,31261
1,NewOrder,1664251568.551509,31349,1,1,0,0,1,0,31349
1,NewOrder,1664251568.551901,28626,6,1,0,0,1,0,28626
1,NewOrder,1664251568.556218,4545,5,1,0,0,1,0,4545
1,NewOrder,1664251568.557097,25566,0,1,0,0,1,0,25566
1,NewOrder,1664251568.557292,14224,8,1,0,0,1,0,14224
1,NewOrder,1664251568.558916,30213,9,1,0,0,1,0,30213
1,NewOrder,1664251568.559168,10339,7,1,0,0,1,0,10339
1,NewOrder,1664251568.560816,14232,5,1,0,0,1,0,14232
1,NewOrder,1664251568.565162,13257,3,1,0,0,1,0,13257
1,NewOrder,1664251568.569570,10541,7,1,0,0,1,0,10541
1,NewOrder,1664251568.571591,18540,8,1,0,0,1,0,18540
1,NewOrder,1664251568.575096,12411,5,1,0,0,1,0,12411
1,NewOrder,1664251568.578486,21041,3,1,0,0,1,0,21041
1,NewOrder,1664251568.580065,9538,2,1,0,0,1,0,9538
1,NewOrder,1664251568.580181,36569,7,1,0,0,1,0,36569
1,NewOrder,1664251568.580602,10775,6,1,0,0,1,0,10775
1,NewOrder,1664251568.582639,50081,4,1,0,0,1,0,50081
1,NewOrder,1664251568.582706,50808,0,1,0,0,1,0,50808
1,NewOrder,1664251568.582916,18950,1,1,0,0,1,0,18950
1,NewOrder,1664251568.587575,12703,5,1,0,0,1,0,12703
1,NewOrder,1664251568.589190,16071,9,1,0,0,1,0,16071
1,NewOrder,1664251568.589672,18067,2,1,0,0,1,0,18067
1,NewOrder,1664251568.590185,47174,8,1,0,0,1,0,47174
1,NewOrder,1664251568.591429,12313,6,1,0,0,1,0,12313
1,NewOrder,1664251568.599581,61495,3,1,0,0,1,0,61495
1,NewOrder,1664251568.600348,13310,5,1,0,0,1,0,13310
1,NewOrder,1664251568.601934,17582,1,1,0,0,1,0,17582
1,NewOrder,1664251568.603811,8326,6,1,0,0,1,0,8326
1,NewOrder,1664251568.605326,28341,9,1,0,0,1,0,28341
1,NewOrder,1664251568.607804,9937,2,1,0,0,1,0,9937
1,NewOrder,1664251568.612201,17140,6,1,0,0,1,0,17140
1,NewOrder,1664251568.613725,13346,5,1,0,0,1,0,13346
1,NewOrder,1664251568.616790,46763,7,1,0,0,1,0,46763
1,NewOrder,1664251568.617823,13667,2,1,0,0,1,0,13667
1,NewOrder,1664251568.619564,17583,1,1,0,0,1,0,17583
1,NewOrder,1664251568.627120,31666,5,1,0,0,1,0,31666
1,NewOrder,1664251568.629402,15695,6,1,0,0,1,0,15695
1,NewOrder,1664251568.631565,11286,2,1,0,0,1,0,11286
1,NewOrder,1664251568.632798,44086,4,1,0,0,1,0,44086
1,NewOrder,1664251568.633590,29859,0,1,0,0,1,0,29859
1,NewOrder,1664251568.633738,15102,9,1,0,0,1,0,15102
1,NewOrder,1664251568.637219,23920,1,1,0,0,1,0,23920
1,NewOrder,1664251568.637437,49053,8,1,0,0,1,0,49053
1,NewOrder,1664251568.642922,14952,2,1,0,0,1,0,14952
1,NewOrder,1664251568.645171,11042,6,1,0,0,1,0,11042
1,NewOrder,1664251568.648908,30414,9,1,0,0,1,0,30414
1,NewOrder,1664251568.656285,15012,6,1,0,0,1,0,15012
1,NewOrder,1664251568.657949,15295,2,1,0,0,1,0,15295
1,NewOrder,1664251568.658858,10571,5,1,0,0,1,0,10571
1,NewOrder,1664251568.661160,26687,3,1,0,0,1,0,26687
1,NewOrder,1664251568.661217,16309,1,1,0,0,1,0,16309
1,NewOrder,1664251568.663505,21183,0,1,0,0,1,0,21183
1,NewOrder,1664251568.663630,24623,7,1,0,0,1,0,24623
1,NewOrder,1664251568.669498,20551,5,1,0,0,1,0,20551
1,NewOrder,1664251568.671364,17931,6,1,0,0,1,0,17931
1,NewOrder,1664251568.673309,13203,2,1,0,0,1,0,13203
1,NewOrder,1664251568.676967,10498,4,1,0,0,1,0,10498
1,NewOrder,1664251568.677599,12543,1,1,0,0,1,0,12543
1,NewOrder,1664251568.679438,18052,9,1,0,0,1,0,18052
1,NewOrder,1664251568.684731,29516,0,1,0,0,1,0,29516
1,NewOrder,1664251568.686565,16130,8,1,0,0,1,0,16130
1,NewOrder,1664251568.686576,18486,2,1,0,0,1,0,18486
1,NewOrder,1664251568.687534,14162,4,1,0,0,1,0,14162
1,NewOrder,1664251568.687908,40980,3,1,0,0,1,0,40980
1,NewOrder,1664251568.688420,16778,7,1,0,0,1,0,16778
1,NewOrder,1664251568.689473,10553,6,1,0,0,1,0,10553
1,NewOrder,1664251568.690105,13230,5,1,0,0,1,0,13230
1,NewOrder,1664251568.690216,18988,1,1,0,0,1,0,18988
