Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,673.600,14.888,0.536,2.595,7.770,19.016,36.961,55.068,92.581,241.310,0.067
5,824.200,12.072,0.528,1.594,5.896,13.056,32.575,49.337,88.913,124.081,0.083
10,802.000,12.466,0.635,1.530,5.362,12.142,37.424,57.916,93.775,142.881,0.080
15,628.200,15.856,0.559,1.555,5.010,14.698,38.619,57.703,91.252,1030.598,0.063
20,862.200,11.685,0.583,1.487,4.796,12.168,33.549,51.941,89.309,127.589,0.086
25,614.400,16.160,0.627,1.442,4.671,13.695,43.629,66.539,97.764,989.318,0.062
30,803.200,14.665,0.591,1.469,4.907,12.213,34.352,57.462,98.540,1026.305,0.068
35,738.800,11.096,0.592,1.464,4.531,10.513,31.355,52.820,85.616,121.777,0.090
40,715.600,13.958,0.613,1.478,5.502,13.630,32.939,60.016,105.534,1025.579,0.072
45,626.800,15.868,0.592,1.462,5.574,15.533,37.317,56.312,93.228,1113.544,0.063
50,737.800,13.529,0.570,1.487,5.813,16.179,37.747,55.341,103.158,184.084,0.074
55,802.400,12.456,0.569,1.505,5.247,13.841,35.486,56.841,94.660,154.090,0.080
60,702.200,14.224,0.548,1.561,5.678,14.032,30.954,47.816,82.978,1027.575,0.070
65,857.200,11.628,0.565,1.454,5.160,12.941,29.088,50.639,91.172,151.604,0.086
70,1040.400,9.602,0.564,1.399,5.115,10.843,23.952,37.557,68.143,124.348,0.104
75,949.400,10.507,0.579,1.446,5.397,10.222,23.840,34.510,56.342,1008.416,0.095
80,1066.000,9.371,0.558,1.423,5.287,10.118,24.311,36.004,64.935,83.172,0.107
85,1061.200,9.413,0.571,1.392,5.306,10.174,24.761,34.256,68.011,117.318,0.106
90,1050.200,9.531,0.578,1.446,5.449,10.789,24.625,35.241,63.079,94.439,0.105
95,4634.000,2.138,0.036,0.120,0.294,1.170,5.364,9.081,33.312,82.646,0.468
100,11101.000,0.556,0.036,0.133,0.233,0.466,0.702,2.593,5.290,51.780,1.798
105,9999.000,0.518,0.036,0.139,0.269,0.488,0.694,2.312,4.338,51.200,1.929
110,9999.600,0.524,0.036,0.140,0.289,0.496,0.693,2.320,4.362,42.976,1.909
115,9997.800,0.523,0.037,0.139,0.280,0.492,0.705,2.304,4.361,56.608,1.910
