Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,374,374.000,798,8116,20815,26655,34537,49428,60313,193625,224560,374,0,193625,20815,26655,34537,49428,60313
1,687,687.000,812,1469,12940,14402,22523,34350,42628,59426,88844,687,0,59426,12940,14402,22523,34350,42628
2,573,573.000,667,1261,11433,22896,20216,30261,39413,760929,1035073,573,0,760929,11433,22896,20216,30261,39413
3,453,453.000,886,1341,12442,15031,21449,31451,45273,71020,454482,453,0,71020,12442,15031,21449,31451,45273
4,824,824.000,618,1262,12792,12147,20240,27026,31745,46816,82710,823,1,46816,12792,12147,20240,27026,31745
5,798,798.000,537,1160,12973,12494,19654,26746,35669,51816,104988,797,1,51816,12973,12494,19654,26746,35669
6,889,889.000,780,1144,11218,11214,18481,24398,30742,46179,71626,888,1,46179,11218,11214,18481,24398,30742
7,811,811.000,737,1150,11755,12296,19209,25213,32921,76002,107054,811,0,76002,11755,12296,19209,25213,32921
8,898,898.000,748,1139,12833,11110,18279,22300,26613,38988,63509,898,0,38988,12833,11110,18279,22300,26613
9,885,885.000,747,1154,12801,11267,18696,23592,26832,36064,69277,885,0,36064,12801,11267,18696,23592,26832
10,897,897.000,728,1149,12446,11208,18607,23278,27547,41809,51654,896,1,41809,12446,11208,18607,23278,27547
11,923,923.000,740,1105,11928,10761,18394,22879,26204,37175,57867,923,0,37175,11928,10761,18394,22879,26204
12,875,875.000,683,1129,12490,11402,18904,23276,26692,42191,60964,875,0,42191,12490,11402,18904,23276,26692
13,871,871.000,732,1118,12374,11802,18308,23139,29617,67457,122852,871,0,67457,12374,11802,18308,23139,29617
14,899,899.000,729,1141,11561,10733,18590,22951,26678,38206,59581,899,0,38206,11561,10733,18590,22951,26678
15,853,853.000,734,1166,13625,11711,18977,22682,26064,38213,53647,852,1,38213,13625,11711,18977,22682,26064
16,884,884.000,762,1146,12652,11353,19095,23549,27908,37431,50277,883,1,37431,12652,11353,19095,23549,27908
17,922,922.000,713,1100,11895,10790,18647,22671,26264,39217,56765,922,0,39217,11895,10790,18647,22671,26264
18,908,908.000,718,1108,11740,10995,18453,22608,28663,46612,59497,907,1,46612,11740,10995,18453,22608,28663
19,918,918.000,714,1138,12310,10864,18102,22337,25896,43441,75344,917,1,43441,12310,10864,18102,22337,25896
20,795,795.000,727,1153,13236,12563,19607,23931,29924,70738,86456,794,1,70738,13236,12563,19607,23931,29924
